,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2008-03-21,23-299,MIA,,WAS,L (-17),0,7:25,1,4,0.25,1,3,0.33299999999999996,2,2,1.0,0,1,1,3,0,0,0,1,5,4.6,6
1,2,2,2008-03-22,23-300,MIA,@,CHA,L (-12),0,7:02,0,2,0.0,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.8,-5
2,3,3,2008-03-24,23-302,MIA,,MIL,W (+5),0,10:09,0,3,0.0,0,3,0.0,0,0,,1,2,3,1,0,0,0,3,0,-1.3,-1
3,4,4,2008-03-26,23-304,MIA,@,NYK,L (-7),0,13:27,0,4,0.0,0,3,0.0,2,2,1.0,0,2,2,2,0,0,2,2,2,-1.6,-15
4,5,5,2008-03-27,23-305,MIA,@,DET,L (-16),0,32:00,3,10,0.3,1,5,0.2,8,9,0.889,0,4,4,2,2,0,2,3,15,10.2,-18
5,6,6,2008-03-30,23-308,MIA,@,BOS,L (-26),0,19:44,2,8,0.25,2,6,0.33299999999999996,6,6,1.0,0,0,0,0,1,0,3,2,12,4.4,-3
6,7,7,2008-03-31,23-309,MIA,@,IND,L (-20),0,15:17,3,5,0.6,1,1,1.0,1,1,1.0,0,0,0,1,0,0,3,3,8,2.2,-10
7,8,8,2008-04-02,23-311,MIA,,NOH,L (-29),0,24:49,3,12,0.25,3,7,0.429,6,6,1.0,0,2,2,2,0,0,1,1,15,8.4,-20
8,9,9,2008-04-04,23-313,MIA,@,WAS,L (-14),0,15:41,1,1,1.0,1,1,1.0,0,0,,0,2,2,2,1,0,1,2,3,3.9,-8
9,10,10,2008-04-06,23-315,MIA,,DET,L (-16),0,24:14,2,8,0.25,1,5,0.2,4,4,1.0,0,2,2,5,2,0,2,2,9,7.5,-2
10,11,11,2008-04-11,23-320,MIA,,MEM,L (-5),0,4:18,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-0.4,0
11,12,12,2008-04-14,23-323,MIA,@,TOR,L (-16),0,3:02,0,0,,0,0,,1,1,1.0,0,0,0,0,0,0,1,0,1,0.0,0
