,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2007-11-11,24-339,PHI,,NOH,L (-21),0,3:59,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-0.4,-10
1,2,2,2007-11-13,24-341,PHI,@,DAL,L (-15),0,3:47,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,4,2.6,5
2,3,3,2007-11-14,24-342,PHI,@,NOH,L (-19),0,12:27,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,5,0,-1.3,-15
3,4,4,2007-11-16,24-344,PHI,,POR,W (+4),0,3:06,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,4
4,5,5,2007-11-20,24-348,PHI,@,WAS,L (-15),0,9:52,2,2,1.0,0,0,,0,0,,2,2,4,0,0,0,0,1,4,5.0,15
5,6,6,2007-11-27,24-355,PHI,@,MIL,W (+15),0,2:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
6,7,7,2007-12-10,25-003,PHI,,HOU,W (+12),0,2:01,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4
7,8,8,2007-12-26,25-019,PHI,,MIA,W (+11),0,5:29,0,1,0.0,0,0,,0,0,,1,0,1,0,1,0,0,0,0,1.0,5
8,9,9,2008-01-06,25-030,PHI,@,DEN,L (-13),0,1:14,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-3
9,10,10,2008-02-19,25-074,PHI,@,MIN,L (-16),0,1:29,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,1,0,4,2.4,-1
10,11,11,2008-02-29,25-084,PHI,@,GSW,L (-22),0,1:59,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-3
11,12,12,2008-03-03,25-087,PHI,@,LAC,W (+26),0,2:42,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,4
12,13,13,2008-03-07,25-091,PHI,,SEA,W (+34),0,5:30,2,4,0.5,0,0,,1,3,0.33299999999999996,0,1,1,0,0,0,0,0,5,2.5,3
13,14,14,2008-03-26,25-110,PHI,,CHI,W (+22),0,1:59,0,0,,0,0,,0,2,0.0,0,0,0,0,0,1,0,0,0,-0.1,-2
14,15,15,2008-04-12,25-127,PHI,@,WAS,L (-16),0,1:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
15,16,16,2008-04-16,25-131,PHI,@,CHA,L (-6),0,5:01,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-1.6,4
