,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2007-11-06,33-111,CHA,,PHO,L (-32),0,12:25,1,3,.333,0,2,.000,0,0,,0,2,2,0,1,0,2,3,2,-1.3,-15
1,2,2,2007-11-07,33-112,CHA,@,PHI,L (-31),0,25:14,0,5,.000,0,3,.000,3,4,.750,0,2,2,8,0,0,2,4,3,1.7,-7
2,3,3,2007-11-27,33-132,CHA,@,MIA,L (-20),0,4:53,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,1.3,+7
3,4,4,2007-12-01,33-136,CHA,@,CHI,L (-16),0,14:42,2,2,1.000,1,1,1.000,2,4,.500,0,0,0,2,2,0,1,1,7,7.6,+5
4,5,5,2007-12-03,33-138,CHA,@,TOR,L (-19),0,15:20,0,5,.000,0,3,.000,2,2,1.000,0,1,1,2,2,0,0,1,2,1.8,0
5,6,6,2007-12-05,33-140,CHA,,CHI,L (-9),0,7:19,0,4,.000,0,2,.000,0,0,,1,0,1,0,0,1,0,0,0,-1.4,0
6,7,7,2007-12-08,33-143,CHA,,CLE,W (+3),0,10:18,0,3,.000,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,1,2,0.9,+2
7,8,8,2007-12-09,33-144,CHA,@,DET,L (-19),0,26:01,2,11,.182,0,2,.000,0,0,,1,4,5,7,1,0,2,4,4,1.3,+1
8,9,9,2007-12-14,33-149,CHA,,ORL,L (-16),0,12:01,3,4,.750,0,0,,0,0,,0,2,2,2,0,0,2,3,6,3.2,-8
9,10,10,2007-12-22,33-157,CHA,@,MIL,L (-4),0,3:59,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-9
10,11,11,2007-12-26,33-161,CHA,,WAS,L (-4),0,20:25,3,5,.600,2,3,.667,1,2,.500,0,4,4,3,0,0,0,0,9,9.6,+8
11,12,12,2007-12-28,33-163,CHA,,NOH,L (-14),0,13:09,3,4,.750,1,1,1.000,1,3,.333,0,1,1,1,0,0,2,2,8,3.8,-4
12,13,13,2007-12-29,33-164,CHA,@,ORL,L (-9),0,13:16,2,4,.500,0,0,,0,0,,0,2,2,4,0,0,1,0,4,4.4,-2
13,14,14,2007-12-31,33-166,CHA,,IND,W (+4),0,10:23,2,4,.500,2,2,1.000,0,0,,0,0,0,0,0,0,0,1,6,3.6,+2
14,15,15,2008-01-02,33-168,CHA,,CHI,L (-12),0,14:22,0,1,.000,0,0,,7,8,.875,3,5,8,1,2,0,1,2,7,10.4,0
15,16,16,2008-01-04,33-170,CHA,@,NJN,L (-6),0,8:10,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,1.6,-6
16,17,17,2008-01-18,33-184,CHA,@,NOH,L (-28),0,8:43,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-5
17,18,18,2008-01-26,33-192,CHA,,PHI,L (-7),0,12:59,2,6,.333,1,1,1.000,0,0,,0,0,0,1,0,0,2,2,5,-0.5,-10
18,19,19,2008-01-28,33-194,CHA,@,LAC,W (+7),0,15:10,3,6,.500,2,3,.667,4,4,1.000,1,1,2,1,1,0,3,2,12,7.9,+12
19,20,20,2008-01-30,33-196,CHA,@,SAC,L (-14),0,14:40,2,4,.500,1,2,.500,0,1,.000,2,2,4,0,0,0,1,3,5,2.4,-2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2008-02-01,33-198,CHA,@,GSW,L (-31),0,22:30,2,7,.286,0,3,.000,1,2,.500,1,2,3,0,0,0,2,4,5,-1.8,-27
22,22,22,2008-02-02,33-199,CHA,@,DEN,L (-16),0,17:23,2,4,.500,2,3,.667,0,0,,0,1,1,4,0,0,1,3,6,4.9,-19
23,23,23,2008-02-04,33-201,CHA,@,PHO,L (-14),0,14:19,2,7,.286,1,5,.200,0,0,,0,0,0,0,0,0,0,3,5,-0.3,-13
24,24,24,2008-02-22,33-219,CHA,,SAC,L (-1),0,27:17,4,8,.500,2,3,.667,5,6,.833,0,4,4,0,2,0,0,4,15,12.2,-5
25,25,25,2008-02-23,33-220,CHA,@,WAS,L (-15),0,13:19,2,4,.500,1,1,1.000,0,0,,0,2,2,1,1,0,1,0,5,4.3,-11
26,26,26,2008-03-16,33-242,CHA,@,CLE,L (-7),0,8:05,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,2,2.3,+6
27,27,27,2008-03-17,33-243,CHA,@,MEM,L (-18),0,24:10,7,10,.700,3,5,.600,0,0,,0,3,3,3,0,0,2,5,17,11.8,-4
28,28,28,2008-04-05,33-262,CHA,,BOS,L (-23),0,5:38,0,4,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-2.5,-2
