,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2007-10-31,39-131,NJN,,CHI,W (+9),0,14:07,1,3,.333,1,2,.500,2,2,1.000,0,2,2,0,1,0,1,2,5,3.1,+7
1,2,2,2007-11-02,39-133,NJN,,TOR,L (-37),0,17:15,0,2,.000,0,2,.000,0,0,,0,0,0,3,0,0,3,1,0,-2.7,-24
2,3,3,2007-11-03,39-134,NJN,@,PHI,W (+5),0,11:17,0,0,,0,0,,1,3,.333,0,0,0,1,0,0,0,1,1,0.5,-1
3,4,4,2007-11-06,39-137,NJN,,ATL,W (+5),0,13:43,2,3,.667,1,2,.500,0,2,.000,0,2,2,2,1,0,3,3,5,1.7,-4
4,5,5,2007-11-08,39-139,NJN,,WAS,W (+2),0,9:13,0,2,.000,0,2,.000,0,0,,0,1,1,3,1,0,1,2,0,0.2,-3
5,6,6,2007-11-10,39-141,NJN,,BOS,L (-11),0,18:18,2,3,.667,2,2,1.000,4,4,1.000,0,1,1,0,1,1,0,3,10,9.5,+4
6,7,7,2007-11-12,39-143,NJN,,NOH,L (-2),0,11:30,0,1,.000,0,1,.000,0,0,,0,2,2,1,2,0,1,0,0,1.6,+1
7,8,8,2007-11-14,39-145,NJN,@,BOS,L (-22),0,18:13,2,6,.333,0,2,.000,2,2,1.000,1,2,3,2,0,0,2,1,6,2.9,-20
8,9,9,2007-12-09,39-170,NJN,@,WAS,L (-15),0,9:36,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.7,+7
9,10,10,2007-12-11,39-172,NJN,,LAC,L (-9),0,9:44,0,3,.000,0,1,.000,0,0,,2,0,2,0,1,0,1,1,0,-1.1,-4
10,11,11,2007-12-14,39-175,NJN,,CLE,W (+8),0,11:23,0,1,.000,0,1,.000,0,0,,0,2,2,3,0,0,1,0,0,1.0,+12
11,12,12,2007-12-15,39-176,NJN,@,NYK,L (-8),0,11:01,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8,-6
12,13,13,2007-12-18,39-179,NJN,,SAC,L (-5),0,5:51,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-9
13,14,14,2007-12-20,39-181,NJN,@,MIA,W (+4),0,3:28,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.7,0
14,15,15,2007-12-22,39-183,NJN,,GSW,W (+5),0,0:43,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,0.9,+1
15,16,16,2007-12-26,39-187,NJN,,DET,L (-18),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-6
16,17,17,2007-12-28,39-189,NJN,,WAS,W (+3),0,1:02,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,0
17,18,18,2007-12-29,39-190,NJN,@,MIL,W (+2),0,0:17,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1,0.9,-1
18,19,19,2008-01-02,39-194,NJN,@,ORL,W (+1),0,17:05,6,7,.857,1,1,1.000,0,0,,0,2,2,2,1,0,1,1,13,12.1,+10
19,20,20,2008-01-04,39-196,NJN,,CHA,W (+6),0,21:04,2,5,.400,2,2,1.000,0,0,,0,0,0,5,3,0,0,2,6,9.0,+10
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2008-01-05,39-197,NJN,@,ATL,W (+6),0,16:24,0,3,.000,0,0,,2,4,.500,0,2,2,3,3,0,1,4,2,2.2,-2
22,22,22,2008-01-08,39-200,NJN,@,CHA,L (-16),0,26:54,2,4,.500,1,3,.333,0,0,,0,0,0,4,0,0,1,4,5,3.2,-13
23,23,23,2008-01-09,39-201,NJN,,SEA,W (+11),0,19:08,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,2,2,0,-1.8,-8
24,24,24,2008-01-11,39-203,NJN,,BOS,L (-9),0,8:48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-6
25,25,25,2008-01-14,39-206,NJN,,POR,L (-26),0,17:05,1,2,.500,0,0,,0,0,,0,1,1,2,1,0,0,1,2,3.3,+4
26,26,26,2008-01-16,39-208,NJN,,NYK,L (-6),0,9:38,0,3,.000,0,3,.000,0,0,,1,0,1,2,1,0,0,0,0,1.0,+2
27,27,27,2008-01-20,39-212,NJN,@,PHO,L (-24),0,4:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
28,28,28,2008-01-22,39-214,NJN,@,SAC,L (-34),0,4:15,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,1.0,-2
29,29,29,2008-01-24,39-216,NJN,@,GSW,L (-2),0,0:11,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+1
30,30,30,2008-01-25,39-217,NJN,@,DEN,L (-15),0,9:58,1,3,.333,1,2,.500,1,2,.500,1,1,2,1,0,0,1,2,4,1.8,-11
31,31,31,2008-02-01,39-224,NJN,@,MIA,W (+9),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
32,32,32,2008-02-02,39-225,NJN,@,ATL,L (-12),0,7:32,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,2,1,3,-1.1,-13
33,33,33,2008-02-06,39-229,NJN,@,ORL,L (-16),0,10:34,2,3,.667,0,1,.000,0,0,,1,3,4,0,0,0,3,2,4,0.5,-4
34,34,34,2008-02-08,39-231,NJN,@,CHA,W (+14),0,15:22,0,2,.000,0,2,.000,0,0,,0,3,3,5,0,0,0,0,0,3.0,+1
35,35,35,2008-02-10,39-233,NJN,,DAL,W (+19),0,12:39,0,3,.000,0,3,.000,0,0,,1,1,2,1,2,0,1,1,0,0.2,-11
36,36,36,2008-02-12,39-235,NJN,,MIN,W (+4),0,12:37,1,4,.250,1,4,.250,0,0,,1,0,1,1,0,1,0,1,3,2.3,-3
37,37,37,2008-02-13,39-236,NJN,@,TOR,L (-18),0,28:59,4,6,.667,2,3,.667,2,2,1.000,0,1,1,6,4,0,3,1,12,14.5,+7
38,38,38,2008-02-20,39-243,NJN,,CHI,W (+8),0,14:21,1,5,.200,1,3,.333,2,2,1.000,0,4,4,2,0,0,1,1,5,3.1,+2
39,39,39,2008-02-22,39-245,NJN,@,IND,L (-10),0,24:18,3,5,.600,2,3,.667,1,1,1.000,1,3,4,4,2,0,3,4,9,8.5,-2
40,40,40,2008-02-23,39-246,NJN,,IND,W (+11),0,15:09,0,1,.000,0,1,.000,0,0,,0,3,3,0,1,0,1,2,0,-0.6,+2
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2008-02-26,39-249,NJN,,ORL,L (-10),0,15:06,3,7,.429,2,5,.400,0,0,,0,2,2,0,0,0,1,2,8,3.1,-12
43,42,42,2008-03-02,39-254,NJN,,SAS,L (-10),0,4:30,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,-4
