,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2007-10-31,28-093,ORL,,MIL,W (+19),0,18:17,2,6,.333,2,4,.500,0,2,.000,1,1,2,1,0,0,1,1,6,2.1,-9
1,2,2,2007-11-02,28-095,ORL,,DET,L (-24),0,14:58,1,5,.200,0,0,,0,0,,0,1,1,2,0,0,0,1,2,0.2,-14
2,3,3,2007-11-06,28-099,ORL,@,MIN,W (+8),1,37:00,6,12,.500,0,1,.000,6,8,.750,1,2,3,6,2,0,1,1,18,17.3,+15
3,4,4,2007-11-07,28-100,ORL,@,TOR,W (+9),0,18:09,1,3,.333,0,0,,2,2,1.000,0,0,0,3,0,0,3,2,4,0.6,+2
4,5,5,2007-11-09,28-102,ORL,@,NYK,W (+10),0,15:38,1,3,.333,0,0,,0,1,.000,0,2,2,3,0,0,1,2,2,0.8,+9
5,6,6,2007-11-10,28-103,ORL,,PHO,L (-10),0,30:55,5,6,.833,3,3,1.000,0,0,,0,4,4,8,2,0,0,3,13,18.4,-4
6,7,7,2007-11-13,28-106,ORL,,SEA,W (+27),0,19:22,0,3,.000,0,0,,0,0,,0,1,1,5,0,0,3,0,0,-1.3,+2
7,8,8,2007-11-14,28-107,ORL,@,CLE,W (+1),0,17:44,4,6,.667,0,0,,2,2,1.000,0,3,3,3,1,0,1,1,10,10.0,+7
8,9,9,2007-11-16,28-109,ORL,@,NJN,W (+25),0,12:09,1,6,.167,0,1,.000,0,0,,0,2,2,0,0,0,1,0,2,-2.2,+3
9,10,10,2007-11-18,28-111,ORL,,BOS,W (+2),0,9:07,1,2,.500,1,2,.500,2,2,1.000,1,2,3,0,1,0,2,1,5,3.9,-2
10,11,11,2007-11-19,28-112,ORL,@,NOH,W (+7),0,14:47,0,2,.000,0,2,.000,2,2,1.000,0,0,0,2,1,0,1,0,2,2.0,-3
11,12,12,2007-11-21,28-114,ORL,@,SAS,L (-18),0,17:22,3,6,.500,0,0,,1,1,1.000,0,0,0,2,0,0,1,1,7,4.0,-13
12,13,13,2007-11-23,28-116,ORL,,CHA,W (+13),0,17:58,0,4,.000,0,3,.000,0,0,,0,3,3,4,1,0,0,1,0,1.5,-2
13,14,14,2007-11-24,28-117,ORL,,MIA,W (+21),0,16:04,2,3,.667,0,0,,3,4,.750,0,1,1,2,1,0,1,1,7,6.6,-7
14,15,15,2007-11-26,28-119,ORL,@,POR,W (+11),0,18:41,2,4,.500,0,1,.000,0,0,,0,2,2,5,0,0,1,0,4,5.1,+7
15,16,16,2007-11-28,28-121,ORL,@,SEA,W (+16),0,24:00,0,3,.000,0,0,,2,2,1.000,0,2,2,14,0,0,1,1,2,8.9,+7
16,17,17,2007-11-30,28-123,ORL,@,PHO,L (-4),0,20:25,1,5,.200,0,1,.000,2,2,1.000,0,0,0,6,0,0,0,1,4,4.7,+7
17,18,18,2007-12-07,28-130,ORL,,IND,L (-6),0,17:10,1,2,.500,1,1,1.000,0,0,,0,3,3,6,1,0,2,1,3,5.7,+1
18,19,19,2007-12-10,28-133,ORL,,ATL,L (-11),0,14:28,2,3,.667,1,2,.500,0,0,,0,2,2,4,0,0,1,2,5,5.3,-1
19,20,20,2007-12-21,28-144,ORL,,UTA,L (-19),0,7:27,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-1.1,-3
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2007-12-23,28-146,ORL,@,BOS,L (-12),0,17:04,3,8,.375,0,2,.000,2,3,.667,0,1,1,4,0,0,0,1,8,5.9,+1
22,22,22,2007-12-26,28-149,ORL,,NYK,W (+14),0,14:05,2,3,.667,0,0,,2,2,1.000,0,4,4,4,0,0,2,0,6,6.7,+9
23,23,23,2007-12-28,28-151,ORL,@,MIA,W (+7),0,30:49,4,11,.364,1,2,.500,4,6,.667,3,4,7,5,0,0,0,1,13,12.5,+10
