,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2008-11-02,21-312,MIL,@,NYK,W (+8),0,6:18,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-1.2,-10
1,2,2,2008-11-05,21-315,MIL,,WAS,W (+8),0,3:49,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-9
2,3,3,2008-11-07,21-317,MIL,@,BOS,L (-12),0,5:34,1,2,.500,1,1,1.000,0,2,.000,0,1,1,1,0,0,1,0,3,1.2,+4
3,4,4,2008-11-08,21-318,MIL,,PHO,L (-8),0,23:53,3,5,.600,0,0,,2,2,1.000,1,1,2,2,1,0,1,5,8,6.1,+5
4,5,5,2008-11-11,21-321,MIL,@,CLE,L (-6),0,9:46,1,2,.500,0,0,,2,2,1.000,0,2,2,0,0,0,2,2,4,0.8,0
5,6,6,2008-11-12,21-322,MIL,,SAS,W (+4),0,11:58,2,5,.400,0,1,.000,0,0,,1,1,2,1,0,0,0,1,4,2.6,-8
6,7,7,2008-11-14,21-324,MIL,@,MEM,W (+5),0,13:10,2,4,.500,0,1,.000,0,0,,3,1,4,1,1,0,1,1,4,4.7,+6
7,8,8,2008-11-15,21-325,MIL,,BOS,L (-5),0,20:06,2,3,.667,1,1,1.000,0,0,,1,3,4,1,0,1,0,3,5,5.5,-7
8,9,9,2008-11-18,21-328,MIL,@,DEN,L (-9),0,31:54,5,12,.417,2,5,.400,2,2,1.000,2,2,4,0,2,3,1,5,14,10.7,+2
9,10,10,2008-11-19,21-329,MIL,@,UTA,L (-11),0,8:49,2,4,.500,0,1,.000,0,0,,1,0,1,0,0,0,4,3,4,-2.5,-9
10,11,11,2008-11-21,21-331,MIL,,NYK,W (+17),0,22:34,1,4,.250,1,2,.500,1,2,.500,2,4,6,0,1,1,1,4,4,2.9,+9
11,12,12,2008-11-22,21-332,MIL,@,CHA,W (+5),0,7:28,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,1,0,-2.1,-2
12,13,13,2008-11-24,21-334,MIL,@,ORL,L (-7),0,7:53,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,2,4,2,-1.2,-4
13,14,14,2008-11-26,21-336,MIL,@,ATL,L (-6),0,21:36,4,11,.364,0,0,,0,0,,1,0,1,1,0,0,1,2,8,1.5,+4
14,15,15,2008-11-28,21-338,MIL,@,DET,L (-10),0,15:50,1,4,.250,1,2,.500,3,6,.500,0,4,4,1,0,2,1,4,6,3.1,-4
15,16,16,2008-11-29,21-339,MIL,,CLE,L (-12),0,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
16,17,17,2008-12-05,21-345,MIL,,CHA,W (+5),0,6:47,1,2,.500,0,0,,0,0,,1,1,2,1,0,1,0,0,2,3.4,+1
17,18,18,2008-12-07,21-347,MIL,@,LAL,L (-13),0,24:54,6,10,.600,1,2,.500,2,3,.667,1,1,2,0,1,0,2,4,15,8.4,+8
18,19,19,2008-12-09,21-349,MIL,@,PHO,L (-15),0,5:18,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,2,0,0,-2.0,+4
19,20,20,2008-12-10,21-350,MIL,@,GSW,L (-23),0,10:48,1,3,.333,0,0,,0,0,,1,1,2,0,0,0,1,1,2,-0.1,-7
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2008-12-13,21-353,MIL,,IND,W (+18),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
22,22,22,2008-12-15,21-355,MIL,@,MIA,W (+15),0,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
23,23,23,2008-12-19,21-359,MIL,@,NYK,W (+24),0,11:28,2,6,.333,0,1,.000,2,2,1.000,1,2,3,0,0,0,1,1,6,2.5,-1
24,24,24,2008-12-20,21-360,MIL,,LAC,W (+34),0,12:54,2,6,.333,0,1,.000,0,0,,1,0,1,0,0,2,1,1,4,1.3,-6
