,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2009-10-28,33-096,NJN,@,MIN,L (-2),0,23:24,0,2,.000,0,0,,0,0,,0,0,0,3,0,0,3,0,0,-2.3,-6
1,2,2,2009-10-30,33-098,NJN,,ORL,L (-10),0,16:52,3,9,.333,2,4,.500,2,2,1.000,2,0,2,3,0,0,1,0,10,7.4,+6
2,3,3,2009-10-31,33-099,NJN,@,WAS,L (-19),1,30:52,8,11,.727,3,3,1.000,1,2,.500,0,2,2,8,1,0,4,3,20,17.1,-13
3,4,4,2009-11-02,33-101,NJN,@,CHA,L (-11),1,45:40,1,8,.125,0,2,.000,0,0,,0,2,2,5,1,1,3,1,2,-0.8,-13
4,5,5,2009-11-04,33-103,NJN,,DEN,L (-28),1,29:43,2,8,.250,0,2,.000,3,3,1.000,0,2,2,4,0,0,3,2,7,1.8,-12
5,6,6,2009-11-06,33-105,NJN,@,PHI,L (-3),1,40:19,6,13,.462,1,3,.333,1,2,.500,0,2,2,6,0,0,3,5,14,6.7,-3
6,7,7,2009-11-07,33-106,NJN,,BOS,L (-10),1,43:38,7,16,.438,3,6,.500,3,4,.750,0,1,1,7,1,1,6,3,20,10.9,-2
7,8,8,2009-11-11,33-110,NJN,,PHI,L (-3),1,43:01,5,13,.385,1,4,.250,0,0,,0,2,2,5,1,0,2,1,11,6.6,-4
8,9,9,2009-11-13,33-112,NJN,@,ORL,L (-16),1,41:35,7,20,.350,1,4,.250,2,2,1.000,0,10,10,10,0,0,3,2,17,12.0,-10
9,10,10,2009-11-14,33-113,NJN,@,MIA,L (-1),1,36:28,3,9,.333,2,2,1.000,2,2,1.000,0,3,3,3,0,0,3,3,10,3.7,-13
10,11,11,2009-11-17,33-116,NJN,,IND,L (-8),1,42:06,2,12,.167,0,3,.000,10,10,1.000,0,7,7,4,4,0,5,1,14,9.9,-7
11,12,12,2009-11-18,33-117,NJN,@,MIL,L (-14),1,32:50,1,10,.100,0,4,.000,3,4,.750,1,2,3,1,3,0,1,3,5,0.8,-25
12,13,13,2009-11-21,33-120,NJN,,NYK,L (-7),1,29:01,1,7,.143,1,4,.250,0,0,,1,2,3,4,0,0,2,1,3,0.2,-2
13,14,14,2009-11-24,33-123,NJN,@,DEN,L (-14),1,30:33,7,14,.500,3,8,.375,2,4,.500,0,2,2,3,2,1,2,4,19,13.0,-5
14,15,15,2009-11-25,33-124,NJN,@,POR,L (-10),1,27:43,2,7,.286,0,1,.000,0,0,,0,2,2,6,0,0,1,1,4,3.3,-5
15,16,16,2009-11-27,33-126,NJN,@,SAC,L (-13),0,20:07,1,5,.200,0,1,.000,0,0,,0,0,0,3,1,0,2,1,2,-0.4,-10
16,17,17,2009-11-29,33-128,NJN,@,LAL,L (-19),0,18:48,2,8,.250,0,0,,0,1,.000,0,3,3,2,1,0,1,1,4,0.7,-8
17,18,18,2009-12-06,33-135,NJN,@,NYK,L (-9),0,19:41,3,11,.273,1,5,.200,1,2,.500,2,4,6,5,0,0,2,3,8,4.0,-2
18,19,19,2009-12-08,33-137,NJN,@,CHI,W (+2),0,16:42,5,8,.625,1,1,1.000,4,4,1.000,0,3,3,2,2,0,2,0,15,13.7,+12
19,20,20,2009-12-09,33-138,NJN,,GSW,L (-16),0,30:24,6,14,.429,0,2,.000,0,1,.000,2,3,5,2,1,0,3,2,12,5.1,+6
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2009-12-11,33-140,NJN,@,IND,L (-16),0,27:44,7,16,.438,1,4,.250,2,3,.667,0,2,2,3,2,1,0,1,17,13.2,-9
22,22,22,2009-12-13,33-142,NJN,@,ATL,L (-23),0,22:48,0,8,.000,0,2,.000,2,2,1.000,0,3,3,3,2,0,3,3,2,-2.8,-24
23,23,23,2009-12-15,33-144,NJN,@,CLE,L (-10),0,18:37,7,14,.500,4,7,.571,2,2,1.000,0,1,1,3,1,0,1,3,20,14.2,-6
24,24,24,2009-12-16,33-145,NJN,,UTA,L (-16),0,23:26,3,10,.300,1,3,.333,0,0,,0,2,2,5,0,1,4,3,7,0.8,-4
25,25,25,2009-12-18,33-147,NJN,@,TOR,L (-23),0,24:36,4,13,.308,3,10,.300,2,2,1.000,1,3,4,2,3,0,1,1,13,10.1,-2
26,26,26,2009-12-19,33-148,NJN,,LAL,L (-19),0,17:01,2,8,.250,0,1,.000,0,0,,0,2,2,1,0,0,0,0,4,0.5,-12
27,27,27,2009-12-28,33-157,NJN,,OKC,L (-16),0,12:08,0,3,.000,0,1,.000,2,2,1.000,0,1,1,1,1,0,0,2,2,1.1,-3
28,28,28,2010-01-08,33-168,MIA,@,PHO,W (+4),1,34:31,3,9,.333,2,6,.333,2,2,1.000,2,1,3,4,1,0,1,0,10,9.4,+8
29,29,29,2010-01-10,33-170,MIA,@,LAC,L (-10),1,22:56,2,6,.333,0,1,.000,0,0,,1,3,4,2,1,0,2,3,4,1.4,-13
30,30,30,2010-01-11,33-171,MIA,@,UTA,L (-29),1,26:16,4,9,.444,1,3,.333,2,5,.400,0,0,0,2,1,0,0,2,11,6.7,-11
31,31,31,2010-01-13,33-173,MIA,@,GSW,W (+13),1,27:12,0,4,.000,0,3,.000,1,2,.500,0,1,1,4,1,0,2,1,1,-0.5,+6
32,32,32,2010-01-15,33-175,MIA,@,HOU,W (+9),1,34:06,7,10,.700,2,4,.500,1,4,.250,0,4,4,2,0,1,2,4,17,11.3,-1
33,33,33,2010-01-16,33-176,MIA,@,OKC,L (-18),1,28:29,1,5,.200,1,2,.500,2,2,1.000,0,0,0,3,3,0,1,4,5,4.4,-15
34,34,34,2010-01-19,33-179,MIA,,IND,W (+30),1,27:51,3,5,.600,2,3,.667,0,0,,0,5,5,3,1,1,2,2,8,8.2,+17
35,35,35,2010-01-20,33-180,MIA,@,CHA,L (-39),1,23:31,1,6,.167,0,3,.000,1,1,1.000,0,0,0,4,0,0,3,5,3,-3.0,-13
36,36,36,2010-01-22,33-182,MIA,@,WAS,W (+24),1,34:02,4,10,.400,3,5,.600,0,0,,0,5,5,9,4,0,2,0,11,15.4,+26
37,37,37,2010-01-23,33-183,MIA,,SAC,W (+31),1,24:00,2,4,.500,1,3,.333,1,2,.500,0,2,2,0,0,0,1,2,6,2.4,+16
38,38,38,2010-01-25,33-185,MIA,,CLE,L (-1),1,36:58,4,9,.444,2,3,.667,0,0,,0,5,5,4,0,1,1,3,10,8.1,-1
39,39,39,2010-01-27,33-187,MIA,@,TOR,L (-8),1,38:32,4,16,.250,2,6,.333,0,0,,0,1,1,2,1,0,1,2,10,1.3,+4
40,40,40,2010-01-29,33-189,MIA,@,DET,W (+27),1,27:16,1,7,.143,0,2,.000,0,0,,0,2,2,7,1,1,2,3,2,1.5,+24
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2010-01-30,33-190,MIA,@,MIL,L (-11),1,28:46,1,8,.125,0,1,.000,3,4,.750,0,4,4,2,2,0,1,2,5,2.2,-12
43,42,42,2010-02-01,33-192,MIA,,MIL,L (-16),1,19:03,0,4,.000,0,3,.000,0,2,.000,0,3,3,1,1,0,2,2,0,-3.8,-2
44,43,43,2010-02-03,33-194,MIA,@,BOS,L (-5),1,30:07,6,10,.600,3,5,.600,0,0,,0,1,1,3,1,0,0,1,15,13.4,+3
45,44,44,2010-02-04,33-195,MIA,@,CLE,L (-16),1,13:58,1,5,.200,0,3,.000,0,0,,0,1,1,4,0,0,2,3,2,-1.2,-11
46,45,45,2010-02-06,33-197,MIA,@,CHI,L (-4),1,28:24,4,6,.667,3,5,.600,0,0,,0,4,4,1,2,0,2,4,11,8.7,+13
47,46,46,2010-02-09,33-200,MIA,,HOU,W (+33),1,22:40,3,6,.500,2,4,.500,1,2,.500,0,2,2,0,0,0,0,1,9,5.8,+9
48,47,47,2010-02-10,33-201,MIA,@,ATL,W (+18),1,25:13,1,6,.167,1,5,.200,0,0,,0,0,0,1,0,0,2,2,3,-2.9,-11
49,48,48,2010-02-16,33-207,MIA,@,PHI,W (+27),1,24:47,1,4,.250,1,2,.500,0,0,,0,2,2,4,1,0,1,2,3,3.2,+22
50,49,49,2010-02-17,33-208,MIA,@,NJN,W (+3),1,21:04,0,5,.000,0,1,.000,0,0,,0,0,0,5,1,0,1,2,0,-0.8,+1
51,50,50,2010-02-27,33-218,MIA,,MIL,L (-23),1,22:34,2,5,.400,0,2,.000,0,0,,1,2,3,3,1,0,0,1,4,5.3,-11
52,51,51,2010-02-28,33-219,MIA,@,ORL,L (-16),1,25:44,5,8,.625,4,6,.667,1,1,1.000,0,1,1,2,0,1,1,2,15,12.0,-2
53,52,52,2010-03-02,33-221,MIA,,GSW,W (+4),1,6:41,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-3.1,-2
