,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2009-10-30,30-232,MIL,@,PHI,L (-13),0,31:02,2,7,.286,2,5,.400,0,0,,2,1,3,2,1,1,2,5,6,2.7,+4
1,2,2,2009-10-31,30-233,MIL,,DET,W (+11),0,24:46,1,3,.333,1,1,1.000,2,2,1.000,1,2,3,3,2,0,2,2,5,5.9,+4
2,3,3,2009-11-03,30-236,MIL,@,CHI,L (-2),1,34:11,5,11,.455,1,4,.250,0,0,,0,5,5,3,1,0,1,4,11,7.3,+11
3,4,4,2009-11-06,30-239,MIL,@,MIN,W (+15),1,28:47,1,7,.143,1,2,.500,3,4,.750,2,2,4,5,1,0,0,2,6,6.8,+9
4,5,5,2009-11-07,30-240,MIL,,NYK,W (+15),1,20:51,2,5,.400,1,2,.500,0,0,,1,1,2,1,1,0,2,1,5,2.6,+16
5,6,6,2009-11-11,30-244,MIL,,DEN,W (+6),1,35:31,2,3,.667,1,2,.500,0,0,,0,6,6,3,2,0,5,3,5,3.4,+3
6,7,7,2009-11-14,30-247,MIL,,GSW,W (+4),1,38:33,4,9,.444,2,5,.400,4,5,.800,3,1,4,6,1,0,1,2,14,14.7,+7
7,8,8,2009-11-16,30-249,MIL,,DAL,L (-2),1,20:55,1,3,.333,1,2,.500,0,0,,0,1,1,5,1,0,1,3,3,3.9,-12
8,9,9,2009-11-18,30-251,MIL,,NJN,W (+14),1,31:34,1,1,1.000,0,0,,0,0,,0,4,4,5,1,0,0,2,2,6.6,+14
9,10,10,2009-11-20,30-253,MIL,,CHA,W (+7),1,31:41,3,7,.429,0,2,.000,0,0,,0,2,2,2,2,0,0,4,6,4.7,+2
10,11,11,2009-11-21,30-254,MIL,@,MEM,W (+5),1,39:48,7,15,.467,5,11,.455,0,2,.000,0,1,1,2,1,0,2,0,19,11.2,+6
11,12,12,2009-11-23,30-256,MIL,@,SAS,L (-14),1,35:51,4,9,.444,1,2,.500,0,0,,1,3,4,2,0,0,1,2,9,5.5,-8
12,13,13,2009-11-25,30-258,MIL,@,NOH,L (-3),1,31:32,5,10,.500,2,4,.500,0,1,.000,0,3,3,1,0,0,3,3,12,4.0,-15
13,14,14,2009-11-27,30-260,MIL,@,OKC,L (-18),0,20:18,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,1,3,3,-2.0,+8
14,15,15,2009-11-28,30-261,MIL,,ORL,L (-2),1,34:41,1,4,.250,1,2,.500,2,2,1.000,2,1,3,1,2,1,1,3,5,5.5,+4
15,16,16,2009-11-30,30-263,MIL,,CHI,W (+2),1,40:01,6,16,.375,1,5,.200,3,7,.429,0,4,4,5,2,2,2,3,16,10.5,+11
16,17,17,2009-12-02,30-265,MIL,@,WAS,L (-2),1,26:35,6,11,.545,3,5,.600,0,0,,0,0,0,2,0,0,0,4,15,9.5,-14
17,18,18,2009-12-04,30-267,MIL,@,DET,L (-9),1,40:03,5,18,.278,2,6,.333,2,3,.667,0,2,2,2,1,0,0,5,14,4.0,-7
18,19,19,2009-12-06,30-269,MIL,,CLE,L (-15),0,9:14,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,1,1,1,0,-2.8,-22
19,20,20,2009-12-08,30-271,MIL,@,BOS,L (-9),0,29:03,1,3,.333,0,1,.000,0,0,,0,7,7,2,0,1,1,2,2,2.7,+2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2009-12-16,30-279,MIL,,LAL,L (-1),0,27:06,3,8,.375,2,3,.667,0,0,,1,0,1,0,0,0,1,4,8,1.7,+2
22,22,22,2009-12-18,30-281,MIL,@,CLE,L (-3),0,31:30,6,13,.462,3,8,.375,1,1,1.000,1,0,1,0,0,1,0,2,16,9.9,-1
23,23,23,2009-12-19,30-282,MIL,,SAC,L (-1),0,3:45,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-7
24,24,24,2009-12-21,30-284,MIL,@,IND,W (+3),0,21:39,2,5,.400,2,3,.667,0,2,.000,0,0,0,1,1,2,1,2,6,3.8,+9
25,25,25,2009-12-23,30-286,MIL,,WAS,L (-12),0,27:46,6,15,.400,0,4,.000,2,2,1.000,0,1,1,0,2,0,0,2,14,7.4,+2
26,26,26,2009-12-26,30-289,MIL,,SAS,L (-15),0,8:39,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.0,-2
27,27,27,2009-12-28,30-291,MIL,@,CHA,L (-10),0,7:31,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.8,+1
28,28,28,2009-12-30,30-293,MIL,@,ORL,L (-25),0,7:41,0,5,.000,0,3,.000,0,0,,0,0,0,0,0,0,1,2,0,-5.3,-18
29,29,29,2010-01-02,30-296,MIL,,OKC,W (+6),0,15:42,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,0
30,30,30,2010-01-05,30-299,MIL,@,NJN,W (+22),0,4:07,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,0
31,31,31,2010-01-08,30-302,MIL,,CHI,W (+3),0,20:59,2,3,.667,1,1,1.000,0,0,,0,0,0,2,1,0,1,2,5,4.3,0
32,32,32,2010-01-10,30-304,MIL,@,LAL,L (-18),0,27:00,4,10,.400,2,4,.500,0,0,,0,2,2,1,0,0,1,2,10,4.1,-3
33,33,33,2010-01-11,30-305,MIL,@,PHO,L (-4),1,36:22,3,12,.250,3,10,.300,0,0,,0,2,2,1,1,0,1,2,9,2.3,+4
34,34,34,2010-01-13,30-307,MIL,@,POR,L (-12),1,28:09,4,9,.444,2,5,.400,2,2,1.000,0,1,1,3,0,0,1,4,12,7.1,+1
35,35,35,2010-01-15,30-309,MIL,@,GSW,W (+9),1,28:26,4,9,.444,1,4,.250,3,4,.750,1,0,1,1,0,0,1,5,12,5.3,+11
36,36,36,2010-01-16,30-310,MIL,@,UTA,L (-17),1,31:32,6,13,.462,2,3,.667,0,0,,2,3,5,2,2,0,0,0,14,13.0,0
37,37,37,2010-01-18,30-312,MIL,@,HOU,L (-3),1,19:30,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,0.6,+8
38,38,38,2010-01-20,30-314,MIL,,TOR,W (+6),1,34:55,6,9,.667,1,2,.500,0,0,,0,3,3,3,1,0,0,2,13,12.3,+12
39,39,39,2010-01-22,30-316,MIL,@,TOR,L (-5),1,28:02,1,7,.143,1,6,.167,0,0,,2,2,4,2,1,0,0,4,3,1.3,0
40,40,40,2010-01-23,30-317,MIL,,MIN,W (+33),1,26:57,3,8,.375,2,5,.400,0,0,,0,2,2,1,0,0,1,0,8,3.9,+18
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2010-01-26,30-320,MIL,@,DAL,L (-1),1,16:30,1,4,.250,1,4,.250,0,0,,0,1,1,1,0,1,0,2,3,1.5,-2
43,42,42,2010-01-27,30-321,MIL,,PHI,W (+3),1,44:15,8,17,.471,2,4,.500,0,2,.000,1,2,3,3,1,1,0,1,18,13.2,+5
44,43,43,2010-01-30,30-324,MIL,,MIA,W (+11),1,33:11,3,6,.500,2,4,.500,3,4,.750,0,3,3,1,1,0,0,2,11,9.4,+7
45,44,44,2010-02-01,30-326,MIL,@,MIA,W (+16),1,29:54,4,8,.500,2,5,.400,2,2,1.000,1,0,1,0,0,0,1,2,12,6.9,-6
46,45,45,2010-02-02,30-327,MIL,@,ORL,L (-17),1,26:43,5,11,.455,3,5,.600,0,0,,1,1,2,2,0,0,2,3,13,6.5,-8
47,46,46,2010-02-05,30-330,MIL,@,NYK,W (+7),1,33:33,4,10,.400,3,4,.750,2,4,.500,0,1,1,1,0,0,1,2,13,6.0,+3
48,47,47,2010-02-06,30-331,MIL,,IND,W (+12),1,33:04,3,8,.375,1,3,.333,2,2,1.000,1,5,6,5,1,0,0,0,9,11.3,+1
