,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-10-31,22-000,OKC,,UTA,L (-21),0,10:51,2,3,0.667,0,0,,1,2,0.5,1,1,2,0,1,0,0,0,5,5.3,0
1,2,2,2010-11-03,22-003,OKC,@,LAC,L (-15),0,10:02,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,3,0,-0.3,3
2,3,3,2010-11-04,22-004,OKC,@,POR,W (+1),0,4:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7
3,4,4,2010-11-07,22-007,OKC,,BOS,L (-9),0,13:51,0,1,0.0,0,0,,0,0,,1,3,4,0,1,0,0,2,0,1.1,-14
4,5,5,2010-11-10,22-010,OKC,,PHI,W (+6),0,9:04,0,0,,0,0,,0,0,,0,2,2,0,0,1,3,4,0,-3.3,7
5,6,6,2010-12-21,22-051,OKC,@,CHA,W (+18),0,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-4
6,7,7,2010-12-22,22-052,OKC,@,NYK,L (-14),0,4:21,1,2,0.5,0,0,,0,0,,2,0,2,1,1,0,1,1,2,2.7,6
7,8,8,2011-02-22,22-114,OKC,,LAC,W (+23),0,11:20,1,2,0.5,0,0,,0,0,,1,4,5,0,0,1,0,3,2,2.4,3
8,9,9,2011-02-25,22-117,OKC,@,ORL,L (-23),0,15:28,0,0,,0,0,,0,0,,3,2,5,1,0,1,2,4,0,0.5,10
9,10,10,2011-02-27,22-119,OKC,,LAL,L (-3),0,9:33,0,0,,0,0,,0,0,,1,2,3,0,1,1,1,0,0,2.0,1
10,11,11,2011-03-02,22-122,OKC,,IND,W (+24),0,18:06,1,2,0.5,0,0,,1,2,0.5,1,3,4,0,0,1,0,4,3,2.3,5
11,12,12,2011-03-04,22-124,OKC,@,ATL,W (+7),0,1:42,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,0
12,13,13,2011-03-07,22-127,OKC,@,MEM,L (-6),0,5:12,1,1,1.0,0,0,,0,0,,0,1,1,1,0,1,0,1,2,3.0,2
13,14,14,2011-03-11,22-131,OKC,,DET,W (+10),0,3:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
14,15,15,2011-03-13,22-133,OKC,@,CLE,W (+20),0,13:04,0,0,,0,0,,0,0,,0,1,1,1,0,1,0,4,0,0.1,4
15,16,16,2011-03-14,22-134,OKC,@,WAS,W (+27),0,7:09,1,2,0.5,0,0,,0,0,,2,0,2,0,1,0,1,1,2,2.0,2
16,17,17,2011-03-18,22-138,OKC,,CHA,W (+17),0,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
17,18,18,2011-03-25,22-145,OKC,,MIN,W (+8),0,1:15,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
