,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-10-27,28-289,MEM,,ATL,L (-15),0,11:04,0,6,.000,0,0,,0,0,,1,0,1,1,1,0,1,4,0,-4.4,-17
1,2,2,2010-10-29,28-291,MEM,@,DAL,W (+1),0,13:43,4,5,.800,0,0,,2,4,.500,1,1,2,0,0,0,3,4,10,3.7,+7
2,3,3,2010-10-30,28-292,MEM,,MIN,W (+20),0,21:31,5,8,.625,0,0,,0,0,,2,2,4,2,2,1,3,3,10,8.3,-1
3,4,4,2010-11-02,28-295,MEM,@,LAL,L (-19),0,13:53,2,7,.286,0,0,,1,1,1.000,1,0,1,2,0,0,1,2,5,1.2,-5
4,5,5,2010-11-03,28-296,MEM,@,GSW,L (-6),0,4:31,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,1,2,0.3,-7
5,6,6,2010-11-05,28-298,MEM,@,PHO,L (-5),0,14:06,2,6,.333,0,0,,1,2,.500,0,0,0,2,2,0,1,2,5,2.8,-4
6,7,7,2010-11-10,28-303,MEM,,DAL,L (-15),0,10:21,2,5,.400,0,0,,0,1,.000,1,1,2,3,0,0,1,0,4,3.0,-5
7,8,8,2010-11-13,28-306,MEM,,BOS,L (-6),0,20:44,4,7,.571,0,0,,3,4,.750,2,2,4,3,3,0,2,1,11,12.0,+11
8,9,9,2010-11-15,28-308,MEM,@,ORL,L (-17),0,9:39,3,5,.600,0,0,,1,2,.500,2,0,2,0,4,0,2,2,7,6.9,-8
9,10,10,2010-11-16,28-309,MEM,,POR,L (-1),0,9:44,1,3,.333,0,0,,0,0,,0,2,2,1,0,0,1,3,2,-0.6,-4
10,11,11,2010-11-19,28-312,MEM,@,WAS,L (-3),0,12:18,4,5,.800,0,0,,1,1,1.000,0,0,0,2,1,1,2,3,9,7.0,+7
11,12,12,2010-11-24,28-317,MEM,,DET,W (+21),0,10:50,2,4,.500,0,0,,0,0,,0,1,1,1,1,0,2,1,4,1.6,-6
12,13,13,2010-11-26,28-319,MEM,,GSW,W (+5),0,15:31,1,4,.250,0,0,,3,4,.750,0,3,3,1,1,0,0,2,5,4.0,-6
13,14,14,2010-11-27,28-320,MEM,@,CLE,L (-6),0,5:41,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,0,1,0,0.9,+2
14,15,15,2010-11-30,28-323,MEM,,LAL,W (+2),0,4:29,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-6
15,16,16,2010-12-01,28-324,MEM,@,ATL,L (-3),0,13:53,4,6,.667,0,0,,0,0,,0,1,1,1,3,0,1,4,8,6.8,-2
16,17,17,2010-12-03,28-326,MEM,,HOU,L (-16),0,4:42,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.9,+2
17,18,18,2010-12-05,28-328,MEM,@,DEN,L (-1),0,5:08,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,2,2,0.5,+3
18,19,19,2010-12-06,28-329,MEM,@,UTA,L (-9),0,0:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
19,20,20,2010-12-11,28-334,MEM,@,LAC,W (+1),0,15:54,3,5,.600,0,1,.000,2,3,.667,0,2,2,0,4,1,2,2,8,7.8,+5
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2010-12-13,28-336,MEM,,POR,W (+13),0,17:36,1,4,.250,0,0,,0,0,,1,1,2,1,3,1,1,2,2,3.2,+17
22,22,22,2010-12-15,28-338,MEM,,CHA,W (+33),0,11:31,1,2,.500,0,0,,1,2,.500,0,1,1,1,1,1,0,2,3,3.5,+11
23,23,23,2010-12-17,28-340,MEM,@,HOU,L (-16),0,14:35,0,6,.000,0,0,,1,2,.500,1,3,4,0,0,3,2,0,1,-1.9,-18
24,24,24,2010-12-18,28-341,MEM,@,SAS,L (-6),1,29:10,5,9,.556,1,1,1.000,4,7,.571,2,1,3,1,1,1,3,3,15,9.4,-14
25,25,25,2010-12-21,28-344,MEM,,NJN,L (-7),0,6:40,1,4,.250,0,0,,1,2,.500,0,1,1,0,0,0,1,0,3,-0.5,-2
26,26,26,2010-12-26,28-349,MEM,@,IND,W (+14),0,12:11,3,4,.750,0,0,,1,1,1.000,0,0,0,0,0,0,1,3,7,3.2,-13
27,27,27,2010-12-27,28-350,MEM,,TOR,W (+11),0,33:49,5,9,.556,0,0,,4,4,1.000,1,7,8,2,6,1,2,3,14,17.4,+13
28,28,28,2010-12-29,28-352,MEM,@,SAC,L (-2),1,24:07,3,6,.500,0,0,,4,4,1.000,0,3,3,2,3,0,2,3,10,9.1,-5
29,29,29,2011-01-01,28-355,MEM,@,UTA,L (-6),0,14:26,0,3,.000,0,1,.000,0,0,,0,3,3,1,2,0,2,4,0,-2.1,-7
30,30,30,2011-01-02,28-356,MEM,@,LAL,W (+19),1,28:10,5,12,.417,0,1,.000,0,0,,3,2,5,4,3,0,2,3,10,8.9,+1
31,31,31,2011-01-04,28-358,MEM,,OKC,W (+5),1,31:55,6,13,.462,2,3,.667,5,5,1.000,2,0,2,2,3,2,1,5,19,16.5,0
32,32,32,2011-01-07,28-361,MEM,,UTA,W (+11),1,22:41,3,5,.600,0,0,,0,0,,0,0,0,0,4,1,1,1,6,7.0,+6
33,33,33,2011-01-08,28-362,MEM,@,OKC,L (-9),1,18:07,2,5,.400,0,0,,5,7,.714,1,1,2,0,1,0,2,4,9,3.9,-9
34,34,34,2011-01-10,28-364,MEM,@,CHA,L (-14),1,31:49,5,9,.556,0,0,,3,6,.500,1,3,4,2,5,2,2,3,13,13.7,+4
35,35,35,2011-01-21,29-010,MEM,,HOU,W (+5),0,11:36,2,4,.500,0,0,,2,2,1.000,1,2,3,0,0,0,0,0,6,5.3,+7
36,36,36,2011-01-22,29-011,MEM,@,MIL,W (+13),0,6:10,1,2,.500,0,0,,0,0,,0,0,0,2,1,0,1,0,2,2.4,+3
37,37,37,2011-01-24,29-013,MEM,@,TOR,W (+2),0,10:39,4,6,.667,0,0,,0,0,,0,1,1,0,2,0,1,0,8,6.7,-5
38,38,38,2011-01-26,29-015,MEM,@,NJN,L (-5),0,18:10,2,2,1.000,0,0,,0,2,.000,0,3,3,1,4,1,0,2,4,8.1,-9
39,39,39,2011-01-28,29-017,MEM,@,PHI,W (+5),0,19:59,2,5,.400,0,0,,4,4,1.000,3,3,6,2,2,3,1,4,8,11.2,-3
40,40,40,2011-01-29,29-018,MEM,,WAS,W (+14),0,34:04,6,8,.750,0,0,,3,3,1.000,1,1,2,1,3,0,0,2,15,15.7,+24
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2011-01-31,29-020,MEM,,ORL,W (+3),0,16:44,2,5,.400,0,0,,2,2,1.000,1,0,1,4,1,1,1,1,6,7.1,+1
43,42,42,2011-02-02,29-022,MEM,@,MIN,W (+18),0,17:58,2,6,.333,0,2,.000,2,2,1.000,1,0,1,0,2,0,2,1,6,2.9,-3
44,43,43,2011-02-04,29-024,MEM,,CLE,W (+7),0,16:09,0,3,.000,0,0,,0,0,,0,3,3,0,0,0,1,0,0,-2.2,-1
45,44,44,2011-02-05,29-025,MEM,@,HOU,L (-2),0,16:47,3,6,.500,0,0,,0,0,,0,1,1,3,2,0,0,5,6,5.4,+8
46,45,45,2011-02-07,29-027,MEM,,LAL,L (-9),0,21:28,2,5,.400,0,1,.000,2,2,1.000,4,0,4,2,1,0,1,5,6,5.5,-6
47,46,46,2011-02-08,29-028,MEM,@,OKC,W (+4),1,40:10,9,12,.750,0,0,,9,12,.750,1,3,4,1,5,3,0,5,27,28.4,+24
48,47,47,2011-02-11,29-031,MEM,,MIL,W (+3),0,24:40,3,7,.429,0,0,,4,8,.500,0,1,1,2,2,2,1,2,10,8.0,+14
49,48,48,2011-02-13,29-033,MEM,,DEN,W (+8),0,27:53,6,8,.750,0,0,,5,6,.833,0,3,3,0,3,0,0,2,17,16.5,+6
50,49,49,2011-02-15,29-035,MEM,,PHI,W (+11),0,31:46,5,13,.385,0,0,,0,0,,1,2,3,0,2,0,1,4,10,3.6,+7
51,50,50,2011-02-22,29-042,MEM,@,DEN,L (-13),1,31:02,8,15,.533,0,0,,10,14,.714,2,6,8,2,1,0,2,4,26,19.1,-5
52,51,51,2011-02-23,29-043,MEM,@,MIN,W (+9),1,36:35,6,11,.545,0,0,,4,4,1.000,2,1,3,0,2,1,0,4,16,13.5,+15
53,52,52,2011-02-26,29-046,MEM,,SAC,W (+28),1,15:45,1,2,.500,0,0,,2,2,1.000,0,0,0,2,1,0,1,1,4,4.0,+2
54,53,53,2011-02-27,29-047,MEM,@,SAS,L (-7),1,18:51,5,10,.500,0,1,.000,0,1,.000,3,0,3,1,0,1,2,5,10,4.1,-17
55,54,54,2011-03-01,29-049,MEM,,SAS,W (+16),1,33:16,8,9,.889,0,0,,4,4,1.000,1,2,3,1,1,0,1,3,20,17.7,+15
56,55,55,2011-03-04,29-052,MEM,,NOH,L (-7),1,27:26,2,5,.400,0,0,,2,2,1.000,3,3,6,1,2,3,4,2,6,6.3,-14
57,56,56,2011-03-06,29-054,MEM,@,DAL,W (+1),1,19:36,2,8,.250,0,0,,0,0,,0,2,2,2,1,0,1,1,4,0.8,-21
58,57,57,2011-03-07,29-055,MEM,,OKC,W (+6),1,31:07,7,12,.583,1,2,.500,5,7,.714,3,3,6,2,1,0,1,3,20,16.8,-2
59,58,58,2011-03-09,29-057,MEM,,NYK,L (-2),1,31:40,7,8,.875,0,0,,8,9,.889,0,1,1,4,2,1,2,4,22,21.0,-10
60,59,59,2011-03-12,29-060,MEM,@,MIA,L (-33),1,22:42,2,7,.286,0,1,.000,2,2,1.000,1,2,3,0,1,0,0,1,6,3.8,-32
