,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-10-27,30-126,TOR,,NYK,L (-5),0,12:36,3,6,.500,1,1,1.000,1,1,1.000,2,3,5,0,0,0,0,1,8,6.9,-4
1,2,2,2010-10-29,30-128,TOR,,CLE,W (+20),0,14:17,3,4,.750,0,1,.000,0,0,,1,4,5,0,1,0,2,0,6,5.3,+6
2,3,3,2010-11-01,30-131,TOR,@,SAC,L (-3),0,14:39,2,2,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,1,3,5,3.5,-4
3,4,4,2010-11-03,30-133,TOR,@,UTA,L (-17),0,11:54,0,1,.000,0,0,,2,2,1.000,0,3,3,0,0,1,1,1,2,1.5,+2
4,5,5,2010-11-05,30-135,TOR,@,LAL,L (-5),0,10:15,1,2,.500,0,0,,2,2,1.000,1,1,2,1,0,0,0,2,4,3.9,0
5,6,6,2010-11-06,30-136,TOR,@,POR,L (-13),0,16:15,0,3,.000,0,2,.000,0,0,,1,2,3,3,1,0,0,0,0,2.3,+16
6,7,7,2010-11-08,30-138,TOR,,GSW,L (-7),0,15:07,3,6,.500,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,8,5.3,+6
7,8,8,2010-11-13,30-143,TOR,@,MIA,L (-9),0,13:47,2,6,.333,0,1,.000,0,0,,2,3,5,0,0,0,0,1,4,2.5,-5
8,9,9,2010-11-16,30-146,TOR,@,WAS,L (-15),0,15:30,2,5,.400,0,1,.000,0,0,,0,0,0,2,1,0,3,1,4,0.3,+3
9,10,10,2010-11-17,30-147,TOR,@,PHI,W (+8),0,13:55,3,4,.750,0,0,,0,0,,0,4,4,0,0,1,1,1,6,4.9,+5
10,11,11,2010-11-19,30-149,TOR,,HOU,W (+10),0,11:42,4,8,.500,1,2,.500,0,0,,1,3,4,0,0,1,0,1,9,6.9,+10
11,12,12,2010-12-05,30-165,NOH,@,SAS,L (-25),0,3:12,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-10
12,13,13,2010-12-08,30-168,NOH,,DET,W (+19),0,13:58,1,4,.250,1,1,1.000,0,0,,0,4,4,2,0,0,1,2,3,1.4,-2
13,14,14,2010-12-10,30-170,NOH,,OKC,L (-5),0,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
14,15,15,2010-12-12,30-172,NOH,@,PHI,L (-18),0,7:55,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,3,2.0,+3
15,16,16,2010-12-15,30-175,NOH,,SAC,W (+3),0,5:04,1,2,.500,0,0,,1,1,1.000,2,0,2,0,0,0,0,2,3,2.6,0
16,17,17,2010-12-17,30-177,NOH,,UTA,W (+29),0,3:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0
17,18,18,2010-12-19,30-179,NOH,@,DET,L (-3),0,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7
18,19,19,2010-12-20,30-180,NOH,@,IND,L (-1),0,6:34,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,0,0,-1.8,0
19,20,20,2010-12-26,30-186,NOH,,ATL,W (+7),0,4:20,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,+3
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2010-12-29,30-189,NOH,,LAL,L (-15),0,4:39,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-0.8,+2
22,22,22,2011-01-17,30-208,NOH,,TOR,W (+4),0,4:18,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,2,0,0.2,-4
23,23,23,2011-01-21,30-212,NOH,@,ATL,W (+41),0,6:25,3,3,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,0,0,7,7.0,+7
24,24,24,2011-01-22,30-213,NOH,,SAS,W (+24),0,4:16,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.2,0
25,25,25,2011-01-26,30-217,NOH,@,GSW,W (+9),0,11:26,2,5,.400,0,1,.000,1,4,.250,2,1,3,1,0,0,1,2,5,1.7,+2
26,26,26,2011-01-30,30-221,NOH,@,PHO,L (-2),0,17:35,3,6,.500,0,0,,0,0,,1,5,6,0,0,0,2,1,6,2.8,+12
27,27,27,2011-02-01,30-223,NOH,,WAS,W (+8),0,12:52,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,1,1,4,0.9,+2
28,28,28,2011-02-02,30-224,NOH,@,OKC,L (-11),0,14:03,6,8,.750,1,2,.500,0,0,,0,1,1,0,0,1,0,0,13,10.8,+4
29,29,29,2011-02-05,30-227,NOH,,LAL,L (-6),0,20:38,5,7,.714,1,3,.333,0,0,,2,4,6,1,0,0,1,2,11,9.6,+5
30,30,30,2011-02-07,30-229,NOH,,MIN,L (-12),0,8:59,2,4,.500,0,0,,0,0,,1,1,2,0,0,1,0,0,4,3.7,-10
31,31,31,2011-02-09,30-231,NOH,@,NJN,L (-2),0,6:19,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-8
32,32,32,2011-02-11,30-233,NOH,@,ORL,W (+6),0,11:42,5,7,.714,0,1,.000,0,0,,1,2,3,1,1,0,0,3,10,8.9,-2
33,33,33,2011-02-12,30-234,NOH,,CHI,L (-9),0,13:28,0,3,.000,0,1,.000,0,0,,1,2,3,1,0,1,2,4,0,-3.0,-7
34,34,34,2011-02-15,30-237,NOH,@,GSW,L (-13),0,11:52,0,4,.000,0,0,,0,2,.000,1,2,3,0,0,1,2,2,0,-4.4,0
