,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-10-27,22-216,MEM,,ATL,L (-15),1,30:44,8,12,.667,0,0,,3,3,1.000,0,3,3,0,0,0,2,6,19,10.3,-9
1,2,2,2010-10-29,22-218,MEM,@,DAL,W (+1),1,26:39,6,10,.600,0,0,,2,2,1.000,2,3,5,1,1,1,1,5,14,11.1,+6
2,3,3,2010-10-30,22-219,MEM,,MIN,W (+20),1,30:31,7,13,.538,0,0,,4,4,1.000,1,5,6,1,2,0,1,5,18,13.6,+18
3,4,4,2010-11-02,22-222,MEM,@,LAL,L (-19),1,34:19,5,15,.333,0,0,,0,1,.000,2,5,7,2,2,1,1,2,10,6.3,-11
4,5,5,2010-11-03,22-223,MEM,@,GSW,L (-6),1,27:50,5,9,.556,0,0,,0,0,,1,3,4,0,0,0,2,6,10,2.9,+8
5,6,6,2010-11-05,22-225,MEM,@,PHO,L (-5),0,25:27,4,7,.571,0,0,,2,4,.500,5,6,11,0,2,2,3,2,10,10.8,-1
6,7,7,2010-11-06,22-226,MEM,@,SAC,W (+9),0,14:28,2,5,.400,0,0,,0,0,,3,4,7,0,0,0,1,1,4,3.2,+7
7,8,8,2010-11-08,22-228,MEM,,PHO,W (+10),0,20:28,0,0,,0,0,,2,2,1.000,1,1,2,0,1,1,1,1,2,3.3,-3
8,9,9,2010-11-10,22-230,MEM,,DAL,L (-15),0,17:29,3,4,.750,0,0,,3,4,.750,0,3,3,0,0,0,1,1,9,6.5,-11
9,10,10,2010-11-13,22-233,MEM,,BOS,L (-6),0,16:37,3,6,.500,0,0,,0,0,,2,4,6,0,0,0,0,1,6,5.2,+9
10,11,11,2010-11-15,22-235,MEM,@,ORL,L (-17),0,18:31,3,7,.429,0,0,,1,2,.500,0,4,4,1,0,1,1,3,7,3.3,-11
11,12,12,2010-11-16,22-236,MEM,,POR,L (-1),0,18:29,2,4,.500,0,0,,4,4,1.000,0,0,0,0,1,1,2,5,8,3.7,+4
12,13,13,2010-11-19,22-239,MEM,@,WAS,L (-3),0,13:15,2,5,.400,0,0,,1,2,.500,2,2,4,1,1,0,1,4,5,3.0,+1
13,14,14,2010-11-20,22-240,MEM,,MIA,W (+2),1,28:47,7,9,.778,0,0,,0,0,,1,5,6,1,0,1,1,3,14,11.9,+9
14,15,15,2010-11-24,22-244,MEM,,DET,W (+21),0,26:29,7,9,.778,0,0,,0,0,,1,5,6,0,2,1,0,3,14,14.2,+2
15,16,16,2010-11-26,22-246,MEM,,GSW,W (+5),0,20:51,3,8,.375,0,0,,0,0,,1,5,6,2,1,4,1,2,6,7.2,-4
16,17,17,2010-11-27,22-247,MEM,@,CLE,L (-6),0,20:47,2,5,.400,0,0,,0,0,,0,7,7,0,1,1,0,3,4,3.9,+6
17,18,18,2010-12-03,22-253,MEM,,HOU,L (-16),0,18:51,3,9,.333,0,0,,1,2,.500,2,2,4,0,0,0,0,3,7,2.3,-6
18,19,19,2010-12-05,22-255,MEM,@,DEN,L (-1),0,15:20,4,6,.667,0,0,,0,0,,1,1,2,0,1,0,2,4,8,3.8,+2
19,20,20,2010-12-06,22-256,MEM,@,UTA,L (-9),0,17:26,4,7,.571,0,0,,0,0,,2,1,3,0,1,0,1,4,8,4.8,-8
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2010-12-08,22-258,MEM,@,PHO,W (+6),0,29:27,5,13,.385,0,1,.000,2,2,1.000,4,6,10,2,1,0,4,3,12,6.7,-11
22,22,22,2010-12-11,22-261,MEM,@,LAC,W (+1),0,16:49,1,4,.250,0,0,,2,2,1.000,2,2,4,0,1,0,1,3,4,2.4,-8
23,23,23,2010-12-13,22-263,MEM,,POR,W (+13),0,20:35,2,4,.500,0,0,,0,0,,3,3,6,1,0,0,1,1,4,4.3,+12
24,24,24,2010-12-15,22-265,MEM,,CHA,W (+33),0,16:44,4,6,.667,0,0,,2,4,.500,1,3,4,0,0,0,0,3,10,7.0,+15
25,25,25,2010-12-17,22-267,MEM,@,HOU,L (-16),0,18:50,4,9,.444,0,0,,0,0,,0,3,3,0,3,2,2,3,8,5.4,-13
26,26,26,2010-12-18,22-268,MEM,@,SAS,L (-6),0,17:32,1,6,.167,0,0,,0,0,,2,1,3,1,0,0,0,2,2,-0.2,-10
27,27,27,2010-12-21,22-271,MEM,,NJN,L (-7),0,18:28,2,5,.400,0,0,,0,0,,3,0,3,0,0,0,0,1,4,3.0,-10
28,28,28,2010-12-26,22-276,MEM,@,IND,W (+14),0,12:36,1,4,.250,0,0,,0,0,,0,3,3,0,0,0,1,2,2,-1.3,-2
29,29,29,2010-12-27,22-277,MEM,,TOR,W (+11),0,20:43,3,6,.500,0,0,,2,2,1.000,2,2,4,0,0,0,0,2,8,6.2,+4
30,30,30,2010-12-29,22-279,MEM,@,SAC,L (-2),0,13:35,3,5,.600,0,0,,0,0,,0,0,0,1,1,0,0,2,6,4.6,+1
31,31,31,2011-01-01,22-282,MEM,@,UTA,L (-6),0,12:36,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,2,0,0,-1.7,-1
32,32,32,2011-01-02,22-283,MEM,@,LAL,W (+19),0,14:14,4,7,.571,0,0,,1,1,1.000,2,1,3,2,1,0,0,0,9,9.8,+4
33,33,33,2011-01-04,22-285,MEM,,OKC,W (+5),0,17:53,4,10,.400,0,0,,1,3,.333,0,1,1,1,1,1,0,2,9,4.7,-1
