,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-10-27,27-333,TOR,,NYK,L (-5),0,24:25,6,16,.375,1,2,.500,0,0,,0,2,2,1,0,0,0,0,13,5.5,-10
1,2,2,2010-10-29,27-335,TOR,,CLE,W (+20),0,21:02,5,10,.500,1,4,.250,2,2,1.000,0,3,3,2,1,1,1,2,13,10.2,+2
2,3,3,2010-11-01,27-338,TOR,@,SAC,L (-3),0,11:47,1,6,.167,0,2,.000,0,0,,2,1,3,0,0,0,3,2,2,-3.9,-6
3,4,4,2010-11-03,27-340,TOR,@,UTA,L (-17),0,19:55,3,8,.375,0,1,.000,3,4,.750,0,0,0,1,1,0,0,2,9,5.1,-14
4,5,5,2010-11-05,27-342,TOR,@,LAL,L (-5),0,24:48,6,13,.462,3,5,.600,2,2,1.000,0,2,2,2,2,0,3,2,17,10.5,+7
5,6,6,2010-11-06,27-343,TOR,@,POR,L (-13),0,21:26,4,10,.400,0,3,.000,4,5,.800,1,0,1,1,1,0,0,2,12,7.8,-2
6,7,7,2010-11-08,27-345,TOR,,GSW,L (-7),0,14:58,3,8,.375,0,2,.000,1,2,.500,0,1,1,1,3,0,1,1,7,4.8,+1
7,8,8,2010-11-21,27-358,TOR,,BOS,W (+1),0,21:14,3,6,.500,1,3,.333,5,6,.833,0,1,1,5,2,0,1,3,12,12.2,+21
8,9,9,2010-11-24,27-361,TOR,,PHI,W (+16),0,27:34,5,14,.357,1,6,.167,0,0,,0,0,0,2,0,0,0,1,11,4.2,+10
9,10,10,2010-11-26,27-363,TOR,@,BOS,L (-9),0,31:26,6,8,.750,1,2,.500,1,2,.500,1,2,3,1,0,0,1,2,14,10.6,+13
10,11,11,2010-11-28,28-000,TOR,,ATL,L (-18),0,29:22,4,10,.400,0,3,.000,0,0,,0,0,0,0,1,1,0,2,8,3.5,-18
11,12,12,2010-12-01,28-003,TOR,,WAS,W (+19),0,20:46,7,13,.538,2,2,1.000,0,0,,0,3,3,3,0,0,2,2,16,9.9,+18
12,13,13,2010-12-03,28-005,TOR,,OKC,W (+12),0,26:18,7,12,.583,2,5,.400,6,9,.667,0,1,1,0,2,0,1,3,22,15.3,-4
