,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-10-29,34-260,PHI,,ATL,L (-3),0,9:59,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,1,0,1,3,2.9,+3
1,2,2,2010-10-30,34-261,PHI,@,IND,L (-13),0,9:06,0,3,.000,0,0,,0,0,,0,3,3,0,0,1,0,2,0,-1.3,+8
2,3,3,2010-11-02,34-264,PHI,@,WAS,L (-1),0,8:39,2,2,1.000,0,0,,0,0,,1,2,3,0,1,0,0,0,4,5.7,-10
3,4,4,2010-11-05,34-267,PHI,,CLE,L (-7),0,26:19,4,6,.667,0,0,,0,0,,2,5,7,2,1,2,1,4,8,9.5,+14
4,5,5,2010-11-07,34-269,PHI,@,NYK,W (+10),0,15:44,3,3,1.000,0,0,,0,0,,0,5,5,0,1,0,0,2,6,6.8,+15
5,6,6,2010-11-10,34-272,PHI,@,OKC,L (-6),0,10:05,1,5,.200,0,0,,0,0,,1,3,4,0,0,0,0,0,2,0.5,-2
6,7,7,2010-11-12,34-274,PHI,@,DAL,L (-9),0,3:55,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,2.3,-8
7,8,8,2010-11-13,34-275,PHI,@,SAS,L (-23),0,6:38,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-10
8,9,9,2010-11-16,34-278,PHI,@,CLE,L (-8),0,10:29,2,4,.500,0,0,,1,2,.500,1,2,3,0,0,1,0,4,5,3.0,-3
9,10,10,2010-11-17,34-279,PHI,,TOR,L (-8),0,17:00,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,1,1,0,0,-1.4,-12
10,11,11,2010-11-19,34-281,PHI,,MIL,W (+11),0,3:25,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,0
11,12,12,2010-11-24,34-286,PHI,@,TOR,L (-16),0,5:10,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,0
12,13,13,2010-11-27,34-289,PHI,,NJN,W (+16),0,15:45,4,4,1.000,1,1,1.000,0,0,,0,6,6,2,0,1,0,0,9,11.7,+14
13,14,14,2010-11-30,34-292,PHI,,POR,W (+9),0,10:05,2,4,.500,0,0,,0,0,,1,2,3,0,0,0,0,1,4,2.9,+2
14,15,15,2010-12-03,34-295,PHI,@,ATL,L (-5),0,15:23,1,4,.250,0,0,,1,2,.500,2,3,5,0,0,0,1,1,3,1.1,-5
15,16,16,2010-12-14,34-306,PHI,@,NJN,W (+5),0,13:09,2,3,.667,0,0,,0,0,,1,3,4,0,0,0,1,2,4,2.5,-9
16,17,17,2010-12-15,34-307,PHI,,LAC,W (+14),0,0:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
17,18,18,2010-12-17,34-309,PHI,,LAL,L (-12),0,6:11,0,0,,0,0,,0,0,,1,2,3,0,1,1,1,2,0,1.2,-4
18,19,19,2010-12-21,34-313,PHI,@,CHI,L (-45),0,11:20,1,2,.500,0,0,,1,2,.500,1,1,2,0,0,0,1,2,3,0.8,-12
19,20,20,2010-12-22,34-314,PHI,@,BOS,L (-4),0,25:33,5,8,.625,0,0,,0,1,.000,1,5,6,0,0,4,0,4,10,9.4,0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2010-12-26,34-318,PHI,@,DEN,W (+6),0,8:51,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-0.1,-5
22,22,22,2010-12-31,34-323,PHI,@,LAL,L (-4),0,8:12,0,3,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-1.5,+4
23,23,23,2011-01-03,34-326,PHI,@,NOH,L (-7),0,5:54,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.7,-2
24,24,24,2011-01-19,34-342,PHI,@,ORL,L (-1),0,9:07,1,1,1.000,0,0,,2,3,.667,0,1,1,0,0,0,0,2,4,2.8,+12
25,25,25,2011-01-22,34-345,PHI,,UTA,W (+11),0,7:15,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3
26,26,26,2011-01-28,34-351,PHI,,MEM,L (-5),0,3:23,1,3,.333,1,1,1.000,0,0,,1,0,1,0,0,0,1,2,3,0.2,+5
27,27,27,2011-02-02,34-356,PHI,@,NJN,W (+14),0,3:18,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+1
28,28,28,2011-02-04,34-358,PHI,,NYK,W (+2),0,8:24,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,3,2,0,-4.6,-7
29,29,29,2011-02-06,34-360,PHI,@,NYK,L (-14),0,5:20,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-4
30,30,30,2011-02-09,34-363,PHI,,ORL,L (-4),0,19:08,2,6,.333,0,0,,0,0,,1,3,4,2,1,0,1,4,4,2.0,+5
31,31,31,2011-03-12,35-029,PHI,@,MIL,L (-28),0,8:29,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-1.6,-10
32,32,32,2011-03-14,35-031,PHI,@,UTA,L (-5),0,11:51,0,0,,0,0,,0,0,,0,6,6,1,0,0,0,4,0,0.9,+5
33,33,33,2011-03-16,35-033,PHI,@,LAC,W (+10),0,13:12,1,2,.500,0,0,,0,0,,1,3,4,1,0,0,0,4,2,1.7,-13
34,34,34,2011-03-18,35-035,PHI,@,SAC,W (+22),0,9:18,3,6,.500,0,0,,0,0,,1,3,4,0,0,0,1,3,6,2.4,+3
35,35,35,2011-03-19,35-036,PHI,@,POR,L (-9),0,13:01,2,3,.667,0,0,,2,2,1.000,0,6,6,0,0,0,0,3,6,5.3,+1
36,36,36,2011-03-23,35-040,PHI,,ATL,W (+5),0,7:58,2,3,.667,0,0,,0,0,,0,2,2,1,0,0,0,0,4,4.0,-4
37,37,37,2011-03-27,35-044,PHI,,SAC,L (-3),0,4:22,0,0,,0,0,,0,0,,0,2,2,0,0,2,0,2,0,1.2,-2
38,38,38,2011-04-01,35-049,PHI,,NJN,W (+25),0,5:06,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-0.8,-8
