,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2012-01-01,23-286,TOR,@,ORL,L (-6),0,0:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
1,2,2,2012-01-29,23-314,TOR,@,NJN,W (+21),0,2:10,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.0,2
2,3,3,2012-02-01,23-317,TOR,@,BOS,L (-36),0,4:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-6
3,4,4,2012-03-20,23-365,TOR,@,NYK,L (-19),0,2:19,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,2
4,5,5,2012-03-23,24-002,TOR,,NYK,W (+17),0,1:50,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,1
5,6,6,2012-03-26,24-005,TOR,,ORL,L (-16),0,1:43,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,1
6,7,7,2012-04-04,24-014,TOR,@,PHI,W (+21),0,1:30,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,2
7,8,8,2012-04-11,24-021,TOR,,PHI,L (-18),0,3:39,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,3
8,9,9,2012-04-15,24-025,TOR,@,ATL,W (+16),0,2:23,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
9,10,10,2012-04-16,24-026,TOR,,ATL,L (-22),0,24:10,4,9,0.444,0,0,,0,0,,4,5,9,1,1,1,2,3,8,6.8,-18
10,11,11,2012-04-18,24-028,TOR,@,MIA,L (-24),0,10:04,1,3,0.33299999999999996,0,0,,0,0,,2,4,6,0,0,2,2,3,2,1.1,-2
11,12,12,2012-04-22,24-032,TOR,@,DET,L (-3),0,24:00,2,7,0.28600000000000003,0,0,,2,2,1.0,4,6,10,0,1,1,0,3,6,7.0,4
12,13,13,2012-04-23,24-033,TOR,@,MIL,L (-6),0,3:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,3
13,14,14,2012-04-26,24-036,TOR,,NJN,W (+31),0,40:17,3,10,0.3,0,0,,5,6,0.833,5,14,19,0,0,3,0,1,11,14.2,14
