,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2011-12-26,22-276,SAS,,MEM,W (+13),0,20:46,4,9,.444,1,5,.200,0,0,,0,2,2,2,0,0,0,1,9,5.9,-3
1,2,2,2011-12-28,22-278,SAS,,LAC,W (+25),0,21:12,4,8,.500,0,2,.000,4,4,1.000,1,2,3,1,0,0,3,1,12,6.6,+9
2,3,3,2011-12-29,22-279,SAS,@,HOU,L (-20),0,21:38,1,3,.333,0,1,.000,1,2,.500,2,1,3,1,1,0,2,0,3,2.3,+1
3,4,4,2011-12-31,22-281,SAS,,UTA,W (+15),0,21:35,2,6,.333,1,3,.333,3,4,.750,0,3,3,2,0,0,1,4,8,3.9,+8
4,5,5,2012-01-02,22-283,SAS,@,MIN,L (-10),0,22:15,1,6,.167,1,5,.200,1,2,.500,0,2,2,1,1,0,2,0,4,0.1,-11
5,6,6,2012-01-04,22-285,SAS,,GSW,W (+6),1,19:35,2,6,.333,1,3,.333,0,0,,0,2,2,2,0,0,0,1,5,3.2,+3
6,7,7,2012-01-05,22-286,SAS,,DAL,W (+22),0,6:08,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,4.7,-4
7,8,8,2012-01-07,22-288,SAS,,DEN,W (+4),0,4:04,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,+3
8,9,9,2012-01-08,22-289,SAS,@,OKC,L (-12),0,17:17,2,7,.286,0,2,.000,0,0,,1,2,3,0,0,0,1,2,4,-0.6,0
9,10,10,2012-01-10,22-291,SAS,@,MIL,L (-3),0,9:22,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,0,0,-0.4,0
10,11,11,2012-01-11,22-292,SAS,,HOU,W (+6),0,3:47,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,0
11,12,12,2012-01-13,22-294,SAS,,POR,W (+16),0,9:39,3,6,.500,0,2,.000,0,0,,1,0,1,1,0,0,1,2,6,2.6,+10
12,13,13,2012-01-17,22-298,SAS,@,MIA,L (-22),0,8:30,0,1,.000,0,0,,3,4,.750,0,0,0,1,0,0,0,0,3,2.6,-4
13,14,14,2012-01-23,22-304,SAS,@,NOH,W (+2),0,10:10,1,4,.250,0,2,.000,2,2,1.000,1,0,1,1,0,0,1,1,4,1.6,+13
14,15,15,2012-01-25,22-306,SAS,,ATL,W (+22),0,4:26,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,2.4,+1
15,16,16,2012-01-29,22-310,SAS,@,DAL,L (-1),0,20:27,3,4,.750,2,2,1.000,0,0,,0,5,5,3,0,0,0,1,8,9.6,+17
16,17,17,2012-01-30,22-311,SAS,@,MEM,W (+10),0,1:43,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-4
17,18,18,2012-02-01,22-313,SAS,,HOU,W (+8),0,12:41,1,5,.200,1,3,.333,2,2,1.000,0,2,2,0,0,0,0,0,5,2.5,+13
18,19,19,2012-02-02,22-314,SAS,,NOH,W (+12),0,1:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4
19,20,20,2012-02-04,22-316,SAS,,OKC,W (+11),0,1:48,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-0.7,-4
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2012-02-06,22-318,SAS,@,MEM,W (+5),0,7:35,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,0.9,+9
22,22,22,2012-02-11,22-323,SAS,@,NJN,W (+14),0,9:19,2,5,.400,0,2,.000,0,0,,0,0,0,1,1,0,0,2,4,2.2,-1
23,23,23,2012-02-20,22-332,SAS,@,UTA,W (+4),0,7:35,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,3.7,0
24,24,24,2012-02-21,22-333,SAS,@,POR,L (-40),0,34:45,2,12,.167,1,5,.200,6,8,.750,1,1,2,1,0,0,0,2,11,3.5,-34
25,25,25,2012-02-23,22-335,SAS,@,DEN,W (+15),0,18:35,0,4,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,2,0,-1.9,-1
26,26,26,2012-02-29,22-341,SAS,,CHI,L (-7),0,24:22,2,3,.667,0,0,,1,2,.500,0,5,5,2,0,1,2,2,5,4.1,-13
27,27,27,2012-03-02,22-343,SAS,,CHA,W (+30),0,9:48,0,1,.000,0,0,,0,2,.000,0,3,3,1,0,0,0,0,0,0.1,+14
28,28,28,2012-03-04,22-345,SAS,,DEN,L (-5),0,5:29,0,1,.000,0,1,.000,0,0,,0,0,0,2,1,0,0,0,0,1.7,-1
29,29,29,2012-03-07,22-348,SAS,,NYK,W (+13),0,6:26,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,0,2,0.6,+1
30,30,30,2012-03-09,22-350,SAS,,LAC,L (-12),0,6:15,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6,-2
31,31,31,2012-03-12,22-353,SAS,,WAS,W (+15),0,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
32,32,32,2012-03-14,22-355,SAS,,ORL,W (+11),0,2:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+6
33,33,33,2012-03-16,22-357,SAS,@,OKC,W (+9),0,14:57,2,3,.667,0,0,,1,2,.500,0,1,1,2,1,0,0,1,5,5.6,+10
