,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2011-12-25,27-164,NYK,,BOS,W (+2),0,7:41,1,1,1.0,0,0,,0,0,,2,1,3,1,0,0,0,2,2,3.3,5
1,2,2,2011-12-28,27-167,NYK,@,GSW,L (-14),0,14:58,2,4,0.5,0,1,0.0,0,0,,0,2,2,2,0,0,0,1,4,3.6,2
2,3,3,2011-12-29,27-168,NYK,@,LAL,L (-17),0,10:19,0,1,0.0,0,0,,3,4,0.75,1,2,3,0,0,0,0,1,3,2.8,3
3,4,4,2011-12-31,27-170,NYK,@,SAC,W (+22),0,2:40,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-9
4,5,5,2012-01-04,27-174,NYK,,CHA,L (-8),0,11:31,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,2,1,0,0,0.7,-4
5,6,6,2012-01-07,27-177,NYK,@,DET,W (+23),0,12:40,3,5,0.6,0,1,0.0,0,0,,1,6,7,0,0,1,0,1,6,6.5,-6
6,7,7,2012-01-12,27-182,NYK,@,MEM,L (-11),0,10:37,1,3,0.33299999999999996,0,0,,1,2,0.5,0,1,1,0,0,0,0,2,3,0.4,-2
7,8,8,2012-01-14,27-184,NYK,@,OKC,L (-12),0,12:00,4,6,0.667,1,1,1.0,3,3,1.0,1,3,4,0,2,0,1,3,12,10.8,15
8,9,9,2012-01-24,27-194,NYK,@,CHA,W (+33),0,3:58,1,1,1.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,1,3,1.9,5
9,10,10,2012-01-28,27-198,NYK,@,HOU,L (-13),0,12:00,1,3,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,2,2,0,1,0,1,1,3,1.5,2
10,11,11,2012-01-31,27-201,NYK,,DET,W (+27),0,6:07,3,3,1.0,0,0,,0,0,,1,0,1,0,1,0,0,2,6,6.0,3
11,12,12,2012-02-02,27-203,NYK,,CHI,L (-3),0,3:56,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.0,-4
12,13,13,2012-02-04,27-205,NYK,,NJN,W (+7),0,1:53,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
13,14,14,2012-02-15,27-216,NYK,,SAC,W (+15),0,5:04,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,2,0,0,-2.4,-10
