,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2012-10-31,22-025,TOR,,IND,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
1,2,,2012-11-03,22-028,TOR,@,BRK,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
2,3,,2012-11-04,22-029,TOR,,MIN,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
3,4,,2012-11-06,22-031,TOR,@,OKC,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
4,5,1,2012-11-07,22-032,TOR,@,DAL,L (-5),0,4:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-6
5,6,,2012-11-10,22-035,TOR,,PHI,L (-10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,7,,2012-11-12,22-037,TOR,,UTA,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,8,,2012-11-13,22-038,TOR,@,IND,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
8,9,2,2012-11-17,22-042,TOR,@,BOS,L (-18),0,12:06,1,1,1.000,0,0,,4,4,1.000,2,2,4,0,2,1,0,0,6,10.4,+5
9,10,,2012-11-18,22-043,TOR,,ORL,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,11,,2012-11-20,22-045,TOR,@,PHI,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
11,12,,2012-11-21,22-046,TOR,@,CHA,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
12,13,,2012-11-23,22-048,TOR,@,DET,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
13,14,,2012-11-25,22-050,TOR,,SAS,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
14,15,,2012-11-27,22-052,TOR,@,HOU,L (-16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
15,16,3,2012-11-28,22-053,TOR,@,MEM,L (-21),0,4:20,0,1,.000,0,0,,1,2,.500,0,2,2,0,0,0,0,1,1,0.1,-2
16,17,,2012-11-30,22-055,TOR,,PHO,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
17,18,,2012-12-03,22-058,TOR,@,DEN,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
18,19,,2012-12-05,22-060,TOR,@,SAC,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
19,20,,2012-12-07,22-062,TOR,@,UTA,L (-32),Inactive,,,,,,,,,,,,,,,,,,,,,
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,,2012-12-09,22-064,TOR,@,LAC,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
22,22,,2012-12-10,22-065,TOR,@,POR,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
23,23,,2012-12-12,22-067,TOR,,BRK,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
24,24,4,2012-12-14,22-069,TOR,,DAL,W (+21),0,2:11,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+1
25,25,,2012-12-16,22-071,TOR,,HOU,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
26,26,,2012-12-18,22-073,TOR,@,CLE,W (+14),Did Not Play,,,,,,,,,,,,,,,,,,,,,
27,27,,2012-12-19,22-074,TOR,,DET,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
28,28,,2012-12-21,22-076,TOR,,ORL,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
29,29,5,2012-12-26,22-081,TOR,@,SAS,L (-20),0,2:57,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,1.0,-3
30,30,,2012-12-28,22-083,TOR,@,NOH,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
31,31,6,2012-12-29,22-084,TOR,@,ORL,W (+35),0,3:09,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,+9
32,32,7,2013-01-02,22-088,TOR,,POR,W (+23),0,4:54,0,0,,0,0,,2,2,1.000,0,0,0,0,0,1,0,2,2,1.9,+1
33,33,8,2013-01-04,22-090,TOR,,SAC,L (-9),0,11:35,0,2,.000,0,0,,0,0,,4,1,5,0,0,0,1,3,0,-0.5,+9
34,34,9,2013-01-06,22-092,TOR,,OKC,L (-12),0,2:54,1,1,1.000,0,0,,4,4,1.000,0,1,1,0,1,0,0,0,6,7.0,+6
35,35,,2013-01-09,22-095,TOR,,PHI,W (+18),Did Not Play,,,,,,,,,,,,,,,,,,,,,
36,36,10,2013-01-11,22-097,TOR,,CHA,W (+21),0,18:02,3,7,.429,0,0,,0,0,,5,1,6,0,0,2,2,4,6,3.9,+7
37,37,11,2013-01-13,22-099,TOR,,MIL,L (-11),0,13:12,0,3,.000,0,0,,2,2,1.000,1,1,2,0,0,0,1,1,2,-0.5,-20
38,38,12,2013-01-15,22-101,TOR,@,BRK,L (-7),0,6:08,2,2,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,6,4.4,+6
39,39,13,2013-01-16,22-102,TOR,,CHI,L (-2),0,14:50,4,4,1.000,0,0,,0,0,,1,5,6,2,1,1,0,4,8,10.5,+14
40,40,14,2013-01-18,22-104,TOR,@,PHI,L (-7),0,14:50,2,3,.667,0,0,,0,0,,2,1,3,0,0,1,1,5,4,2.1,+11
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,15,2013-01-20,22-106,TOR,,LAL,W (+5),0,8:20,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,1,2,1.6,+1
43,42,16,2013-01-23,22-109,TOR,@,MIA,L (-7),0,4:15,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,0.2,+3
44,43,,2013-01-24,22-110,TOR,@,ORL,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
45,44,17,2013-01-26,22-112,TOR,,CLE,L (-1),0,11:51,2,4,.500,0,0,,0,0,,0,0,0,0,0,2,1,3,4,1.2,-1
46,45,,2013-01-28,22-114,TOR,,GSW,L (-12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
47,46,18,2013-01-30,22-116,TOR,@,ATL,L (-1),0,6:43,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,1,2,1.3,+3
