,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2012-10-31,30-015,TOR,,IND,L (-2),0,18:50,0,3,.000,0,1,.000,0,0,,1,1,2,4,3,0,1,0,0,3.7,+1
1,2,2,2012-11-03,30-018,TOR,@,BRK,L (-7),0,12:37,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,0,2,2,3,-2.2,-5
2,3,3,2012-11-04,30-019,TOR,,MIN,W (+19),0,30:51,6,14,.429,4,8,.500,2,2,1.000,1,2,3,1,0,0,0,4,18,11.0,+20
3,4,4,2012-11-06,30-021,TOR,@,OKC,L (-20),0,18:39,1,6,.167,0,5,.000,1,2,.500,0,0,0,1,0,1,0,3,3,-1.0,-9
4,5,5,2012-11-07,30-022,TOR,@,DAL,L (-5),0,16:05,3,9,.333,2,6,.333,5,5,1.000,0,0,0,0,1,0,0,2,13,8.1,-7
5,6,6,2012-11-10,30-025,TOR,,PHI,L (-10),1,27:00,3,8,.375,1,5,.200,0,0,,0,3,3,1,0,0,2,1,7,1.8,+10
6,7,,2012-11-12,30-027,TOR,,UTA,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
7,8,,2012-11-13,30-028,TOR,@,IND,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
8,9,,2012-11-17,30-032,TOR,@,BOS,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
9,10,,2012-11-18,30-033,TOR,,ORL,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
10,11,,2012-11-20,30-035,TOR,@,PHI,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
11,12,,2012-11-21,30-036,TOR,@,CHA,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
12,13,,2012-11-23,30-038,TOR,@,DET,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
13,14,,2012-11-25,30-040,TOR,,SAS,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
14,15,,2012-11-27,30-042,TOR,@,HOU,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
15,16,,2012-11-28,30-043,TOR,@,MEM,L (-21),Inactive,,,,,,,,,,,,,,,,,,,,,
16,17,,2012-11-30,30-045,TOR,,PHO,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
17,18,,2012-12-03,30-048,TOR,@,DEN,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
18,19,,2012-12-05,30-050,TOR,@,SAC,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
19,20,,2012-12-07,30-052,TOR,@,UTA,L (-32),Inactive,,,,,,,,,,,,,,,,,,,,,
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,,2012-12-09,30-054,TOR,@,LAC,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
22,22,,2012-12-10,30-055,TOR,@,POR,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
23,23,,2012-12-12,30-057,TOR,,BRK,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
24,24,7,2012-12-14,30-059,TOR,,DAL,W (+21),0,21:16,0,8,.000,0,3,.000,2,2,1.000,2,3,5,2,1,0,1,2,2,-0.7,+8
25,25,8,2012-12-16,30-061,TOR,,HOU,W (+7),0,25:15,6,12,.500,3,7,.429,9,9,1.000,0,2,2,2,0,0,0,5,24,18.0,0
26,26,9,2012-12-18,30-063,TOR,@,CLE,W (+14),0,31:35,6,12,.500,5,7,.714,1,2,.500,4,2,6,2,1,0,1,4,18,14.8,+20
27,27,10,2012-12-19,30-064,TOR,,DET,W (+6),0,26:14,4,11,.364,3,8,.375,5,7,.714,0,3,3,1,2,0,0,3,16,11.5,+5
28,28,11,2012-12-21,30-066,TOR,,ORL,W (+3),0,26:25,2,9,.222,1,3,.333,5,5,1.000,0,1,1,2,2,0,2,5,10,4.2,-4
29,29,12,2012-12-26,30-071,TOR,@,SAS,L (-20),0,19:49,5,10,.500,2,4,.500,0,0,,0,1,1,1,1,0,1,3,12,6.8,-15
30,30,13,2012-12-28,30-073,TOR,@,NOH,W (+7),0,36:10,5,14,.357,2,9,.222,4,5,.800,1,1,2,3,3,0,1,1,16,12.5,+14
31,31,14,2012-12-29,30-074,TOR,@,ORL,W (+35),0,19:58,4,8,.500,3,6,.500,0,0,,0,0,0,2,0,0,2,4,11,4.8,+13
32,32,15,2013-01-02,30-078,TOR,,POR,W (+23),0,20:23,2,9,.222,0,2,.000,0,0,,1,1,2,2,1,0,2,3,4,-1.3,+8
33,33,16,2013-01-04,30-080,TOR,,SAC,L (-9),0,25:38,7,17,.412,2,9,.222,4,4,1.000,1,1,2,2,2,1,1,3,20,13.8,+5
34,34,17,2013-01-06,30-082,TOR,,OKC,L (-12),0,33:13,10,14,.714,4,8,.500,3,3,1.000,1,3,4,3,1,0,3,2,27,22.1,0
35,35,18,2013-01-09,30-085,TOR,,PHI,W (+18),0,25:21,4,13,.308,1,4,.250,0,0,,0,1,1,2,1,1,3,3,9,0.7,-1
36,36,19,2013-01-11,30-087,TOR,,CHA,W (+21),0,25:50,6,17,.353,4,9,.444,0,0,,1,2,3,2,1,0,1,2,16,8.4,+14
37,37,20,2013-01-13,30-089,TOR,,MIL,L (-11),0,28:33,2,10,.200,0,5,.000,1,2,.500,1,1,2,1,1,0,3,2,5,-2.7,-14
38,38,21,2013-01-15,30-091,TOR,@,BRK,L (-7),0,8:40,0,4,.000,0,1,.000,2,3,.667,0,0,0,0,0,0,1,0,2,-2.2,-5
39,39,22,2013-01-16,30-092,TOR,,CHI,L (-2),0,35:01,10,18,.556,4,9,.444,3,4,.750,1,4,5,1,1,0,1,6,27,18.2,+21
40,40,23,2013-01-18,30-094,TOR,@,PHI,L (-7),0,34:20,6,17,.353,2,5,.400,4,5,.800,1,4,5,2,1,0,1,0,18,11.4,-3
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,24,2013-01-20,30-096,TOR,,LAL,W (+5),0,28:29,5,13,.385,3,7,.429,1,2,.500,0,2,2,8,3,0,3,0,14,12.7,-15
43,42,25,2013-01-23,30-099,TOR,@,MIA,L (-7),0,35:47,7,18,.389,4,12,.333,2,2,1.000,0,1,1,2,0,0,1,1,20,10.5,-11
44,43,26,2013-01-24,30-100,TOR,@,ORL,W (+2),0,28:09,4,9,.444,0,4,.000,5,5,1.000,0,4,4,3,0,0,0,1,13,11.2,+4
45,44,27,2013-01-26,30-102,TOR,,CLE,L (-1),0,31:20,7,14,.500,0,2,.000,3,4,.750,1,1,2,3,2,0,1,4,17,12.1,-10
46,45,28,2013-01-28,30-104,TOR,,GSW,L (-12),0,26:25,2,11,.182,1,4,.250,6,7,.857,0,4,4,2,3,0,0,2,11,8.5,-6
47,46,29,2013-01-30,30-106,TOR,@,ATL,L (-1),1,34:52,3,12,.250,2,5,.400,7,8,.875,0,4,4,3,1,0,4,3,15,6.5,-8
48,47,30,2013-02-01,30-108,TOR,,LAC,W (+25),0,13:23,0,4,.000,0,3,.000,0,0,,0,1,1,3,1,0,0,2,0,-0.2,-5
49,48,31,2013-02-03,30-110,TOR,,MIA,L (-15),0,33:11,1,7,.143,0,3,.000,2,3,.667,1,2,3,3,0,0,3,3,4,-1.7,-1
50,49,32,2013-02-06,30-113,TOR,,BOS,L (-4),0,27:49,2,7,.286,0,1,.000,1,1,1.000,0,2,2,0,0,0,0,3,5,0.3,-10
51,50,33,2013-02-08,30-115,TOR,@,IND,W (+2),0,4:08,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,2,0,-1.5,+5
52,51,34,2013-02-10,30-117,TOR,,NOH,W (+13),0,30:24,4,12,.333,1,2,.500,2,2,1.000,0,3,3,3,3,0,1,3,11,8.0,+4
53,52,35,2013-02-12,30-119,TOR,,DEN,W (+1),0,12:37,4,7,.571,2,3,.667,0,0,,1,0,1,0,0,0,0,0,10,7.4,-7
54,53,36,2013-02-13,30-120,TOR,@,NYK,W (+4),0,29:46,10,16,.625,6,8,.750,0,0,,1,0,1,3,0,0,2,2,26,18.8,+6
55,54,37,2013-02-19,30-126,TOR,@,WAS,W (+8),0,23:37,1,9,.111,1,5,.200,2,2,1.000,0,5,5,1,0,1,0,3,5,0.8,+5
56,55,38,2013-02-20,30-127,TOR,,MEM,L (-6),0,19:26,6,7,.857,4,5,.800,3,3,1.000,0,2,2,0,0,0,1,5,19,14.1,+1
57,56,39,2013-02-22,30-129,TOR,,NYK,W (+2),0,22:20,1,8,.125,0,1,.000,2,2,1.000,1,0,1,2,0,0,1,2,4,-0.9,-14
58,57,40,2013-02-25,30-132,TOR,,WAS,L (-6),0,23:54,0,4,.000,0,2,.000,4,4,1.000,0,3,3,0,0,0,2,4,4,-1.5,-2
59,58,41,2013-02-27,30-134,TOR,@,CLE,L (-11),0,13:35,2,5,.400,0,2,.000,0,0,,0,0,0,1,0,0,1,2,4,0.2,-27
60,59,42,2013-03-01,30-136,TOR,,IND,L (-12),0,21:45,6,12,.500,0,4,.000,2,2,1.000,0,2,2,1,2,1,2,3,14,8.8,0
61,60,43,2013-03-02,30-137,TOR,@,MIL,L (-8),0,29:03,8,20,.400,1,8,.125,4,5,.800,1,0,1,1,0,0,2,0,21,9.2,-3
