,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2012-10-31,23-122,GSW,@,PHO,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
1,2,,2012-11-02,23-124,GSW,,MEM,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
2,3,,2012-11-03,23-125,GSW,@,LAC,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,4,,2012-11-05,23-127,GSW,@,SAC,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
4,5,,2012-11-07,23-129,GSW,,CLE,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
5,6,1,2012-11-09,23-131,GSW,@,LAL,L (-24),0,5:38,0,4,.000,0,0,,0,0,,1,1,2,1,0,2,0,0,0,0.3,+2
6,7,2,2012-11-10,23-132,GSW,,DEN,L (-6),0,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
7,8,,2012-11-14,23-136,GSW,,ATL,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
8,9,,2012-11-16,23-138,GSW,@,MIN,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
9,10,3,2012-11-18,23-140,GSW,@,OKC,L (-10),0,2:58,0,1,.000,0,0,,0,0,,0,0,0,0,2,0,0,0,0,1.3,+3
10,11,4,2012-11-19,23-141,GSW,@,DAL,W (+4),0,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
11,12,,2012-11-21,23-143,GSW,,BRK,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
12,13,5,2012-11-23,23-145,GSW,@,DEN,L (-11),0,0:40,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
13,14,6,2012-11-24,23-146,GSW,,MIN,W (+11),0,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
14,15,,2012-11-29,23-151,GSW,,DEN,W (+1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
15,16,,2012-12-01,23-153,GSW,,IND,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
16,17,7,2012-12-03,23-155,GSW,,ORL,L (-8),0,0:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
17,18,,2012-12-05,23-157,GSW,@,DET,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
18,19,8,2012-12-07,23-159,GSW,@,BRK,W (+7),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
19,20,9,2012-12-08,23-160,GSW,@,WAS,W (+4),0,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,10,2012-12-10,23-162,GSW,@,CHA,W (+8),0,0:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
