,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2013-12-11,29-030,GSW,,DAL,W (+2),0,7:11,0,0,,0,0,,0,2,.000,1,2,3,0,0,1,0,0,0,1.2,+3
1,2,2,2013-12-13,29-032,GSW,,HOU,L (-4),0,4:19,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,1,2,2.6,+6
2,3,,2013-12-15,29-034,GSW,@,PHO,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,4,3,2013-12-17,29-036,GSW,,NOP,W (+11),0,4:49,0,0,,0,0,,0,0,,2,3,5,0,0,0,0,0,0,2.3,-1
4,5,,2013-12-19,29-038,GSW,,SAS,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,6,4,2013-12-21,29-040,GSW,,LAL,W (+19),0,3:00,0,1,.000,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-1.5,-5
6,7,5,2013-12-23,29-042,GSW,@,DEN,W (+8),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
7,8,6,2013-12-25,29-044,GSW,,LAC,W (+2),0,1:07,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-2
8,9,7,2013-12-27,29-046,GSW,,PHO,W (+29),0,7:40,1,1,1.000,0,0,,2,4,.500,2,2,4,1,1,1,2,2,4,4.5,+1
9,10,,2013-12-29,29-048,GSW,@,CLE,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,11,,2014-02-22,29-103,GSW,,BRK,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
11,12,,2014-02-24,29-105,GSW,@,DET,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
12,13,8,2014-02-26,29-107,GSW,@,CHI,L (-20),0,6:57,0,1,.000,0,0,,0,0,,0,2,2,0,1,0,0,0,0,0.9,+8
13,14,,2014-02-28,29-109,GSW,@,NYK,W (+23),Did Not Play,,,,,,,,,,,,,,,,,,,,,
14,15,,2014-03-02,29-111,GSW,@,TOR,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
15,16,,2014-03-30,29-139,GSW,,NYK,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
16,17,9,2014-04-01,29-141,GSW,@,DAL,W (+2),0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
17,18,10,2014-04-02,29-142,GSW,@,SAS,L (-21),0,16:26,3,5,.600,0,0,,1,1,1.000,3,6,9,0,2,0,2,2,7,7.8,-3
18,19,11,2014-04-04,29-144,GSW,,SAC,W (+33),0,8:12,1,3,.333,0,0,,0,0,,6,2,8,1,0,0,0,0,2,5.8,-5
19,20,12,2014-04-06,29-146,GSW,,UTA,W (+28),0,4:36,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,0,0,1.0,+2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,,2014-04-10,29-150,GSW,,DEN,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
22,22,13,2014-04-11,29-151,GSW,@,LAL,W (+17),0,0:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
23,23,,2014-04-13,29-153,GSW,@,POR,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
24,24,14,2014-04-14,29-154,GSW,,MIN,W (+10),0,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
25,25,15,2014-04-16,29-156,GSW,@,DEN,W (+4),1,31:35,3,6,.500,0,0,,4,7,.571,2,8,10,2,0,2,2,6,10,8.0,+12
