,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2013-10-30,25-071,MEM,@,SAS,L (-7),0,22:00,2,9,.222,0,0,,1,2,.500,2,2,4,3,0,0,1,2,5,1.4,+4
1,2,2,2013-11-01,25-073,MEM,,DET,W (+3),0,17:28,3,6,.500,1,3,.333,2,2,1.000,0,2,2,1,1,0,0,3,9,7.1,+4
2,3,3,2013-11-02,25-074,MEM,@,DAL,L (-12),0,30:57,4,11,.364,2,5,.400,1,1,1.000,0,7,7,2,0,0,3,6,11,3.0,+1
3,4,4,2013-11-04,25-076,MEM,,BOS,W (+7),0,21:01,6,11,.545,1,3,.333,2,2,1.000,0,1,1,1,2,1,0,1,15,13.0,+6
4,5,5,2013-11-06,25-078,MEM,,NOP,L (-15),0,13:34,1,5,.200,1,2,.500,0,0,,0,2,2,1,0,0,1,1,3,-0.2,-5
5,6,,2013-11-09,25-081,MEM,,GSW,W (+18),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,7,,2013-11-11,25-083,MEM,@,IND,L (-16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,8,6,2013-11-13,25-085,MEM,,TOR,L (-16),0,12:10,0,3,.000,0,2,.000,0,0,,0,1,1,2,0,0,3,2,0,-4.2,-7
8,9,7,2013-11-15,25-087,MEM,@,LAL,W (+3),0,13:58,0,2,.000,0,0,,0,0,,0,1,1,2,0,0,1,0,0,-0.7,0
9,10,8,2013-11-17,25-089,MEM,@,SAC,W (+11),0,16:18,3,9,.333,1,3,.333,1,1,1.000,0,2,2,0,0,0,1,5,8,0.5,+2
10,11,9,2013-11-18,25-090,MEM,@,LAC,W (+4),0,19:15,1,4,.250,0,2,.000,2,3,.667,1,4,5,2,1,0,0,3,4,4.3,0
11,12,10,2013-11-20,25-092,MEM,@,GSW,W (+7),0,17:39,1,5,.200,0,3,.000,4,4,1.000,1,0,1,3,1,0,0,3,6,5.5,+1
12,13,11,2013-11-22,25-094,MEM,,SAS,L (-16),0,14:51,1,4,.250,0,1,.000,0,0,,0,2,2,0,1,0,0,3,2,0.0,-3
13,14,12,2013-11-25,25-097,MEM,,HOU,L (-7),0,17:38,1,7,.143,0,2,.000,0,0,,0,2,2,0,1,0,2,2,2,-3.7,-10
14,15,13,2013-11-27,25-099,MEM,@,BOS,W (+7),0,21:03,6,10,.600,1,3,.333,9,11,.818,1,2,3,1,0,0,1,2,22,16.8,+9
15,16,14,2013-11-30,25-102,MEM,,BRK,L (-9),0,17:53,1,6,.167,0,3,.000,1,1,1.000,0,1,1,6,0,0,0,2,3,2.9,+1
16,17,15,2013-12-03,25-105,MEM,,PHO,W (+19),0,20:56,4,8,.500,2,3,.667,0,1,.000,0,0,0,3,1,0,0,1,10,8.3,-4
17,18,16,2013-12-05,25-107,MEM,,LAC,L (-20),1,26:45,2,6,.333,0,3,.000,0,0,,0,0,0,1,1,0,0,3,4,1.1,-9
18,19,17,2013-12-07,25-109,MEM,,GSW,L (-26),0,24:17,0,11,.000,0,2,.000,2,2,1.000,1,0,1,2,2,2,0,1,2,-0.6,-5
19,20,18,2013-12-09,25-111,MEM,,ORL,W (+9),1,28:44,4,10,.400,3,5,.600,0,0,,0,1,1,4,1,1,0,1,11,10.0,-1
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,19,2013-12-11,25-113,MEM,,OKC,L (-16),1,19:35,5,10,.500,0,2,.000,1,2,.500,0,0,0,0,0,0,0,3,11,4.4,-7
22,22,20,2013-12-13,25-115,MEM,@,NOP,L (-6),0,21:57,3,6,.500,1,2,.500,0,0,,1,0,1,2,2,0,2,3,7,4.9,+2
23,23,21,2013-12-15,25-117,MEM,,MIN,L (-8),0,26:48,4,9,.444,0,2,.000,6,8,.750,0,4,4,3,0,0,0,2,14,11.0,-3
24,24,22,2013-12-17,25-119,MEM,,LAL,L (-4),1,28:14,6,13,.462,0,1,.000,1,1,1.000,0,2,2,2,1,0,0,2,13,8.5,-10
25,25,23,2013-12-18,25-120,MEM,@,DAL,L (-14),1,33:51,3,13,.231,0,5,.000,1,1,1.000,0,5,5,6,3,0,1,2,7,6.0,-4
