,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2013-10-29,24-293,MIA,,CHI,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
1,2,,2013-10-30,24-294,MIA,@,PHI,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
2,3,,2013-11-01,24-296,MIA,@,BRK,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,4,,2013-11-03,24-298,MIA,,WAS,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
4,5,1,2013-11-05,24-300,MIA,@,TOR,W (+9),0,3:59,2,4,.500,2,3,.667,0,0,,0,0,0,0,0,1,1,1,6,3.3,-2
5,6,,2013-11-07,24-302,MIA,,LAC,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,7,2,2013-11-09,24-304,MIA,,BOS,L (-1),0,8:16,5,7,.714,0,0,,0,0,,0,0,0,0,0,0,1,1,10,5.7,-1
7,8,3,2013-11-12,24-307,MIA,,MIL,W (+23),0,19:39,8,12,.667,2,3,.667,1,4,.250,0,1,1,3,0,0,0,2,19,14.2,+7
8,9,4,2013-11-15,24-310,MIA,,DAL,W (+6),0,15:50,3,5,.600,0,0,,0,0,,0,1,1,0,2,1,2,1,6,4.3,+11
9,10,5,2013-11-16,24-311,MIA,@,CHA,W (+16),0,23:19,7,14,.500,1,4,.250,0,0,,1,2,3,1,1,0,1,3,15,8.8,+18
10,11,6,2013-11-19,24-314,MIA,,ATL,W (+16),0,17:18,3,5,.600,0,0,,0,0,,0,5,5,0,0,1,1,0,6,4.9,+2
11,12,7,2013-11-20,24-315,MIA,@,ORL,W (+28),0,20:37,4,10,.400,0,0,,6,6,1.000,1,6,7,0,0,1,2,4,14,8.2,+9
12,13,8,2013-11-23,24-318,MIA,,ORL,W (+2),0,7:43,4,4,1.000,0,0,,1,2,.500,0,3,3,0,0,0,1,1,9,6.9,-6
13,14,9,2013-11-25,24-320,MIA,,PHO,W (+15),0,22:40,3,8,.375,0,2,.000,2,2,1.000,1,5,6,0,0,0,0,2,8,5.0,-5
14,15,10,2013-11-27,24-322,MIA,@,CLE,W (+11),0,25:35,5,10,.500,0,1,.000,7,7,1.000,1,8,9,2,0,1,1,1,17,15.8,+11
15,16,11,2013-11-29,24-324,MIA,@,TOR,W (+7),0,13:35,3,3,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,2,2,7,4.2,+6
16,17,12,2013-12-01,24-326,MIA,,CHA,W (+1),0,14:43,2,8,.250,0,0,,0,0,,3,4,7,0,1,0,0,1,4,3.1,+1
17,18,13,2013-12-03,24-328,MIA,,DET,L (-10),0,30:54,9,16,.563,3,3,1.000,2,3,.667,2,2,4,1,1,0,1,1,23,17.3,+3
18,19,14,2013-12-05,24-330,MIA,@,CHI,L (-20),0,22:40,7,13,.538,0,1,.000,1,2,.500,3,4,7,2,1,2,3,5,15,10.4,-3
19,20,,2013-12-07,24-332,MIA,@,MIN,W (+21),Inactive,,,,,,,,,,,,,,,,,,,,,
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,,2013-12-08,24-333,MIA,@,DET,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
22,22,,2013-12-10,24-335,MIA,@,IND,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
23,23,,2013-12-14,24-339,MIA,,CLE,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
24,24,,2013-12-16,24-341,MIA,,UTA,W (+23),Inactive,,,,,,,,,,,,,,,,,,,,,
25,25,,2013-12-18,24-343,MIA,,IND,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
26,26,,2013-12-20,24-345,MIA,,SAC,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
27,27,15,2013-12-23,24-348,MIA,,ATL,W (+2),0,20:02,3,8,.375,1,1,1.000,3,4,.750,1,6,7,1,0,0,0,4,10,6.8,+8
28,28,,2013-12-25,24-350,MIA,@,LAL,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
29,29,16,2013-12-27,24-352,MIA,@,SAC,L (-5),0,33:04,3,9,.333,0,2,.000,3,3,1.000,0,6,6,1,1,0,3,5,9,2.4,-14
30,30,17,2013-12-28,24-353,MIA,@,POR,W (+1),1,26:15,5,10,.500,1,2,.500,1,1,1.000,0,6,6,0,0,0,3,1,12,5.4,+4
31,31,18,2013-12-30,24-355,MIA,@,DEN,W (+3),0,18:30,4,6,.667,1,1,1.000,0,0,,1,3,4,0,0,0,0,1,9,7.6,+9
32,32,19,2014-01-02,24-358,MIA,,GSW,L (-9),0,13:09,2,4,.500,0,0,,1,1,1.000,1,4,5,0,1,1,4,4,5,1.0,+4
33,33,20,2014-01-04,24-360,MIA,@,ORL,W (+16),0,18:18,4,7,.571,0,0,,5,7,.714,3,2,5,2,1,0,1,0,13,13.0,-2
34,34,21,2014-01-05,24-361,MIA,,TOR,W (+5),0,20:20,7,12,.583,0,0,,3,5,.600,3,1,4,2,1,0,2,2,17,12.6,-9
35,35,22,2014-01-07,24-363,MIA,,NOP,W (+19),0,13:09,0,3,.000,0,1,.000,1,2,.500,0,3,3,0,1,1,2,6,1,-3.3,-10
36,36,23,2014-01-09,25-000,MIA,@,NYK,L (-10),0,9:00,2,6,.333,0,2,.000,1,1,1.000,0,0,0,0,0,0,0,1,5,1.2,-14
37,37,24,2014-01-10,25-001,MIA,@,BRK,L (-9),0,19:37,1,7,.143,0,0,,1,2,.500,1,3,4,1,0,0,2,2,3,-2.4,+5
38,38,25,2014-01-15,25-006,MIA,@,WAS,L (-17),0,6:54,3,6,.500,0,0,,0,0,,1,0,1,0,0,0,0,2,6,2.9,-11
39,39,26,2014-01-17,25-008,MIA,@,PHI,W (+15),0,2:28,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-0.7,-1
40,40,27,2014-01-18,25-009,MIA,@,CHA,W (+8),0,6:27,1,1,1.000,1,1,1.000,2,4,.500,0,2,2,1,0,0,0,1,5,4.8,-4
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,28,2014-01-20,25-011,MIA,@,ATL,L (-7),0,3:16,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
43,42,29,2014-01-21,25-012,MIA,,BOS,W (+7),0,12:53,4,6,.667,1,1,1.000,0,0,,0,2,2,0,1,0,0,4,9,6.4,-1
44,43,30,2014-01-23,25-014,MIA,,LAL,W (+7),0,20:16,3,6,.500,0,1,.000,1,2,.500,0,7,7,4,0,0,3,4,7,3.9,-5
45,44,31,2014-01-26,25-017,MIA,,SAS,W (+12),0,19:36,5,8,.625,0,0,,2,2,1.000,0,4,4,2,1,0,1,3,12,9.8,-14
46,45,32,2014-01-29,25-020,MIA,,OKC,L (-17),0,7:29,2,5,.400,0,1,.000,2,2,1.000,0,2,2,0,0,0,1,1,6,2.5,-1
47,46,33,2014-02-01,25-023,MIA,@,NYK,W (+15),0,0:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
48,47,34,2014-02-03,25-025,MIA,,DET,W (+6),0,3:28,1,2,.500,0,0,,0,0,,1,1,2,0,0,1,0,1,2,2.3,-3
49,48,,2014-02-05,25-027,MIA,@,LAC,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
50,49,,2014-02-08,25-030,MIA,@,UTA,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
51,50,,2014-02-11,25-033,MIA,@,PHO,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
52,51,35,2014-02-12,25-034,MIA,@,GSW,W (+1),0,24:11,7,11,.636,0,1,.000,2,2,1.000,0,2,2,0,2,0,1,4,16,11.1,+10
53,52,36,2014-02-18,25-040,MIA,@,DAL,W (+11),0,6:33,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,1,1,2,0.3,-8
54,53,,2014-02-20,25-042,MIA,@,OKC,W (+22),Did Not Play,,,,,,,,,,,,,,,,,,,,,
55,54,37,2014-02-23,25-045,MIA,,CHI,W (+14),0,20:24,2,4,.500,1,1,1.000,0,0,,0,5,5,2,0,1,0,5,5,4.6,+6
56,55,38,2014-02-27,25-049,MIA,,NYK,W (+26),0,10:22,1,4,.250,1,1,1.000,1,2,.500,0,4,4,0,0,0,1,1,4,1.0,+2
57,56,39,2014-03-01,25-051,MIA,,ORL,W (+14),0,21:49,4,8,.500,0,1,.000,0,0,,2,2,4,1,0,3,3,2,8,5.0,-5
58,57,40,2014-03-03,25-053,MIA,,CHA,W (+17),0,17:43,1,2,.500,0,1,.000,2,2,1.000,0,2,2,2,1,0,0,1,4,5.6,+9
59,58,41,2014-03-04,25-054,MIA,@,HOU,L (-3),0,28:00,9,13,.692,4,7,.571,2,2,1.000,0,4,4,2,0,0,0,4,24,19.5,+13
60,59,42,2014-03-06,25-056,MIA,@,SAS,L (-24),0,20:59,5,10,.500,1,1,1.000,0,0,,1,5,6,0,1,1,1,1,11,8.5,-4
61,60,43,2014-03-09,25-059,MIA,@,CHI,L (-7),0,15:07,1,5,.200,0,2,.000,0,0,,0,1,1,1,1,0,1,0,2,-0.1,-10
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,44,2014-03-10,25-060,MIA,,WAS,W (+9),0,14:52,2,6,.333,0,0,,0,0,,0,1,1,1,1,1,0,1,4,2.9,+1
64,62,45,2014-03-12,25-062,MIA,,BRK,L (-1),0,5:46,1,6,.167,0,2,.000,0,0,,1,0,1,0,0,0,0,1,2,-1.5,-8
65,63,46,2014-03-14,25-064,MIA,,DEN,L (-4),0,7:17,2,4,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,4,3.0,+1
66,64,,2014-03-16,25-066,MIA,,HOU,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
67,65,,2014-03-18,25-068,MIA,@,CLE,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
68,66,47,2014-03-19,25-069,MIA,@,BOS,L (-5),1,28:09,5,11,.455,0,0,,2,3,.667,1,3,4,4,1,0,4,1,12,6.9,-2
69,67,,2014-03-21,25-071,MIA,,MEM,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
70,68,48,2014-03-22,25-072,MIA,@,NOP,L (-10),0,18:02,8,12,.667,0,0,,0,0,,0,3,3,0,0,0,1,0,16,10.7,-7
71,69,49,2014-03-24,25-074,MIA,,POR,W (+2),0,14:55,1,5,.200,0,0,,0,0,,0,5,5,0,0,1,0,1,2,0.7,+3
72,70,,2014-03-26,25-076,MIA,@,IND,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
73,71,50,2014-03-28,25-078,MIA,@,DET,W (+32),0,4:44,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,2,0,2,0.0,0
74,72,51,2014-03-29,25-079,MIA,@,MIL,W (+21),0,3:09,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,0
75,73,,2014-03-31,25-081,MIA,,TOR,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
76,74,52,2014-04-02,25-083,MIA,,MIL,W (+19),0,5:31,1,5,.200,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2,0.6,-8
77,75,,2014-04-04,25-085,MIA,,MIN,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
78,76,,2014-04-06,25-087,MIA,,NYK,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
79,77,,2014-04-08,25-089,MIA,,BRK,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
80,78,,2014-04-09,25-090,MIA,@,MEM,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
81,79,53,2014-04-11,25-092,MIA,,IND,W (+12),0,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
82,80,,2014-04-12,25-093,MIA,@,ATL,L (-13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,54,2014-04-14,25-095,MIA,@,WAS,L (-21),0,26:54,7,12,.583,0,1,.000,4,4,1.000,1,4,5,3,1,1,2,1,18,15.7,-3
85,82,55,2014-04-16,25-097,MIA,,PHI,L (-13),0,14:35,3,4,.750,0,1,.000,2,2,1.000,0,1,1,1,0,2,1,1,8,7.4,-16
