,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2013-10-30,27-211,UTA,,OKC,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
1,2,,2013-11-01,27-213,UTA,@,PHO,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
2,3,,2013-11-02,27-214,UTA,,HOU,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
3,4,,2013-11-05,27-217,UTA,@,BRK,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
4,5,,2013-11-06,27-218,UTA,@,BOS,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
5,6,,2013-11-08,27-220,UTA,@,CHI,L (-24),Inactive,,,,,,,,,,,,,,,,,,,,,
6,7,,2013-11-09,27-221,UTA,@,TOR,L (-24),Inactive,,,,,,,,,,,,,,,,,,,,,
7,8,,2013-11-11,27-223,UTA,,DEN,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
8,9,,2013-11-13,27-225,UTA,,NOP,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
9,10,,2013-11-15,27-227,UTA,,SAS,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
10,11,,2013-11-16,27-228,UTA,@,GSW,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
11,12,,2013-11-18,27-230,UTA,,GSW,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
12,13,,2013-11-20,27-232,UTA,@,NOP,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
13,14,,2013-11-22,27-234,UTA,@,DAL,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
14,15,,2013-11-24,27-236,UTA,@,OKC,L (-22),Inactive,,,,,,,,,,,,,,,,,,,,,
15,16,,2013-11-25,27-237,UTA,,CHI,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
16,17,1,2013-11-29,27-241,UTA,,PHO,L (-11),0,4:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+6
17,18,,2013-11-30,27-242,UTA,@,PHO,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
18,19,,2013-12-02,27-244,UTA,,HOU,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
19,20,2,2013-12-04,27-246,UTA,,IND,L (-9),0,4:13,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,1,0,-0.5,-3
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,3,2013-12-06,27-248,UTA,@,POR,L (-32),0,7:06,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,2,1.9,-10
22,22,4,2013-12-07,27-249,UTA,,SAC,L (-10),0,13:31,0,0,,0,0,,1,6,.167,0,4,4,0,0,0,1,1,1,-1.2,+9
23,23,5,2013-12-09,27-251,UTA,,POR,L (-11),0,13:14,0,0,,0,0,,0,0,,1,6,7,0,0,0,0,1,0,2.1,+4
24,24,,2013-12-11,27-253,UTA,@,SAC,W (+21),Did Not Play,,,,,,,,,,,,,,,,,,,,,
25,25,,2013-12-13,27-255,UTA,@,DEN,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
26,26,,2013-12-14,27-256,UTA,,SAS,L (-16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
27,27,6,2013-12-16,27-258,UTA,@,MIA,L (-23),0,2:22,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4
28,28,,2013-12-18,27-260,UTA,@,ORL,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
29,29,,2013-12-20,27-262,UTA,@,ATL,L (-33),Did Not Play,,,,,,,,,,,,,,,,,,,,,
30,30,,2013-12-21,27-263,UTA,@,CHA,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
31,31,,2013-12-23,27-265,UTA,@,MEM,L (-10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
32,32,,2013-12-27,27-269,UTA,,LAL,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
33,33,,2013-12-28,27-270,UTA,@,LAC,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
34,34,,2013-12-30,27-272,UTA,,CHA,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
