,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2015-10-28,32-325,NYK,@,MIL,W (+25),Inactive,,,,,,,,,,,,,,,,,,,,,
1,2,,2015-10-29,32-326,NYK,,ATL,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
2,3,,2015-10-31,32-328,NYK,@,WAS,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
3,4,,2015-11-02,32-330,NYK,,SAS,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
4,5,,2015-11-04,32-332,NYK,@,CLE,L (-10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,6,,2015-11-06,32-334,NYK,,MIL,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,7,,2015-11-08,32-336,NYK,,LAL,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,8,1,2015-11-10,32-338,NYK,@,TOR,W (+2),0,5:16,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,0.2,0
8,9,2,2015-11-11,32-339,NYK,@,CHO,L (-2),0,14:20,4,4,1.000,0,0,,1,1,1.000,1,3,4,1,1,1,0,5,9,9.8,+1
9,10,3,2015-11-13,32-341,NYK,,CLE,L (-6),0,19:45,0,1,.000,0,0,,1,2,.500,2,4,6,0,0,2,1,2,1,2.1,+1
10,11,4,2015-11-15,32-343,NYK,,NOP,W (+8),0,10:27,1,3,.333,0,0,,1,2,.500,2,0,2,0,0,0,0,1,3,1.9,-7
11,12,5,2015-11-17,32-345,NYK,,CHO,W (+8),0,7:22,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,3,0,-0.9,-4
12,13,,2015-11-20,32-348,NYK,@,OKC,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
13,14,6,2015-11-21,32-349,NYK,@,HOU,W (+5),0,7:32,0,0,,0,0,,0,2,.000,0,0,0,1,0,0,1,2,0,-1.9,-4
14,15,7,2015-11-23,32-351,NYK,@,MIA,L (-17),0,9:58,2,5,.400,0,0,,2,3,.667,1,1,2,0,0,0,0,2,6,3.1,+6
15,16,8,2015-11-25,32-353,NYK,@,ORL,L (-9),0,4:21,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,0
16,17,9,2015-11-27,32-355,NYK,,MIA,L (-19),0,5:02,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,+1
17,18,,2015-11-29,32-357,NYK,,HOU,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
18,19,,2015-12-02,32-360,NYK,,PHI,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
19,20,10,2015-12-04,32-362,NYK,,BRK,W (+17),0,3:34,1,4,.250,0,0,,0,0,,1,1,2,0,0,0,0,0,2,0.6,-3
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,,2015-12-05,32-363,NYK,@,MIL,L (-15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
22,22,,2015-12-07,33-000,NYK,,DAL,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
23,23,11,2015-12-09,33-002,NYK,@,UTA,L (-21),0,9:57,4,6,.667,0,0,,2,6,.333,1,3,4,1,3,0,0,2,10,10.3,+8
24,24,,2015-12-10,33-003,NYK,@,SAC,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
25,25,,2015-12-12,33-005,NYK,@,POR,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
26,26,,2015-12-16,33-009,NYK,,MIN,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
27,27,12,2015-12-18,33-011,NYK,@,PHI,W (+10),0,5:02,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,1,0,0,0.0,-13
28,28,,2015-12-19,33-012,NYK,,CHI,W (+16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
29,29,,2015-12-21,33-014,NYK,,ORL,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
30,30,13,2015-12-23,33-016,NYK,@,CLE,L (-7),0,8:47,1,3,.333,0,0,,0,0,,3,2,5,0,0,0,1,1,2,1.6,+2
31,31,,2015-12-26,33-019,NYK,@,ATL,L (-19),Did Not Play,,,,,,,,,,,,,,,,,,,,,
32,32,,2015-12-27,33-020,NYK,@,BOS,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
33,33,,2015-12-29,33-022,NYK,,DET,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
34,34,,2016-01-01,33-025,NYK,@,CHI,L (-27),Inactive,,,,,,,,,,,,,,,,,,,,,
35,35,,2016-01-03,33-027,NYK,,ATL,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
36,36,,2016-01-05,33-029,NYK,@,ATL,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
37,37,,2016-01-06,33-030,NYK,@,MIA,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
38,38,,2016-01-08,33-032,NYK,@,SAS,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
39,39,,2016-01-10,33-034,NYK,,MIL,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
40,40,14,2016-01-12,33-036,NYK,,BOS,W (+6),0,3:10,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-4
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,,2016-01-13,33-037,NYK,@,BRK,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
43,42,15,2016-01-16,33-040,NYK,@,MEM,L (-8),0,4:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-1
44,43,16,2016-01-18,33-042,NYK,,PHI,W (+6),0,3:27,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,1.9,+1
45,44,,2016-01-20,33-044,NYK,,UTA,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
46,45,17,2016-01-22,33-046,NYK,,LAC,L (-28),0,4:15,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.0,+3
47,46,18,2016-01-23,33-047,NYK,@,CHO,L (-13),0,12:52,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,1,6,2,0.3,-4
48,47,,2016-01-26,33-050,NYK,,OKC,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
49,48,19,2016-01-28,33-052,NYK,@,TOR,L (-10),0,9:03,1,2,.500,0,0,,1,3,.333,2,0,2,0,0,1,1,3,3,1.1,-5
50,49,20,2016-01-29,33-053,NYK,,PHO,W (+18),0,6:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-7
51,50,21,2016-01-31,33-055,NYK,,GSW,L (-21),0,6:17,1,5,.200,0,0,,0,0,,1,0,1,2,0,0,1,3,2,-1.2,-2
52,51,,2016-02-02,33-057,NYK,,BOS,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
53,52,,2016-02-04,33-059,NYK,@,DET,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
54,53,,2016-02-05,33-060,NYK,,MEM,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
55,54,22,2016-02-07,33-062,NYK,,DEN,L (-5),0,2:06,1,1,1.000,0,0,,0,2,.000,1,0,1,0,0,0,0,0,2,1.6,-5
56,55,,2016-02-09,33-064,NYK,,WAS,L (-3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
57,56,,2016-02-19,33-074,NYK,@,BRK,L (-11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
58,57,,2016-02-20,33-075,NYK,@,MIN,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
59,58,,2016-02-22,33-077,NYK,,TOR,L (-27),Inactive,,,,,,,,,,,,,,,,,,,,,
60,59,,2016-02-24,33-079,NYK,@,IND,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
61,60,,2016-02-26,33-081,NYK,,ORL,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
