,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2015-10-28,33-012,WAS,@,ORL,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
1,2,,2015-10-30,33-014,WAS,@,MIL,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
2,3,,2015-10-31,33-015,WAS,,NYK,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
3,4,,2015-11-04,33-019,WAS,,SAS,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
4,5,,2015-11-06,33-021,WAS,@,BOS,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
5,6,,2015-11-07,33-022,WAS,@,ATL,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
6,7,,2015-11-10,33-025,WAS,,OKC,L (-24),Inactive,,,,,,,,,,,,,,,,,,,,,
7,8,,2015-11-14,33-029,WAS,,ORL,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
8,9,,2015-11-17,33-032,WAS,,MIL,W (+29),Inactive,,,,,,,,,,,,,,,,,,,,,
9,10,,2015-11-21,33-036,WAS,@,DET,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
10,11,,2015-11-24,33-039,WAS,,IND,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
11,12,,2015-11-25,33-040,WAS,@,CHO,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
12,13,,2015-11-27,33-042,WAS,@,BOS,L (-33),Inactive,,,,,,,,,,,,,,,,,,,,,
13,14,,2015-11-28,33-043,WAS,,TOR,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
14,15,,2015-12-01,33-046,WAS,@,CLE,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
15,16,,2015-12-02,33-047,WAS,,LAL,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
16,17,,2015-12-04,33-049,WAS,,PHO,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
17,18,,2015-12-06,33-051,WAS,,DAL,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
18,19,,2015-12-07,33-052,WAS,@,MIA,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
19,20,,2015-12-09,33-054,WAS,,HOU,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,,2015-12-11,33-056,WAS,@,NOP,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
22,22,,2015-12-12,33-057,WAS,@,DAL,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
23,23,,2015-12-14,33-059,WAS,@,MEM,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
