,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2015-10-27,33-079,DET,@,ATL,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
1,2,,2015-10-28,33-080,DET,,UTA,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
2,3,,2015-10-30,33-082,DET,,CHI,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,4,,2015-11-03,33-086,DET,,IND,L (-12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
4,5,,2015-11-06,33-089,DET,@,PHO,W (+8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,6,,2015-11-08,33-091,DET,@,POR,W (+17),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,7,,2015-11-09,33-092,DET,@,GSW,L (-14),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,8,,2015-11-11,33-094,DET,@,SAC,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
8,9,,2015-11-14,33-097,DET,@,LAC,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
9,10,,2015-11-15,33-098,DET,@,LAL,L (-12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,11,,2015-11-17,33-100,DET,,CLE,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
11,12,,2015-11-20,33-103,DET,@,MIN,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
12,13,,2015-11-21,33-104,DET,,WAS,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
13,14,1,2015-11-23,33-106,DET,@,MIL,L (-21),0,4:59,0,0,,0,0,,2,2,1.000,2,1,3,1,1,0,1,0,2,4.4,+3
14,15,2,2015-11-25,33-108,DET,,MIA,W (+23),0,2:45,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.7,-3
15,16,,2015-11-27,33-110,DET,@,OKC,L (-16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
16,17,,2015-11-29,33-112,DET,@,BRK,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
17,18,,2015-11-30,33-113,DET,,HOU,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
18,19,,2015-12-02,33-115,DET,,PHO,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
19,20,,2015-12-04,33-117,DET,,MIL,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
