,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2015-10-27,24-324,CHI,,CLE,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
1,2,,2015-10-28,24-325,CHI,@,BRK,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
2,3,,2015-10-30,24-327,CHI,@,DET,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
3,4,,2015-11-01,24-329,CHI,,ORL,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
4,5,1,2015-11-03,24-331,CHI,@,CHO,L (-25),0,5:41,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,0.9,+5
5,6,,2015-11-05,24-333,CHI,,OKC,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,7,,2015-11-07,24-335,CHI,,MIN,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,8,2,2015-11-09,24-337,CHI,@,PHI,W (+23),0,4:10,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,2,0,-1.2,0
8,9,,2015-11-13,24-341,CHI,,CHO,W (+5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
9,10,,2015-11-16,24-344,CHI,,IND,W (+1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,11,,2015-11-18,24-346,CHI,@,PHO,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
11,12,,2015-11-20,24-348,CHI,@,GSW,L (-12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
12,13,,2015-11-24,24-352,CHI,@,POR,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
13,14,,2015-11-27,24-355,CHI,@,IND,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
14,15,,2015-11-30,24-358,CHI,,SAS,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
15,16,,2015-12-02,24-360,CHI,,DEN,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
16,17,,2015-12-05,24-363,CHI,,CHO,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
17,18,,2015-12-07,25-000,CHI,,PHO,L (-2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
18,19,,2015-12-09,25-002,CHI,@,BOS,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
19,20,,2015-12-10,25-003,CHI,,LAC,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
