,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2016-10-26,26-020,DAL,@,IND,L (-9),0,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
1,2,2,2016-10-28,26-022,DAL,,HOU,L (-8),0,7:44,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,-0.2,-5
2,3,,2016-10-30,26-024,DAL,@,HOU,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,4,3,2016-11-02,26-027,DAL,@,UTA,L (-16),0,1:50,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1
4,5,4,2016-11-04,26-029,DAL,,POR,L (-10),0,11:06,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,1,2,2,-0.2,0
5,6,,2016-11-06,26-031,DAL,,MIL,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
6,7,,2016-11-08,26-033,DAL,@,LAL,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,8,5,2016-11-09,26-034,DAL,@,GSW,L (-21),0,24:22,2,6,.333,0,2,.000,2,2,1.000,1,2,3,0,0,0,1,5,6,0.9,-17
8,9,6,2016-11-14,26-039,DAL,@,NYK,L (-16),0,1:57,1,2,.500,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2,0.6,0
9,10,,2016-11-16,26-041,DAL,@,BOS,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,11,7,2017-01-10,26-096,BRK,,ATL,L (-20),0,1:18,1,1,1.000,1,1,1.000,1,3,.333,1,0,1,0,0,0,0,0,4,3.6,+7
11,12,,2017-01-12,26-098,BRK,,NOP,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
12,13,8,2017-01-13,26-099,BRK,@,TOR,L (-19),0,5:11,3,3,1.000,1,1,1.000,2,2,1.000,1,1,2,0,0,0,0,0,9,9.1,+1
13,14,9,2017-01-15,26-101,BRK,,HOU,L (-25),0,20:26,2,6,.333,1,2,.500,2,2,1.000,3,1,4,0,0,2,0,3,7,6.2,-4
14,15,10,2017-01-17,26-103,BRK,,TOR,L (-10),0,3:17,2,4,.500,0,0,,1,1,1.000,1,0,1,0,0,0,0,0,5,3.7,+5
15,16,11,2017-01-20,26-106,BRK,@,NOP,W (+29),0,21:37,3,5,.600,2,4,.500,4,4,1.000,1,7,8,1,0,0,2,2,12,10.4,+16
16,17,12,2017-01-21,26-107,BRK,@,CHO,L (-7),0,17:04,5,7,.714,3,4,.750,1,1,1.000,0,4,4,1,2,1,0,2,14,14.9,-3
17,18,13,2017-01-23,26-109,BRK,,SAS,L (-26),0,10:32,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,2,0,-1.5,-8
18,19,14,2017-01-25,26-111,BRK,,MIA,L (-3),0,5:52,2,3,.667,1,1,1.000,2,2,1.000,0,0,0,0,0,0,1,1,7,4.3,-2
19,20,15,2017-01-27,26-113,BRK,@,CLE,L (-8),0,17:55,3,4,.750,1,1,1.000,0,0,,0,5,5,0,0,1,1,2,7,5.8,-5
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,16,2017-01-28,26-114,BRK,@,MIN,L (-20),0,16:34,2,6,.333,1,2,.500,0,0,,2,0,2,0,0,1,0,1,5,3.3,-10
22,22,,2017-01-30,26-116,BRK,@,MIA,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
23,23,,2017-02-01,26-118,BRK,,NYK,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,,
24,24,17,2017-02-03,26-120,BRK,,IND,L (-9),0,12:33,2,7,.286,2,5,.400,2,2,1.000,2,1,3,0,0,2,0,3,8,5.8,-3
25,25,18,2017-02-05,26-122,BRK,,TOR,L (-8),0,2:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-3
26,26,,2017-02-07,26-124,BRK,@,CHO,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
27,27,,2017-02-08,26-125,BRK,,WAS,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
28,28,,2017-02-10,26-127,BRK,,MIA,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
29,29,,2017-02-13,26-130,BRK,,MEM,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
30,30,,2017-02-15,26-132,BRK,,MIL,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
31,31,,2017-02-24,26-141,BRK,@,DEN,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
32,32,,2017-02-25,26-142,BRK,@,GSW,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
33,33,19,2017-03-01,26-146,BRK,@,SAC,W (+9),0,11:03,1,2,.500,1,2,.500,1,2,.500,0,3,3,0,0,1,0,0,4,4.2,+7
34,34,20,2017-03-03,26-148,BRK,@,UTA,L (-15),0,18:17,5,7,.714,2,3,.667,6,8,.750,0,2,2,0,1,0,0,2,18,15.1,+2
35,35,21,2017-03-04,26-149,BRK,@,POR,L (-14),0,17:06,2,4,.500,2,4,.500,1,2,.500,0,1,1,0,0,0,1,3,7,2.7,-9
36,36,22,2017-03-06,26-151,BRK,@,MEM,W (+13),0,14:37,2,5,.400,1,4,.250,0,0,,0,2,2,0,0,1,1,6,5,0.2,-3
37,37,23,2017-03-08,26-153,BRK,@,ATL,L (-5),0,22:07,2,6,.333,1,4,.250,2,2,1.000,0,7,7,1,1,3,2,3,7,6.3,+1
38,38,24,2017-03-10,26-155,BRK,@,DAL,L (-9),1,23:04,5,7,.714,2,2,1.000,0,0,,0,4,4,1,1,0,1,1,12,10.6,-12
39,39,25,2017-03-12,26-157,BRK,,NYK,W (+8),0,18:37,4,6,.667,4,4,1.000,0,0,,0,6,6,1,0,0,3,3,12,7.7,+6
40,40,26,2017-03-14,26-159,BRK,,OKC,L (-18),0,18:57,0,4,.000,0,3,.000,0,0,,1,3,4,2,1,1,0,3,0,0.7,-17
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,27,2017-03-16,26-161,BRK,@,NYK,W (+11),0,22:57,3,6,.500,1,2,.500,2,3,.667,1,4,5,1,0,0,0,1,9,7.8,-4
43,42,28,2017-03-17,26-162,BRK,,BOS,L (-3),0,32:02,3,11,.273,2,8,.250,2,4,.500,0,8,8,3,1,0,1,2,10,6.4,-6
44,43,29,2017-03-19,26-164,BRK,,DAL,L (-7),0,21:12,2,5,.400,2,3,.667,5,7,.714,1,2,3,0,0,0,1,2,11,7.0,-9
45,44,30,2017-03-21,26-166,BRK,,DET,W (+2),0,23:03,2,4,.500,1,2,.500,2,2,1.000,1,3,4,1,0,0,0,2,7,6.5,+3
46,45,31,2017-03-23,26-168,BRK,,PHO,W (+28),0,25:37,3,8,.375,1,4,.250,5,6,.833,0,3,3,4,2,0,1,4,12,10.3,+31
47,46,32,2017-03-24,26-169,BRK,@,WAS,L (-21),0,10:36,0,3,.000,0,1,.000,0,0,,0,5,5,0,0,1,0,0,0,0.1,-10
48,47,33,2017-03-26,26-171,BRK,@,ATL,W (+15),0,22:23,2,4,.500,1,3,.333,1,2,.500,0,5,5,0,3,0,0,3,6,6.9,+15
49,48,34,2017-03-28,26-173,BRK,,PHI,L (-5),0,13:45,0,5,.000,0,1,.000,1,2,.500,1,0,1,0,0,0,0,0,1,-2.2,-8
50,49,,2017-03-30,26-175,BRK,@,DET,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
51,50,,2017-04-01,26-177,BRK,,ORL,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
52,51,35,2017-04-02,26-178,BRK,,ATL,W (+9),0,16:10,0,4,.000,0,2,.000,0,0,,0,5,5,0,0,0,1,2,0,-3.1,+3
53,52,36,2017-04-04,26-180,BRK,@,PHI,W (+23),0,12:56,2,5,.400,1,3,.333,0,0,,0,3,3,0,0,0,2,1,5,0.8,+13
54,53,37,2017-04-06,26-182,BRK,@,ORL,L (-8),0,23:01,1,4,.250,0,1,.000,0,0,,2,3,5,2,0,1,0,3,2,2.8,+4
55,54,38,2017-04-08,26-184,BRK,,CHI,W (+1),0,8:05,1,5,.200,1,4,.250,0,0,,0,0,0,0,1,0,0,1,3,0.5,-9
56,55,,2017-04-10,26-186,BRK,@,BOS,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
57,56,,2017-04-12,26-188,BRK,@,CHI,L (-39),Inactive,,,,,,,,,,,,,,,,,,,,,
