,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2016-10-26,20-211,MEM,,MIN,W (+4),0,24:31,3,8,.375,1,2,.500,0,0,,2,3,5,6,3,3,1,2,7,12.4,+4
1,2,2,2016-10-29,20-214,MEM,@,NYK,L (-7),0,21:43,2,4,.500,1,1,1.000,0,0,,0,2,2,3,0,0,2,1,5,3.3,-10
2,3,3,2016-10-30,20-215,MEM,,WAS,W (+9),0,18:02,0,5,.000,0,0,,0,0,,0,0,0,4,2,0,0,1,0,0.9,-3
3,4,4,2016-11-01,20-217,MEM,@,MIN,L (-36),1,23:10,2,8,.250,0,4,.000,4,4,1.000,1,2,3,1,3,0,5,1,8,2.8,-31
4,5,5,2016-11-02,20-218,MEM,,NOP,W (+6),0,23:36,2,5,.400,0,0,,0,0,,0,3,3,5,0,0,0,2,4,4.9,-15
5,6,6,2016-11-04,20-220,MEM,,LAC,L (-11),0,14:10,1,5,.200,0,1,.000,0,0,,1,1,2,2,0,0,4,2,2,-3.5,-10
6,7,,2016-11-06,20-222,MEM,,POR,L (-6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
7,8,,2016-11-08,20-224,MEM,,DEN,W (+1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
8,9,7,2016-11-12,20-228,MEM,@,MIL,L (-10),0,11:45,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,2,1,2,-0.4,-8
9,10,,2016-11-14,20-230,MEM,@,UTA,W (+6),Did Not Play,,,,,,,,,,,,,,,,,,,,,
10,11,,2016-11-16,20-232,MEM,@,LAC,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,,
11,12,8,2016-11-18,20-234,MEM,@,DAL,W (+16),0,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0
12,13,9,2016-11-19,20-235,MEM,,MIN,W (+22),0,2:14,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+2
13,14,,2016-11-21,20-237,MEM,@,CHO,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
14,15,,2016-11-23,20-239,MEM,@,PHI,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
15,16,10,2016-11-25,20-241,MEM,,MIA,L (-9),0,13:21,2,5,.400,0,0,,1,2,.500,1,0,1,0,0,0,1,0,5,1.6,+5
16,17,,2016-11-26,20-242,MEM,@,MIA,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,,
17,18,11,2016-11-28,20-244,MEM,,CHO,L (-19),0,15:00,3,5,.600,0,2,.000,0,2,.000,1,2,3,3,0,1,1,3,6,4.8,-6
18,19,12,2016-11-30,20-246,MEM,@,TOR,L (-15),0,23:58,1,7,.143,0,1,.000,0,0,,0,3,3,2,0,0,3,4,2,-4.8,-3
19,20,13,2016-12-01,20-247,MEM,,ORL,W (+1),0,18:03,3,7,.429,0,1,.000,2,2,1.000,1,3,4,2,0,0,0,1,8,6.9,-4
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,14,2016-12-03,20-249,MEM,,LAL,W (+3),0,20:16,2,7,.286,0,1,.000,3,4,.750,0,2,2,9,3,1,2,2,7,10.3,+6
22,22,15,2016-12-05,20-251,MEM,@,NOP,W (+2),0,20:55,1,5,.200,0,1,.000,2,2,1.000,0,1,1,3,0,0,0,1,4,2.9,-10
23,23,16,2016-12-06,20-252,MEM,,PHI,W (+5),0,23:33,2,6,.333,0,1,.000,7,8,.875,0,1,1,2,0,0,3,5,11,3.9,-2
24,24,17,2016-12-08,20-254,MEM,,POR,W (+2),0,2:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-2.4,-3
25,25,18,2016-12-10,20-256,MEM,,GSW,W (+21),0,1:47,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-1
26,26,19,2016-12-13,20-259,MEM,@,CLE,L (-17),0,3:59,1,1,1.000,0,0,,4,4,1.000,0,0,0,0,0,1,0,0,6,6.4,+1
27,27,20,2016-12-14,20-260,MEM,,CLE,W (+8),0,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.0,-10
28,28,,2016-12-16,20-262,MEM,,SAC,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
29,29,,2016-12-18,20-264,MEM,,UTA,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
30,30,,2016-12-20,20-266,MEM,,BOS,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
31,31,,2016-12-21,20-267,MEM,@,DET,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
32,32,,2016-12-23,20-269,MEM,,HOU,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
33,33,,2016-12-26,20-272,MEM,@,ORL,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
34,34,,2016-12-27,20-273,MEM,@,BOS,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
35,35,21,2016-12-29,20-275,MEM,,OKC,W (+34),0,4:00,0,1,.000,0,0,,0,0,,0,1,1,4,0,0,0,0,0,2.4,+9
36,36,22,2016-12-31,20-277,MEM,@,SAC,W (+14),0,2:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
37,37,23,2017-01-03,20-280,MEM,@,LAL,L (-14),0,7:37,0,0,,0,0,,4,4,1.000,0,1,1,1,0,0,1,0,4,4.0,+3
38,38,,2017-01-04,20-281,MEM,@,LAC,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
39,39,,2017-01-06,20-283,MEM,@,GSW,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
40,40,,2017-01-08,20-285,MEM,,UTA,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,,2017-01-11,20-288,MEM,@,OKC,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
43,42,,2017-01-13,20-290,MEM,@,HOU,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
44,43,,2017-01-15,20-292,MEM,,CHI,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
45,44,,2017-01-18,20-295,MEM,@,WAS,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
46,45,,2017-01-20,20-297,MEM,,SAC,W (+16),Inactive,,,,,,,,,,,,,,,,,,,,,
47,46,,2017-01-21,20-298,MEM,,HOU,L (-24),Inactive,,,,,,,,,,,,,,,,,,,,,
48,47,,2017-01-25,20-302,MEM,,TOR,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
49,48,,2017-01-27,20-304,MEM,@,POR,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
50,49,,2017-01-28,20-305,MEM,@,UTA,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
51,50,24,2017-01-30,20-307,MEM,@,PHO,W (+19),0,5:07,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,3,0,-0.2,-6
52,51,,2017-02-01,20-309,MEM,@,DEN,W (+20),Inactive,,,,,,,,,,,,,,,,,,,,,
53,52,,2017-02-03,20-311,MEM,@,OKC,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
54,53,,2017-02-04,20-312,MEM,@,MIN,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
55,54,,2017-02-06,20-314,MEM,,SAS,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
56,55,,2017-02-08,20-316,MEM,,PHO,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
57,56,,2017-02-10,20-318,MEM,,GSW,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
58,57,,2017-02-13,20-321,MEM,@,BRK,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
59,58,,2017-02-15,20-323,MEM,,NOP,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
60,59,,2017-02-24,20-332,MEM,@,IND,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
61,60,,2017-02-26,20-334,MEM,@,DEN,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,,2017-02-28,20-336,MEM,,PHO,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
64,62,,2017-03-03,20-339,MEM,@,DAL,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
65,63,,2017-03-04,20-340,MEM,@,HOU,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
66,64,,2017-03-06,20-342,MEM,,BRK,L (-13),Inactive,,,,,,,,,,,,,,,,,,,,,
67,65,,2017-03-09,20-345,MEM,,LAC,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
68,66,,2017-03-11,20-347,MEM,,ATL,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
69,67,,2017-03-13,20-349,MEM,,MIL,W (+20),Inactive,,,,,,,,,,,,,,,,,,,,,
70,68,,2017-03-15,20-351,MEM,@,CHI,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
71,69,,2017-03-16,20-352,MEM,@,ATL,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
72,70,,2017-03-18,20-354,MEM,,SAS,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
73,71,,2017-03-21,20-357,MEM,@,NOP,L (-13),Inactive,,,,,,,,,,,,,,,,,,,,,
74,72,,2017-03-23,20-359,MEM,@,SAS,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
75,73,25,2017-03-26,20-362,MEM,@,GSW,L (-12),0,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
76,74,,2017-03-27,20-363,MEM,@,SAC,L (-1),Did Not Play,,,,,,,,,,,,,,,,,,,,,
77,75,26,2017-03-29,21-000,MEM,,IND,W (+13),0,2:47,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-5
78,76,27,2017-03-31,21-002,MEM,,DAL,W (+9),0,14:13,1,2,.500,0,0,,0,0,,0,1,1,4,0,0,1,3,2,1.9,-2
79,77,28,2017-04-02,21-004,MEM,@,LAL,L (-5),0,14:42,1,1,1.000,0,0,,0,0,,0,0,0,1,1,1,2,0,2,2.1,-11
80,78,29,2017-04-04,21-006,MEM,@,SAS,L (-6),0,19:34,0,6,.000,0,0,,1,2,.500,2,5,7,4,0,0,2,4,1,-1.5,-5
81,79,30,2017-04-05,21-007,MEM,,OKC,L (-3),0,11:21,1,3,.333,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2,2.0,+3
82,80,31,2017-04-07,21-009,MEM,,NYK,W (+13),0,2:32,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-2
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,32,2017-04-09,21-011,MEM,,DET,L (-13),0,12:00,3,8,.375,0,0,,0,0,,1,0,1,1,1,0,0,0,6,4.0,-5
85,82,33,2017-04-12,21-014,MEM,,DAL,L (-7),0,18:16,3,8,.375,0,1,.000,3,3,1.000,1,3,4,0,2,0,4,2,9,3.4,-13
