,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2016-10-26,28-067,PHI,,OKC,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
1,2,,2016-10-29,28-070,PHI,,ATL,L (-32),Inactive,,,,,,,,,,,,,,,,,,,,,
2,3,,2016-11-01,28-073,PHI,,ORL,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
3,4,,2016-11-02,28-074,PHI,@,CHO,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
4,5,,2016-11-05,28-077,PHI,,CLE,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
5,6,,2016-11-07,28-079,PHI,,UTA,L (-25),Inactive,,,,,,,,,,,,,,,,,,,,,
6,7,,2016-11-09,28-081,PHI,@,IND,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
7,8,,2016-11-11,28-083,PHI,,IND,W (+4),Inactive,,,,,,,,,,,,,,,,,,,,,
8,9,,2016-11-12,28-084,PHI,@,ATL,L (-21),Inactive,,,,,,,,,,,,,,,,,,,,,
9,10,,2016-11-14,28-086,PHI,@,HOU,L (-27),Inactive,,,,,,,,,,,,,,,,,,,,,
10,11,,2016-11-16,28-088,PHI,,WAS,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
11,12,,2016-11-17,28-089,PHI,@,MIN,L (-24),Inactive,,,,,,,,,,,,,,,,,,,,,
12,13,,2016-11-19,28-091,PHI,,PHO,W (+15),Inactive,,,,,,,,,,,,,,,,,,,,,
13,14,1,2016-11-21,28-093,PHI,,MIA,W (+7),0,15:27,1,7,.143,0,2,.000,2,2,1.000,1,1,2,5,0,0,2,0,4,2.0,-12
14,15,2,2016-11-23,28-095,PHI,,MEM,L (-5),0,30:21,6,15,.400,1,2,.500,5,6,.833,1,5,6,6,0,0,5,3,18,9.7,+7
15,16,3,2016-11-25,28-097,PHI,,CHI,L (-16),1,25:41,4,10,.400,1,1,1.000,2,2,1.000,1,3,4,2,0,0,2,1,11,6.2,-16
16,17,,2016-11-27,28-099,PHI,,CLE,L (-4),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
17,18,,2016-11-28,28-100,PHI,@,TOR,L (-27),Not With Team,,,,,,,,,,,,,,,,,,,,,
18,19,,2016-12-02,28-104,PHI,,ORL,L (-17),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
19,20,,2016-12-03,28-105,PHI,,BOS,L (-1),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,,2016-12-05,28-107,PHI,,DEN,L (-8),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
22,22,,2016-12-06,28-108,PHI,@,MEM,L (-5),Not With Team,,,,,,,,,,,,,,,,,,,,,
23,23,,2016-12-08,28-110,PHI,@,NOP,W (+11),Not With Team,,,,,,,,,,,,,,,,,,,,,
24,24,,2016-12-11,28-113,PHI,@,DET,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
25,25,,2016-12-14,28-116,PHI,,TOR,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
26,26,,2016-12-16,28-118,PHI,,LAL,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
27,27,,2016-12-18,28-120,PHI,,BRK,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
28,28,,2016-12-20,28-122,PHI,,NOP,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
29,29,,2016-12-23,28-125,PHI,@,PHO,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
30,30,,2016-12-26,28-128,PHI,@,SAC,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
31,31,,2016-12-29,28-131,PHI,@,UTA,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
32,32,,2016-12-30,28-132,PHI,@,DEN,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
33,33,,2017-01-03,28-136,PHI,,MIN,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
34,34,,2017-01-06,28-139,PHI,@,BOS,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
35,35,,2017-01-08,28-141,PHI,@,BRK,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
36,36,,2017-01-11,28-144,PHI,,NYK,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
37,37,,2017-01-13,28-146,PHI,,CHO,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
38,38,,2017-01-14,28-147,PHI,@,WAS,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
39,39,,2017-01-16,28-149,PHI,@,MIL,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
40,40,,2017-01-18,28-151,PHI,,TOR,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,,2017-01-20,28-153,PHI,,POR,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
43,42,,2017-01-21,28-154,PHI,@,ATL,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
44,43,,2017-01-24,28-157,PHI,,LAC,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
45,44,,2017-01-25,28-158,PHI,@,MIL,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
46,45,,2017-01-27,28-160,PHI,,HOU,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
47,46,,2017-01-29,28-162,PHI,@,CHI,L (-13),Inactive,,,,,,,,,,,,,,,,,,,,,
48,47,,2017-01-30,28-163,PHI,,SAC,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
49,48,,2017-02-01,28-165,PHI,@,DAL,L (-18),Inactive,,,,,,,,,,,,,,,,,,,,,
50,49,,2017-02-02,28-166,PHI,@,SAS,L (-16),Inactive,,,,,,,,,,,,,,,,,,,,,
51,50,,2017-02-04,28-168,PHI,@,MIA,L (-23),Inactive,,,,,,,,,,,,,,,,,,,,,
52,51,,2017-02-06,28-170,PHI,@,DET,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
53,52,,2017-02-08,28-172,PHI,,SAS,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
54,53,,2017-02-09,28-173,PHI,@,ORL,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
55,54,,2017-02-11,28-175,PHI,,MIA,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
56,55,,2017-02-13,28-177,PHI,@,CHO,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
57,56,,2017-02-15,28-179,PHI,@,BOS,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
58,57,,2017-02-24,28-188,PHI,,WAS,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
59,58,,2017-02-25,28-189,PHI,@,NYK,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
60,59,,2017-02-27,28-191,PHI,,GSW,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
61,60,,2017-03-01,28-193,PHI,@,MIA,L (-27),Inactive,,,,,,,,,,,,,,,,,,,,,
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,,2017-03-03,28-195,PHI,,NYK,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
64,62,,2017-03-04,28-196,PHI,,DET,L (-30),Inactive,,,,,,,,,,,,,,,,,,,,,
65,63,,2017-03-06,28-198,PHI,,MIL,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
66,64,,2017-03-09,28-201,PHI,@,POR,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
67,65,,2017-03-11,28-203,PHI,@,LAC,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
68,66,,2017-03-12,28-204,PHI,@,LAL,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
69,67,,2017-03-14,28-206,PHI,@,GSW,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
70,68,,2017-03-17,28-209,PHI,,DAL,W (+42),Inactive,,,,,,,,,,,,,,,,,,,,,
71,69,,2017-03-19,28-211,PHI,,BOS,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
72,70,,2017-03-20,28-212,PHI,@,ORL,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
73,71,,2017-03-22,28-214,PHI,@,OKC,L (-25),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
74,72,,2017-03-24,28-216,PHI,@,CHI,W (+10),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
75,73,,2017-03-26,28-218,PHI,@,IND,L (-13),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
76,74,,2017-03-28,28-220,PHI,@,BRK,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
77,75,,2017-03-29,28-221,PHI,,ATL,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
78,76,,2017-03-31,28-223,PHI,@,CLE,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
79,77,,2017-04-02,28-225,PHI,@,TOR,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
80,78,,2017-04-04,28-227,PHI,,BRK,L (-23),Inactive,,,,,,,,,,,,,,,,,,,,,
81,79,,2017-04-06,28-229,PHI,,CHI,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
82,80,,2017-04-08,28-231,PHI,,MIL,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,,2017-04-10,28-233,PHI,,IND,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
85,82,,2017-04-12,28-235,PHI,@,NYK,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
