2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0.1,0.667,0.2,0.4,0.222,1.9,0.2,23.0,0.0,0.9,0.6,0.267,2.1,0.0,0.0,0.0,14.0,0.0,babbch01,NBA,9.4,0.3,0.9,1.6,SG,0.4,2013-14,0.2,1.2,BOS,0.3670000000000001
0.5,0.308,1.6,0.1,0.188,0.7,0.3,21.0,0.1,1.0,0.6,0.273,2.3,0.1,0.333,0.4,24.0,0.0,babbilu01,NBA,5.7,0.3,0.6,1.5,SF,0.1,2010-11,0.3,1.3,POR,0.3
0.7,0.384,1.8,1.1,0.43,2.5,0.4,22.0,0.1,2.0,1.8,0.41,4.3,0.4,0.85,0.5,40.0,4.0,babbilu01,NBA,13.4,0.4,1.2,5.1,SF,0.3,2011-12,0.7,2.4,POR,0.535
0.4,0.429,0.9,1.0,0.348,2.9,0.5,23.0,0.1,2.0,1.4,0.368,3.8,0.2,0.769,0.2,62.0,0.0,babbilu01,NBA,11.8,0.2,1.3,3.9,PF,0.2,2012-13,0.4,2.2,POR,0.5
0.9,0.407,2.2,1.3,0.379,3.5,1.1,24.0,0.4,2.6,2.2,0.39,5.7,0.5,0.778,0.7,27.0,2.0,babbilu01,NBA,17.5,0.7,1.9,6.3,PF,0.3,2013-14,0.6,3.3,NOP,0.506
0.5,0.429,1.2,0.9,0.513,1.8,0.4,25.0,0.2,1.6,1.5,0.479,3.0,0.2,0.684,0.3,63.0,19.0,babbilu01,NBA,13.2,0.2,1.0,4.1,SF,0.3,2014-15,0.4,1.8,NOP,0.633
1.7,0.433,3.8,0.9,0.404,2.3,1.1,26.0,0.1,2.6,2.6,0.422,6.1,0.8,0.78,1.1,47.0,13.0,babbilu01,NBA,18.0,0.5,1.9,7.0,SF,0.2,2015-16,0.5,3.1,NOP,0.498
0.4,0.366,1.0,1.3,0.414,3.1,0.5,27.0,0.2,1.9,1.7,0.402,4.1,0.2,0.733,0.2,68.0,55.0,babbilu01,NBA,15.7,0.2,1.7,4.8,SF,0.3,2016-17,0.4,2.1,MIA,0.557
0.6,0.525,1.2,1.2,0.385,3.1,0.6,28.0,0.1,1.8,1.8,0.423,4.3,0.3,0.773,0.4,50.0,14.0,babbilu01,NBA,14.3,0.1,1.1,5.2,SF,0.2,2017-18,0.4,1.9,TOT,0.563
0.8,0.544,1.5,1.3,0.441,3.0,0.7,28.0,0.1,2.1,2.2,0.476,4.5,0.5,0.773,0.6,37.0,9.0,babbilu01,NBA,15.4,0.1,1.3,6.1,SF,0.2,2017-18,0.4,2.2,ATL,0.622
0.0,0.0,0.2,0.8,0.244,3.5,0.4,28.0,0.2,1.0,0.8,0.234,3.6,0.0,0.0,0.0,13.0,5.0,babbilu01,NBA,11.2,0.2,0.5,2.5,SF,0.1,2017-18,0.3,1.2,MIA,0.35100000000000003
