,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0,2.1,0.402,5.1,0.0,0.0,0.0,2.4,22.0,0.3,1.3,2.1,0.402,5.1,0.6,0.7020000000000001,0.9,52.0,0.0,dantomi01,NBA,19.0,0.5,2.2,4.8,SG,1.4,1973-74,0.0,1.8,KCO,0.402
1,1.0,0.39899999999999997,2.6,0.0,0.0,0.0,1.6,23.0,0.2,1.0,1.0,0.39899999999999997,2.6,0.4,0.778,0.5,67.0,0.0,dantomi01,NBA,11.3,0.2,1.6,2.5,SG,1.0,1974-75,0.0,1.1,KCO,0.39899999999999997
2,1.4,0.45399999999999996,3.1,0.0,0.0,0.1,2.2,24.0,0.2,1.2,1.4,0.444,3.2,0.4,0.75,0.5,59.0,0.0,dantomi01,TOT,15.2,0.3,2.6,3.2,SG,1.2,1975-76,0.8,1.5,TOT,0.444
3,0.8,0.259,3.0,0.0,0.0,0.0,1.8,24.0,0.0,1.1,0.8,0.259,3.0,0.2,1.0,0.2,9.0,0.0,dantomi01,NBA,11.2,0.4,2.0,1.8,SG,1.1,1975-76,0.0,1.6,KCK,0.259
4,1.5,0.48700000000000004,3.2,0.0,0.0,0.1,2.3,24.0,0.3,1.2,1.5,0.475,3.2,0.4,0.731,0.5,50.0,0.0,dantomi01,ABA,16.0,0.3,2.7,3.5,SG,1.3,1975-76,0.9,1.5,SSL,0.475
5,0.5,0.33299999999999996,1.5,0.0,0.0,0.0,1.0,25.0,0.0,1.0,0.5,0.33299999999999996,1.5,0.5,0.5,1.0,2.0,0.0,dantomi01,NBA,4.5,0.0,1.5,1.5,SG,0.0,1976-77,0.0,1.0,SAS,0.33299999999999996
0,0.8,0.667,1.2,0.0,0.0,0.0,0.2,25.0,0.0,0.0,0.8,0.667,1.2,0.4,0.444,0.9,10.0,0.0,dabicmi01,ABA,4.9,0.0,1.2,2.0,0,0.0,1967-68,0.5,1.3,TOT,0.667
1,0.6,0.8,0.7,0.0,0.0,0.0,0.1,25.0,0.0,0.0,0.6,0.8,0.7,0.3,0.5,0.6,7.0,0.0,dabicmi01,ABA,3.7,0.0,0.7,1.4,0,0.0,1967-68,0.7,0.9,OAK,0.8
2,1.3,0.5710000000000001,2.3,0.0,0.0,0.0,0.3,25.0,0.0,0.0,1.3,0.5710000000000001,2.3,0.7,0.4,1.7,3.0,0.0,dabicmi01,ABA,7.7,0.0,2.3,3.3,0,0.0,1967-68,0.0,2.3,DLC,0.5710000000000001
0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,26.0,0.0,0.0,1.0,0.368,2.7,0.5,1.0,0.5,14.0,0.0,dahleed01,NBA,8.0,0.0,1.1,2.5,0,0.0,1951-52,0.0,1.6,PHW,0.0
0,6.1,0.473,12.9,0.1,0.2,0.3,3.7,22.0,0.1,2.3,6.2,0.466,13.3,2.7,0.73,3.7,76.0,32.0,dailequ01,NBA,27.4,1.1,3.3,15.1,SG,0.9,1982-83,2.7,3.4,CHI,0.469
1,7.1,0.484,14.6,0.0,0.125,0.4,3.1,23.0,0.1,2.1,7.1,0.474,15.0,3.9,0.8109999999999999,4.8,82.0,42.0,dailequ01,NBA,29.9,0.7,2.7,18.2,SG,1.3,1983-84,2.7,2.9,CHI,0.47600000000000003
2,6.6,0.479,13.7,0.1,0.233,0.4,2.4,24.0,0.1,1.9,6.6,0.473,14.1,2.6,0.8170000000000001,3.2,79.0,0.0,dailequ01,NBA,26.6,0.7,2.4,16.0,SG,0.9,1984-85,1.9,2.6,CHI,0.47600000000000003
3,5.8,0.439,13.2,0.0,0.0,0.2,1.9,25.0,0.1,1.4,5.8,0.43200000000000005,13.4,4.7,0.823,5.7,35.0,0.0,dailequ01,NBA,20.7,0.6,2.5,16.3,SG,0.6,1985-86,1.9,1.9,CHI,0.43200000000000005
4,4.1,0.414,9.8,0.0,0.1,0.2,1.6,26.0,0.2,1.0,4.1,0.40700000000000003,10.0,2.4,0.768,3.2,49.0,5.0,dailequ01,NBA,18.9,0.7,2.3,10.6,SG,0.9,1986-87,1.4,1.7,LAC,0.408
5,4.9,0.439,11.1,0.0,0.16699999999999998,0.2,1.6,27.0,0.1,1.4,4.9,0.434,11.3,3.6,0.7759999999999999,4.7,67.0,7.0,dailequ01,NBA,19.1,0.9,1.9,13.4,SG,1.0,1987-88,1.8,2.3,LAC,0.436
6,6.5,0.46799999999999997,13.8,0.0,0.111,0.1,2.2,28.0,0.1,2.0,6.5,0.465,14.0,3.1,0.759,4.1,69.0,51.0,dailequ01,NBA,25.0,1.0,2.2,16.1,SG,1.3,1988-89,1.8,3.0,LAC,0.465
7,3.2,0.409,7.8,0.0,0.2,0.2,1.1,29.0,0.0,1.1,3.2,0.40399999999999997,8.0,1.7,0.7879999999999999,2.2,30.0,2.0,dailequ01,NBA,16.4,0.6,2.1,8.2,SG,0.4,1989-90,1.1,1.7,SEA,0.406
8,2.4,0.474,5.1,0.0,0.0,0.0,0.5,30.0,0.0,0.7,2.4,0.47100000000000003,5.2,1.3,0.613,2.1,30.0,0.0,dailequ01,NBA,10.0,0.4,0.8,6.1,SG,0.2,1990-91,0.6,1.1,SEA,0.47100000000000003
9,0.8,0.25,3.3,0.0,0.0,0.1,0.4,31.0,0.1,0.9,0.8,0.243,3.4,1.2,0.813,1.5,11.0,1.0,dailequ01,NBA,8.9,0.2,0.5,2.8,SG,0.5,1991-92,0.9,1.1,SEA,0.243
0,0.6,0.44,1.5,0.0,0.0,0.0,0.1,20.0,0.4,1.3,0.6,0.44,1.5,0.2,0.389,0.5,34.0,0.0,dalemsa01,NBA,5.2,0.7,0.9,1.5,C,0.2,2001-02,0.4,2.0,PHI,0.44
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dalemsa01,0,0.0,0.0,0.0,0.0,0,0.0,2002-03,0.0,0.0,Did Not Play (injury—knee),0.0
2,3.3,0.542,6.1,0.0,0.0,0.0,0.3,22.0,2.3,5.3,3.3,0.541,6.1,1.4,0.644,2.1,82.0,53.0,dalemsa01,NBA,26.8,2.4,3.3,8.0,C,0.5,2003-04,1.0,7.6,PHI,0.541
3,3.5,0.524,6.6,0.0,0.0,0.0,0.5,23.0,1.7,4.9,3.5,0.524,6.6,1.2,0.601,2.1,72.0,60.0,dalemsa01,NBA,24.8,2.6,3.3,8.2,C,0.6,2004-05,1.6,7.5,PHI,0.524
4,3.0,0.5329999999999999,5.6,0.0,0.0,0.0,0.4,24.0,2.4,5.8,3.0,0.531,5.6,1.4,0.705,2.0,66.0,52.0,dalemsa01,NBA,26.7,2.4,3.7,7.3,C,0.5,2005-06,1.6,8.2,PHI,0.531
5,4.3,0.5429999999999999,8.0,0.0,0.0,0.0,0.8,25.0,1.9,6.0,4.3,0.541,8.0,2.0,0.746,2.7,82.0,82.0,dalemsa01,NBA,30.9,2.9,3.5,10.7,C,0.6,2006-07,2.0,8.9,PHI,0.541
6,4.1,0.514,8.0,0.0,0.0,0.0,0.5,26.0,2.3,6.6,4.1,0.513,8.1,2.3,0.7070000000000001,3.2,82.0,82.0,dalemsa01,NBA,33.2,3.7,3.3,10.5,C,0.5,2007-08,1.9,10.4,PHI,0.513
7,2.6,0.5,5.3,0.0,0.0,0.0,0.2,27.0,1.8,5.9,2.6,0.498,5.3,1.1,0.7340000000000001,1.5,82.0,82.0,dalemsa01,NBA,24.8,2.6,3.0,6.4,C,0.4,2008-09,1.4,8.5,PHI,0.498
