2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0.0,0.0,0.0,0.0,0.0,0.0,1.9,27.0,0.0,0.0,4.0,0.337,12.0,2.8,0.6890000000000001,4.1,56.0,0.0,gaborbi01,NBA,0.0,0.0,3.5,10.9,SG,0.0,1949-50,0.0,0.0,SYR,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,4.2,0.342,12.2,2.9,0.74,4.0,61.0,0.0,gaborbi01,NBA,0.0,0.0,3.5,11.3,SG,0.0,1950-51,0.0,2.5,SYR,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.5,29.0,0.0,0.0,3.0,0.322,9.4,2.5,0.7759999999999999,3.2,57.0,0.0,gaborbi01,NBA,19.0,0.0,3.3,8.6,SG,0.0,1951-52,0.0,1.6,SYR,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.9,30.0,0.0,0.0,3.1,0.35,8.9,3.1,0.764,4.1,69.0,0.0,gaborbi01,NBA,19.4,0.0,3.8,9.4,SG,0.0,1952-53,0.0,1.5,SYR,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.7,31.0,0.0,0.0,3.3,0.37,9.0,2.3,0.716,3.2,61.0,0.0,gaborbi01,NBA,19.9,0.0,3.0,9.0,SG,0.0,1953-54,0.0,1.6,SYR,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.7,32.0,0.0,0.0,2.3,0.318,7.3,1.0,0.6,1.7,3.0,0.0,gaborbi01,NBA,15.7,0.0,2.0,5.7,SG,0.0,1954-55,0.0,1.7,SYR,0.0
1.4,0.486,2.9,0.0,0.0,0.0,0.2,24.0,1.1,2.7,1.4,0.483,3.0,0.6,0.518,1.1,49.0,30.0,gadzuda01,NBA,15.5,1.3,2.6,3.4,C,0.4,2002-03,0.6,4.0,MIL,0.483
2.4,0.526,4.6,0.0,0.0,0.0,0.4,25.0,1.4,2.9,2.4,0.524,4.7,0.8,0.4920000000000001,1.6,75.0,0.0,gadzuda01,NBA,16.8,1.7,2.5,5.7,C,0.7,2003-04,0.6,4.6,MIL,0.524
3.0,0.539,5.6,0.0,0.0,0.0,0.4,26.0,1.3,5.1,3.0,0.539,5.6,1.3,0.5379999999999999,2.5,81.0,81.0,gadzuda01,NBA,22.0,3.2,2.8,7.3,C,0.6,2004-05,1.0,8.3,MIL,0.539
2.3,0.555,4.2,0.0,0.0,0.0,0.3,27.0,0.6,1.9,2.3,0.5529999999999999,4.2,0.6,0.461,1.2,74.0,0.0,gadzuda01,NBA,12.0,1.2,2.3,5.2,C,0.3,2005-06,0.5,3.1,MIL,0.5529999999999999
2.0,0.476,4.2,0.0,0.0,0.0,0.5,28.0,0.6,2.8,2.0,0.474,4.2,0.8,0.467,1.7,54.0,8.0,gadzuda01,NBA,15.6,1.7,2.6,4.8,C,0.4,2006-07,0.9,4.6,MIL,0.474
1.3,0.418,3.0,0.0,0.0,0.0,0.2,29.0,0.5,1.5,1.3,0.416,3.0,0.6,0.524,1.2,51.0,4.0,gadzuda01,NBA,10.5,1.3,1.6,3.2,C,0.4,2007-08,0.7,2.8,MIL,0.416
1.7,0.483,3.6,0.0,0.0,0.0,0.6,30.0,0.6,2.4,1.7,0.48,3.6,0.6,0.544,1.0,67.0,26.0,gadzuda01,NBA,14.0,1.4,2.4,4.0,C,0.5,2008-09,0.6,3.8,MIL,0.48
1.2,0.438,2.8,0.0,0.0,0.0,0.4,31.0,0.4,1.7,1.2,0.438,2.8,0.3,0.4,0.8,32.0,6.0,gadzuda01,NBA,9.8,1.2,2.0,2.8,C,0.3,2009-10,0.5,2.9,MIL,0.438
1.3,0.422,3.0,0.0,0.0,0.0,0.3,32.0,0.7,1.5,1.3,0.419,3.1,0.2,0.37,0.6,42.0,9.0,gadzuda01,NBA,11.0,1.7,2.2,2.8,C-PF,0.3,2010-11,0.7,3.2,TOT,0.419
1.3,0.425,3.1,0.0,0.0,0.0,0.4,32.0,0.6,1.2,1.3,0.42,3.1,0.2,0.35700000000000004,0.5,28.0,4.0,gadzuda01,NBA,10.6,1.9,2.3,2.8,C,0.4,2010-11,0.8,3.1,GSW,0.42
1.2,0.415,2.9,0.0,0.0,0.0,0.2,32.0,0.8,2.2,1.2,0.415,2.9,0.4,0.385,0.9,14.0,5.0,gadzuda01,NBA,11.9,1.3,2.0,2.8,PF,0.2,2010-11,0.6,3.5,NJN,0.415
0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0.5,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,gadzuda01,NBA,6.5,0.5,2.0,0.0,C,0.5,2011-12,0.5,2.5,NYK,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,gaide01,NBA,2.5,0.0,0.0,0.0,C,0.0,2005-06,0.0,0.0,PHI,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6,29.0,0.0,0.0,0.2,0.111,1.8,0.6,0.5,1.2,5.0,0.0,gaineel01,BAA,0.0,0.0,1.6,1.0,0,0.0,1947-48,0.0,0.0,BLB,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaineel01,0,0.0,0.0,0.0,0.0,0,0.0,1948-49,0.0,0.0,Did Not PlayÂ (other pro leagueâNBL),0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5,31.0,0.0,0.0,0.6,0.257,2.3,0.4,0.75,0.5,15.0,0.0,gaineel01,NBA,0.0,0.0,1.9,1.6,0,0.0,1949-50,0.0,0.0,WAT,0.0
1.0,0.5,2.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,0.5,2.0,0.0,0.0,0.0,1.0,0.0,gainebi01,ABA,5.0,1.0,0.0,2.0,0,0.0,1968-69,1.0,1.0,HSM,0.5
0.8,0.441,1.8,0.0,0.2,0.2,2.1,23.0,0.0,0.5,0.8,0.422,2.0,0.4,0.75,0.5,32.0,0.0,gaineco01,NBA,10.5,0.1,0.8,2.1,SG,0.5,1988-89,0.6,0.6,NJN,0.43
0.3,0.3,1.1,0.1,0.5,0.2,2.9,24.0,0.0,0.4,0.4,0.333,1.3,0.1,0.25,0.4,9.0,0.0,gaineco01,NBA,9.0,0.1,1.2,1.1,SG,0.4,1989-90,1.1,0.6,PHI,0.375
2.3,0.469,4.9,0.5,0.238,2.1,9.1,25.0,0.2,1.0,2.8,0.4,7.0,2.2,0.846,2.6,10.0,2.0,gaineco01,NBA,22.6,0.4,2.5,8.3,SG,1.0,1990-91,2.3,1.4,DEN,0.436
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaineco01,0,0.0,0.0,0.0,0.0,0,0.0,1991-92,0.0,0.0,Did Not PlayÂ (other pro leagueâCBA),0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaineco01,0,0.0,0.0,0.0,0.0,0,0.0,1992-93,0.0,0.0,Did Not PlayÂ (other pro leagueâCBA),0.0
0.4,0.467,0.8,0.1,0.4,0.3,1.7,28.0,0.0,0.6,0.5,0.45,1.1,0.7,0.867,0.8,18.0,0.0,gaineco01,NBA,4.3,0.2,0.7,1.8,SG,0.1,1993-94,0.3,0.7,NYK,0.5
2.0,0.611,3.3,0.2,0.133,1.4,3.0,29.0,0.1,1.5,2.2,0.471,4.6,0.5,0.455,1.0,11.0,8.0,gaineco01,NBA,25.5,0.1,2.1,5.0,SG,0.7,1994-95,1.3,1.6,PHI,0.49
1.0,0.2,5.0,0.3,1.0,0.3,0.0,25.0,0.0,0.0,1.3,0.25,5.3,0.3,0.5,0.7,3.0,0.0,gaineda01,ABA,12.0,0.0,1.3,3.3,SG,0.0,1967-68,0.0,3.3,KEN,0.281
0.6,0.289,2.0,0.1,0.3,0.3,1.1,23.0,0.1,0.8,0.7,0.29100000000000004,2.3,0.4,0.64,0.7,38.0,1.0,gainere01,NBA,9.6,0.2,0.6,1.8,PG,0.3,2003-04,0.5,1.0,ORL,0.308
0.6,0.361,1.7,0.2,0.28600000000000003,0.7,0.3,24.0,0.0,0.6,0.8,0.34,2.4,0.1,0.75,0.2,21.0,0.0,gainere01,NBA,8.9,0.0,0.8,2.0,PG,0.2,2004-05,0.3,0.7,TOT,0.38
