2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
2.0,0.464,4.4,0.0,0.0,0.0,1.0,26.0,0.6,2.7,2.0,0.462,4.4,1.0,0.69,1.4,80.0,77.0,iavarma01,NBA,20.2,1.5,3.0,5.1,PF,0.4,1982-83,1.7,4.1,PHI,0.462
1.9,0.466,4.1,0.0,0.0,0.0,1.2,27.0,0.7,2.8,1.9,0.463,4.1,1.2,0.74,1.7,78.0,71.0,iavarma01,NBA,19.6,1.2,2.8,5.1,PF,0.5,1983-84,1.6,4.0,PHI,0.463
2.3,0.463,5.1,0.0,0.0,0.1,1.7,28.0,0.5,3.0,2.3,0.458,5.1,1.3,0.68,1.9,69.0,43.0,iavarma01,NBA,19.3,1.4,3.1,6.0,PF,0.5,1984-85,1.7,4.4,TOT,0.458
1.0,0.387,2.6,0.0,0.0,0.0,0.5,28.0,0.3,1.5,1.0,0.387,2.6,0.5,1.0,0.5,12.0,10.0,iavarma01,NBA,13.0,0.9,2.0,2.5,PF,0.3,1984-85,1.3,2.4,PHI,0.387
2.6,0.47,5.6,0.0,0.0,0.1,2.0,28.0,0.6,3.4,2.6,0.464,5.7,1.4,0.664,2.1,57.0,33.0,iavarma01,NBA,20.7,1.5,3.4,6.7,PF,0.5,1984-85,1.8,4.8,SAS,0.464
1.6,0.455,3.6,0.0,0.0,0.0,1.2,29.0,0.3,2.1,1.6,0.451,3.6,1.1,0.6609999999999999,1.7,68.0,9.0,iavarma01,NBA,14.9,0.9,2.4,4.4,PF,0.5,1985-86,1.1,3.1,TOT,0.451
1.8,0.46,3.8,0.0,0.0,0.0,1.3,29.0,0.3,2.1,1.8,0.454,3.9,1.0,0.642,1.6,42.0,7.0,iavarma01,NBA,15.9,1.0,2.6,4.5,PF,0.5,1985-86,1.2,3.1,SAS,0.454
1.4,0.444,3.1,0.0,0.0,0.0,1.1,29.0,0.1,2.2,1.4,0.444,3.1,1.3,0.688,1.8,26.0,2.0,iavarma01,NBA,13.3,0.8,2.1,4.0,PF,0.4,1985-86,0.8,3.0,UTA,0.444
1.3,0.474,2.7,0.0,0.0,0.1,0.5,30.0,0.1,1.4,1.3,0.465,2.8,1.0,0.672,1.5,78.0,0.0,iavarma01,NBA,10.8,0.8,2.0,3.6,PF,0.2,1986-87,0.7,2.2,UTA,0.465
1.8,0.467,3.8,0.0,0.0,0.0,0.8,31.0,0.3,2.1,1.8,0.464,3.8,1.0,0.7879999999999999,1.2,81.0,71.0,iavarma01,NBA,15.3,1.2,2.0,4.5,PF,0.3,1987-88,1.0,3.3,UTA,0.464
