,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0,7.9,0.456,17.4,0.2,0.25,0.6,3.5,22.0,0.0,6.1,8.1,0.449,18.0,5.3,0.684,7.7,71.0,0.0,jabalwa01,ABA,35.8,3.6,3.7,21.5,SG,0.0,1968-69,4.3,9.7,OAK,0.45299999999999996
1,8.1,0.45799999999999996,17.7,0.5,0.306,1.6,4.3,23.0,0.0,7.6,8.6,0.445,19.2,5.3,0.7170000000000001,7.3,40.0,0.0,jabalwa01,ABA,37.8,2.9,3.6,22.8,SG,0.0,1969-70,5.1,10.4,WSA,0.45799999999999996
2,2.9,0.46,6.3,0.8,0.28800000000000003,2.6,3.5,24.0,0.0,3.8,3.7,0.41,8.9,2.9,0.7609999999999999,3.8,62.0,0.0,jabalwa01,ABA,25.6,1.0,3.3,11.0,SG,0.0,1970-71,3.1,4.8,INA,0.452
3,5.8,0.45799999999999996,12.6,1.3,0.358,3.5,6.1,25.0,0.0,6.0,7.0,0.436,16.1,4.6,0.7559999999999999,6.1,81.0,0.0,jabalwa01,ABA,40.9,2.1,3.7,19.9,SG,0.0,1971-72,4.1,8.1,FLO,0.475
4,4.9,0.486,10.2,0.4,0.257,1.7,6.6,26.0,0.0,3.6,5.4,0.45299999999999996,11.9,5.9,0.805,7.3,82.0,0.0,jabalwa01,ABA,33.4,1.6,3.4,17.0,PG,2.1,1972-73,3.7,5.2,DNR,0.47100000000000003
5,4.3,0.397,10.9,0.9,0.366,2.5,7.3,27.0,0.2,3.3,5.2,0.391,13.4,4.5,0.8029999999999999,5.6,49.0,0.0,jabalwa01,ABA,34.9,1.7,3.4,15.9,SG,2.0,1973-74,4.0,5.0,DNR,0.425
6,3.1,0.42200000000000004,7.3,1.0,0.321,3.1,5.8,28.0,0.3,3.0,4.1,0.392,10.5,2.9,0.789,3.7,62.0,0.0,jabalwa01,ABA,30.0,1.2,3.0,12.1,SG,1.8,1974-75,3.0,4.1,SDA,0.44
0,2.1,0.48,4.5,0.3,0.263,1.0,2.8,22.0,0.0,1.8,2.4,0.442,5.4,1.6,0.8,2.0,79.0,4.0,jackja01,NBA,20.2,0.2,1.7,6.7,SG,0.5,2005-06,1.3,2.0,POR,0.465
1,3.3,0.49,6.6,0.8,0.35,2.3,5.3,23.0,0.1,2.4,4.1,0.45399999999999996,8.9,3.1,0.871,3.5,79.0,79.0,jackja01,NBA,33.6,0.2,2.6,12.0,PG,1.1,2006-07,2.4,2.6,POR,0.499
2,2.5,0.47,5.2,0.8,0.342,2.3,3.8,24.0,0.0,2.5,3.3,0.431,7.6,2.6,0.867,3.0,82.0,16.0,jackja01,NBA,27.2,0.4,1.6,9.9,SG,0.7,2007-08,2.2,2.9,POR,0.483
3,3.8,0.48700000000000004,7.7,1.0,0.353,2.7,4.1,25.0,0.2,2.8,4.7,0.45299999999999996,10.4,2.7,0.852,3.2,82.0,53.0,jackja01,NBA,33.1,0.5,2.2,13.1,SG,1.1,2008-09,2.2,3.4,IND,0.498
4,2.9,0.511,5.8,1.0,0.41200000000000003,2.4,5.0,26.0,0.1,2.3,3.9,0.48100000000000004,8.2,2.5,0.8420000000000001,2.9,82.0,43.0,jackja01,NBA,27.4,0.4,1.8,11.4,PG,0.7,2009-10,2.0,2.7,TOR,0.542
5,2.7,0.429,6.4,0.4,0.306,1.3,2.9,27.0,0.1,1.8,3.1,0.408,7.7,2.2,0.85,2.6,83.0,15.0,jackja01,NBA,20.7,0.2,1.2,8.9,SG-PG,0.7,2010-11,1.3,2.1,TOT,0.434
6,3.4,0.449,7.5,0.3,0.16699999999999998,1.8,4.5,27.0,0.0,2.8,3.7,0.39299999999999996,9.4,3.1,0.87,3.5,13.0,13.0,jackja01,NBA,26.7,0.5,1.9,10.8,PG,1.1,2010-11,2.6,3.2,TOR,0.41
7,2.6,0.425,6.2,0.4,0.345,1.2,2.6,27.0,0.1,1.7,3.0,0.41200000000000003,7.4,2.0,0.845,2.4,70.0,2.0,jackja01,NBA,19.6,0.2,1.1,8.5,SG,0.6,2010-11,1.1,1.9,NOH,0.44
8,5.0,0.48200000000000004,10.5,0.9,0.348,2.5,6.3,28.0,0.2,3.4,5.9,0.456,13.0,2.9,0.872,3.3,45.0,39.0,jackja01,NBA,34.0,0.5,2.1,15.6,PG,0.7,2011-12,2.4,3.9,NOH,0.49
