,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0,0.3,0.8,0.3,0.0,0.0,0.0,0.0,24.0,0.3,0.3,0.3,0.8,0.3,0.4,0.5,0.8,16.0,0.0,ndiayha01,NBA,5.0,0.1,1.1,0.9,C,0.1,2010-11,0.2,0.4,WAS,0.8
1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3.0,0.0,ndiayha01,NBA,1.0,0.0,0.0,0.0,C,0.0,2011-12,0.0,0.0,WAS,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ndiayha01,0,0.0,0.0,0.0,0.0,0,0.0,2012-13,0.0,0.0,Did Not Play,0.0
3,0.2,0.33299999999999996,0.6,0.0,0.0,0.0,0.2,27.0,0.3,0.9,0.2,0.33299999999999996,0.6,0.0,0.0,0.1,14.0,0.0,ndiayha01,NBA,5.3,0.4,1.1,0.4,C,0.0,2013-14,0.2,1.3,SAC,0.33299999999999996
0,0.3,0.25,1.0,0.0,0.0,0.0,0.3,25.0,0.3,0.5,0.3,0.25,1.0,0.8,0.75,1.0,4.0,0.0,ndiayma01,NBA,6.8,0.8,2.3,1.3,PF,0.0,1998-99,0.3,1.3,VAN,0.25
0,0.3,0.25,1.3,0.0,0.0,0.0,0.0,25.0,0.0,0.3,0.3,0.25,1.3,0.7,1.0,0.7,3.0,0.0,ndiayma02,NBA,3.3,0.3,1.0,1.3,C,0.0,2000-01,0.0,0.7,TOR,0.25
1,1.2,0.6,2.0,0.0,0.0,0.0,0.0,26.0,0.4,1.0,1.2,0.6,2.0,1.6,0.8,2.0,5.0,0.0,ndiayma02,NBA,9.2,1.2,1.2,4.0,C,0.0,2001-02,0.2,2.2,TOR,0.6
2,2.0,0.44799999999999995,4.4,0.0,0.0,0.0,0.3,27.0,1.5,2.4,2.0,0.44799999999999995,4.4,1.5,0.723,2.1,22.0,8.0,ndiayma02,NBA,16.5,1.3,2.6,5.5,C,0.4,2002-03,1.0,3.7,TOR,0.44799999999999995
3,1.0,0.391,2.5,0.0,0.0,0.0,0.0,28.0,0.9,2.5,1.0,0.391,2.5,1.6,0.746,2.1,28.0,1.0,ndiayma02,NBA,13.1,1.5,2.1,3.5,C,0.3,2003-04,0.6,4.0,TOT,0.391
4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,28.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.0,3.0,0.0,ndiayma02,NBA,2.3,0.0,0.3,0.0,C,0.0,2003-04,0.3,0.3,DAL,0.0
5,1.1,0.397,2.7,0.0,0.0,0.0,0.0,28.0,1.0,2.7,1.1,0.397,2.7,1.8,0.746,2.4,25.0,1.0,ndiayma02,NBA,14.4,1.7,2.3,3.9,C,0.3,2003-04,0.7,4.4,ATL,0.397
6,0.7,0.42100000000000004,1.7,0.0,0.0,0.1,0.1,29.0,0.5,0.8,0.7,0.4,1.8,0.4,0.5710000000000001,0.6,11.0,0.0,ndiayma02,NBA,6.5,0.8,1.8,1.8,C,0.1,2004-05,0.0,1.6,LAC,0.4
0,1.0,0.423,2.3,0.0,0.0,0.0,0.3,28.0,0.2,1.0,1.0,0.415,2.3,0.3,0.667,0.4,23.0,1.0,ndongbo01,NBA,6.6,0.7,1.0,2.2,C,0.1,2005-06,0.3,1.6,LAC,0.415
0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,23.0,0.0,0.0,0.0,0.0,1.0,0.3,0.5,0.5,4.0,0.0,naberbo01,NBA,2.8,0.0,1.5,0.3,0,0.0,1952-53,0.0,1.3,INO,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,21.0,0.0,0.0,1.0,0.3,3.3,1.3,0.615,2.2,6.0,0.0,nachabo01,NBA,9.8,0.0,1.0,3.3,0,0.0,1954-55,0.0,3.2,ROC,0.0
0,0.6,0.429,1.5,0.1,0.2,0.7,0.2,22.0,0.1,0.6,0.8,0.355,2.2,0.4,0.5,0.7,14.0,1.0,nachbbo01,NBA,5.5,0.2,0.9,2.1,SF,0.1,2002-03,0.4,0.8,HOU,0.387
1,0.5,0.348,1.5,0.5,0.365,1.4,0.7,23.0,0.3,1.4,1.0,0.35600000000000004,2.9,0.5,0.7240000000000001,0.6,45.0,3.0,nachbbo01,NBA,11.5,0.2,1.6,3.1,SF,0.3,2003-04,0.5,1.6,HOU,0.44299999999999995
2,1.2,0.4,3.0,1.1,0.38299999999999995,2.8,1.0,24.0,0.2,2.2,2.3,0.392,5.8,1.4,0.8290000000000001,1.6,71.0,6.0,nachbbo01,NBA,18.9,0.3,2.6,7.0,PF-SF,0.4,2004-05,1.0,2.6,TOT,0.483
3,0.3,0.22699999999999998,1.4,0.6,0.47600000000000003,1.3,0.6,24.0,0.0,1.6,0.9,0.349,2.7,0.6,0.75,0.8,16.0,2.0,nachbbo01,NBA,12.8,0.3,1.9,3.1,SF,0.1,2004-05,0.3,1.9,HOU,0.465
4,1.5,0.42,3.5,1.2,0.371,3.2,1.2,24.0,0.3,2.4,2.7,0.397,6.7,1.6,0.838,1.9,55.0,4.0,nachbbo01,NBA,20.7,0.4,2.8,8.1,PF,0.5,2004-05,1.2,2.8,NOH,0.485
5,1.0,0.41200000000000003,2.4,0.5,0.268,2.0,0.8,25.0,0.1,1.4,1.5,0.34600000000000003,4.3,0.8,0.682,1.2,36.0,13.0,nachbbo01,NBA,13.9,0.2,1.8,4.4,PF-SF,0.4,2005-06,0.7,1.7,TOT,0.40700000000000003
