2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0.0,0.0,0.0,0.0,0.0,0.0,0.1,23.0,0.6,0.6,0.8,0.436,1.8,0.5,0.552,1.0,30.0,0.0,pacejo01,NBA,4.0,0.5,1.0,2.1,C,0.1,1976-77,0.0,1.1,WSB,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5,24.0,0.4,1.7,1.4,0.479,2.9,1.2,0.613,1.9,49.0,0.0,pacejo01,NBA,8.9,1.0,1.8,3.9,C,0.2,1977-78,0.9,2.7,WSB,0.0
1.2,0.389,3.0,0.0,0.0,0.0,0.2,19.0,0.2,1.8,1.2,0.389,3.0,1.0,0.644,1.5,59.0,2.0,pachuza01,NBA,11.3,1.2,1.5,3.3,C,0.4,2003-04,0.6,2.9,ORL,0.389
2.2,0.453,4.8,0.0,0.0,0.0,0.8,20.0,0.5,3.3,2.2,0.452,4.8,1.9,0.746,2.5,74.0,4.0,pachuza01,NBA,18.9,1.8,2.2,6.2,C,0.6,2004-05,0.9,5.1,MIL,0.452
3.9,0.452,8.7,0.0,0.0,0.0,1.7,21.0,0.5,4.5,3.9,0.451,8.7,3.8,0.735,5.2,78.0,78.0,pachuza01,NBA,31.4,3.4,3.7,11.7,C,1.1,2005-06,2.3,7.9,ATL,0.451
4.0,0.475,8.5,0.0,0.0,0.0,1.5,22.0,0.5,4.2,4.0,0.474,8.5,4.1,0.7859999999999999,5.2,72.0,47.0,pachuza01,NBA,28.1,2.8,3.7,12.2,C,1.1,2006-07,2.3,6.9,ATL,0.474
1.7,0.442,3.9,0.0,0.0,0.0,0.6,23.0,0.2,2.6,1.7,0.4370000000000001,4.0,1.7,0.706,2.5,62.0,5.0,pachuza01,NBA,15.2,1.4,2.3,5.2,C,0.4,2007-08,1.1,4.0,ATL,0.4370000000000001
2.1,0.502,4.1,0.0,0.0,0.0,0.7,24.0,0.3,3.4,2.1,0.4970000000000001,4.2,2.1,0.7090000000000001,3.0,77.0,26.0,pachuza01,NBA,19.1,2.2,2.7,6.2,C,0.5,2008-09,1.2,5.7,ATL,0.4970000000000001
1.5,0.496,3.1,0.0,0.0,0.1,0.5,25.0,0.4,2.3,1.5,0.488,3.2,1.2,0.65,1.8,78.0,1.0,pachuza01,NBA,14.0,1.5,2.4,4.3,C,0.5,2009-10,0.7,3.8,ATL,0.488
1.4,0.461,2.9,0.0,0.0,0.0,0.7,26.0,0.3,2.7,1.4,0.461,2.9,1.7,0.754,2.3,79.0,7.0,pachuza01,NBA,15.7,1.5,2.3,4.4,C,0.4,2010-11,0.9,4.2,ATL,0.461
2.9,0.499,5.8,0.0,0.0,0.0,1.4,27.0,0.5,5.2,2.9,0.499,5.8,2.0,0.741,2.7,58.0,44.0,pachuza01,NBA,28.3,2.7,3.0,7.8,C,0.9,2011-12,1.4,7.9,ATL,0.499
2.2,0.479,4.6,0.0,0.0,0.1,1.5,28.0,0.2,3.9,2.2,0.473,4.6,1.5,0.757,2.0,52.0,15.0,pachuza01,NBA,21.8,2.5,2.5,5.9,C,0.7,2012-13,1.3,6.5,ATL,0.473
2.8,0.428,6.6,0.0,0.0,0.0,2.6,29.0,0.3,3.6,2.8,0.4270000000000001,6.6,2.1,0.846,2.5,53.0,43.0,pachuza01,NBA,25.0,2.7,2.3,7.7,C,0.8,2013-14,1.7,6.3,MIL,0.4270000000000001
3.3,0.456,7.2,0.0,0.0,0.0,2.4,30.0,0.3,4.2,3.3,0.454,7.2,1.7,0.7879999999999999,2.2,73.0,45.0,pachuza01,NBA,23.7,2.7,2.3,8.3,C,1.1,2014-15,1.8,6.8,MIL,0.454
2.9,0.469,6.1,0.0,0.0,0.0,1.7,31.0,0.3,6.2,2.9,0.466,6.2,2.8,0.768,3.6,76.0,69.0,pachuza01,NBA,26.4,3.3,2.4,8.6,C,0.8,2015-16,1.6,9.4,DAL,0.466
2.3,0.5379999999999999,4.4,0.0,0.0,0.0,1.9,32.0,0.5,3.9,2.3,0.534,4.4,1.4,0.778,1.8,70.0,70.0,pachuza01,NBA,18.1,2.0,2.4,6.1,C,0.8,2016-17,1.2,5.9,GSW,0.534
2.2,0.5670000000000001,3.8,0.0,0.0,0.0,1.6,33.0,0.2,3.4,2.2,0.564,3.8,1.1,0.8059999999999999,1.3,69.0,57.0,pachuza01,NBA,14.1,1.3,1.8,5.4,C,0.6,2017-18,1.0,4.7,GSW,0.564
1.6,0.439,3.6,0.0,0.0,0.1,1.9,22.0,0.1,0.9,1.6,0.423,3.8,1.4,0.8029999999999999,1.8,72.0,0.0,packro01,NBA,12.4,0.4,1.4,4.6,PG,0.6,1991-92,1.3,1.3,POR,0.423
3.7,0.475,7.8,0.0,0.125,0.1,4.4,23.0,0.1,1.4,3.7,0.47,7.9,3.1,0.768,4.0,77.0,1.0,packro01,NBA,20.5,0.7,2.4,10.5,PG,1.1,1992-93,2.4,2.1,DEN,0.471
3.3,0.458,7.2,0.1,0.207,0.4,5.4,24.0,0.1,1.5,3.4,0.443,7.6,2.7,0.758,3.6,66.0,4.0,packro01,NBA,20.9,0.4,2.2,9.6,PG,1.2,1993-94,3.1,1.9,DEN,0.449
3.3,0.433,7.7,0.7,0.417,1.7,6.9,25.0,0.1,2.2,4.0,0.43,9.4,3.3,0.7829999999999999,4.2,42.0,32.0,packro01,NBA,27.2,0.5,2.4,12.1,PG,1.5,1994-95,3.2,2.7,DEN,0.468
5.3,0.474,11.2,0.8,0.265,3.2,7.8,26.0,0.0,3.3,6.1,0.428,14.3,5.0,0.846,5.9,31.0,31.0,packro01,NBA,35.0,0.9,2.2,18.1,PG,2.0,1995-96,3.7,4.3,WSB,0.457
4.5,0.415,10.8,0.6,0.277,2.1,8.4,27.0,0.1,2.2,5.0,0.392,12.8,3.6,0.807,4.5,54.0,42.0,packro01,NBA,33.0,0.5,2.6,14.3,PG,1.7,1996-97,4.0,2.7,TOT,0.415
5.0,0.428,11.8,0.6,0.297,2.2,9.6,27.0,0.1,2.1,5.7,0.407,13.9,3.9,0.7879999999999999,5.0,34.0,31.0,packro01,NBA,34.9,0.4,2.4,15.9,PG,1.7,1996-97,4.4,2.5,NJN,0.43
3.5,0.387,9.1,0.5,0.237,1.9,6.4,27.0,0.2,2.4,4.0,0.361,11.0,3.1,0.8490000000000001,3.7,20.0,11.0,packro01,NBA,29.9,0.7,2.8,11.5,PG,1.8,1996-97,3.4,3.0,DAL,0.381
2.5,0.326,7.7,0.3,0.5,0.5,3.5,28.0,0.1,2.2,2.8,0.337,8.2,2.1,0.6940000000000001,3.0,12.0,10.0,packro01,NBA,24.3,0.7,1.4,7.8,PG,1.7,1997-98,3.2,2.8,DAL,0.35200000000000004
3.0,0.441,6.8,0.0,0.0,0.2,3.2,29.0,0.0,1.1,3.0,0.431,7.0,2.9,0.818,3.5,25.0,0.0,packro01,NBA,18.7,0.4,1.6,8.9,PG,0.8,1998-99,2.0,1.4,DAL,0.431
3.2,0.42,7.6,0.1,0.364,0.4,5.8,30.0,0.1,1.2,3.3,0.417,7.9,2.2,0.8079999999999999,2.7,29.0,22.0,packro01,NBA,22.9,0.2,1.5,8.9,PG,1.1,1999-00,2.6,1.4,DAL,0.426
2.3,0.428,5.3,0.2,0.387,0.4,4.0,31.0,0.0,1.4,2.4,0.425,5.8,1.4,0.7659999999999999,1.9,74.0,11.0,packro01,NBA,17.0,0.4,1.5,6.5,PG,0.9,2000-01,1.8,1.9,DEN,0.439
1.5,0.375,4.0,0.1,0.25,0.3,3.1,32.0,0.0,1.0,1.6,0.368,4.3,0.7,0.733,0.9,16.0,0.0,packro01,NBA,15.8,0.4,2.0,3.9,PG,0.8,2001-02,1.3,1.4,MIN,0.375
1.9,0.419,4.4,0.0,0.0,0.2,2.9,33.0,0.0,1.4,1.9,0.403,4.6,1.5,0.745,2.0,28.0,4.0,packro01,NBA,15.7,0.4,1.3,5.2,PG,0.9,2002-03,1.4,1.8,NOH,0.403
0.8,0.423,2.0,0.0,0.0,0.0,1.0,34.0,0.0,0.5,0.8,0.423,2.0,0.2,0.833,0.2,26.0,0.0,packro01,NBA,8.5,0.2,0.8,1.9,PG,0.5,2003-04,0.6,0.7,NJN,0.423
0.9,0.419,2.0,0.2,0.294,0.8,0.6,24.0,0.0,0.6,1.1,0.383,2.9,0.5,0.833,0.6,21.0,0.0,packwa01,ABA,9.0,0.3,1.0,2.9,PG,0.3,1974-75,0.6,1.0,INA,0.425
2.9,0.4270000000000001,6.9,0.1,0.25,0.3,1.3,25.0,0.1,1.1,3.0,0.419,7.2,1.1,0.7959999999999999,1.3,70.0,22.0,paddige01,NBA,16.9,0.5,1.0,7.2,SF,0.3,1990-91,1.0,1.7,CLE,0.425
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,paddige01,0,0.0,0.0,0.0,0.0,0,0.0,1991-92,0.0,0.0,Did Not PlayÂ (other pro leagueâCBA),0.0
1.7,0.457,3.7,0.0,0.25,0.2,0.8,27.0,0.1,0.8,1.7,0.447,3.9,0.3,0.667,0.5,41.0,3.0,paddige01,NBA,7.5,0.4,0.6,3.9,SF,0.3,1992-93,0.4,1.2,SEA,0.453
1.2,0.373,3.3,0.0,0.0,0.1,0.6,28.0,0.0,0.6,1.2,0.3670000000000001,3.3,0.5,0.563,0.9,18.0,1.0,paddige01,NBA,7.6,0.3,0.5,2.9,SF,0.2,1993-94,0.3,0.9,TOT,0.3670000000000001
1.3,0.391,3.3,0.0,0.0,0.0,0.6,28.0,0.0,0.7,1.3,0.391,3.3,0.1,0.5,0.3,7.0,1.0,paddige01,NBA,7.9,0.0,0.3,2.7,SF,0.1,1993-94,0.6,0.7,IND,0.391
0.7,0.4,1.7,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.7,0.4,1.7,0.0,0.0,0.0,3.0,0.0,paddige01,NBA,2.7,0.0,1.0,1.3,SF,0.0,1993-94,0.0,0.0,NYK,0.4
1.4,0.355,3.9,0.0,0.0,0.1,0.9,28.0,0.0,0.8,1.4,0.344,4.0,1.0,0.5710000000000001,1.8,8.0,0.0,paddige01,NBA,9.3,0.6,0.5,3.8,SF,0.4,1993-94,0.3,1.4,WSB,0.344
0.7,0.32299999999999995,2.0,0.3,0.295,0.9,0.5,23.0,0.2,1.4,0.9,0.314,3.0,0.4,0.7040000000000001,0.6,47.0,9.0,padgesc01,NBA,9.2,0.5,1.2,2.6,PF,0.3,1999-00,0.5,1.9,UTA,0.361
0.5,0.382,1.3,0.2,0.556,0.3,0.2,24.0,0.1,0.7,0.7,0.419,1.6,0.6,0.75,0.7,27.0,0.0,padgesc01,NBA,4.7,0.7,0.8,2.1,PF,0.2,2000-01,0.4,1.4,UTA,0.477
1.9,0.493,3.8,0.7,0.434,1.5,1.1,25.0,0.2,2.3,2.5,0.476,5.3,1.0,0.735,1.4,75.0,1.0,padgesc01,NBA,17.3,1.5,1.9,6.7,PF,0.6,2001-02,0.9,3.8,UTA,0.5379999999999999
1.5,0.431,3.5,0.5,0.338,1.6,1.0,26.0,0.3,2.3,2.1,0.402,5.2,1.0,0.757,1.3,82.0,2.0,padgesc01,NBA,16.1,1.0,1.8,5.7,PF,0.5,2002-03,0.9,3.3,UTA,0.455
0.8,0.451,1.8,0.5,0.431,1.1,0.4,27.0,0.2,1.6,1.3,0.443,2.9,0.4,0.75,0.6,58.0,5.0,padgesc01,NBA,9.4,0.8,1.3,3.4,PF,0.2,2003-04,0.4,2.4,HOU,0.527
0.7,0.449,1.6,0.8,0.397,1.9,0.8,28.0,0.2,2.1,1.5,0.421,3.5,0.4,0.725,0.6,66.0,0.0,padgesc01,NBA,14.3,0.7,1.8,4.2,PF,0.5,2004-05,0.5,2.8,HOU,0.528
0.5,0.363,1.3,0.7,0.34700000000000003,2.0,0.7,29.0,0.2,1.8,1.1,0.353,3.2,0.4,0.794,0.5,62.0,1.0,padgesc01,NBA,11.6,0.9,1.5,3.4,PF,0.5,2005-06,0.3,2.7,NJN,0.458
0.3,0.348,0.7,0.3,0.242,1.1,0.3,30.0,0.1,1.2,0.5,0.28600000000000003,1.8,0.2,0.462,0.4,31.0,0.0,padgesc01,NBA,7.5,0.5,1.1,1.5,PF,0.2,2006-07,0.3,1.7,TOT,0.35700000000000004
0.3,0.35,0.8,0.3,0.276,1.2,0.3,30.0,0.1,1.4,0.6,0.306,2.0,0.3,0.545,0.5,24.0,0.0,padgesc01,NBA,8.3,0.5,1.4,1.8,PF,0.2,2006-07,0.3,1.9,HOU,0.388
