,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0,2.4,0.5660000000000001,4.2,0.0,0.0,0.0,0.9,20.0,0.4,2.9,2.4,0.5660000000000001,4.2,0.8,0.8059999999999999,1.0,36.0,5.0,rabbiv01,NBA,14.3,1.5,1.5,5.6,PF,0.3,2017-18,1.0,4.4,MEM,0.5660000000000001
0,2.9,0.449,6.4,0.0,0.0,0.0,0.8,23.0,0.0,0.0,2.9,0.449,6.4,1.9,0.636,3.0,66.0,0.0,rackllu01,NBA,19.0,0.0,3.1,7.6,C,0.0,1969-70,0.0,5.7,CIN,0.449
1,3.0,0.466,6.4,0.0,0.0,0.0,0.9,24.0,0.0,0.0,3.0,0.466,6.4,1.6,0.637,2.6,74.0,0.0,rackllu01,NBA,19.4,0.0,2.5,7.6,C,0.0,1970-71,0.0,5.3,CLE,0.466
2,1.5,0.429,3.4,0.0,0.0,0.0,0.3,25.0,0.0,0.0,1.5,0.429,3.4,0.7,0.568,1.2,71.0,0.0,rackllu01,NBA,9.6,0.0,1.5,3.6,C,0.0,1971-72,0.0,2.9,TOT,0.429
3,1.2,0.44,2.8,0.0,0.0,0.0,0.3,25.0,0.0,0.0,1.2,0.44,2.8,0.1,0.25,0.4,9.0,0.0,rackllu01,NBA,7.2,0.0,0.3,2.6,C,0.0,1971-72,0.0,2.3,CLE,0.44
4,1.5,0.428,3.5,0.0,0.0,0.0,0.3,25.0,0.0,0.0,1.5,0.428,3.5,0.8,0.583,1.4,62.0,0.0,rackllu01,NBA,10.0,0.0,1.7,3.8,C,0.0,1971-72,0.0,3.0,NYK,0.428
5,2.9,0.496,5.9,0.0,0.0,0.0,0.6,26.0,0.0,3.4,2.9,0.494,5.9,1.3,0.65,2.1,58.0,0.0,rackllu01,TOT,15.4,1.6,2.3,7.2,C,0.0,1972-73,0.9,5.0,TOT,0.494
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,rackllu01,NBA,2.0,0.0,2.0,0.0,C,0.0,1972-73,0.0,1.0,NYK,0.0
7,3.0,0.496,6.0,0.0,0.0,0.0,0.6,26.0,0.0,3.5,3.0,0.494,6.0,1.4,0.65,2.1,57.0,0.0,rackllu01,ABA,15.7,1.6,2.3,7.3,C,0.0,1972-73,0.9,5.0,MMT,0.494
8,0.6,0.385,1.4,0.0,0.0,0.0,0.0,27.0,0.4,1.9,0.6,0.385,1.4,0.9,0.727,1.2,9.0,0.0,rackllu01,NBA,7.6,0.6,1.2,2.0,C,0.3,1973-74,0.0,2.4,PHI,0.385
0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,27.0,0.0,0.0,0.5,0.156,3.5,0.2,0.3,0.8,13.0,0.0,raderho01,BAA,0.0,0.0,1.9,1.3,0,0.0,1948-49,0.0,0.0,BLB,0.0
0,1.2,0.536,2.3,0.0,0.667,0.1,1.3,22.0,0.0,0.4,1.3,0.54,2.3,0.8,0.507,1.6,43.0,0.0,radfoma01,NBA,8.6,0.3,1.5,3.4,SG,0.4,1981-82,1.0,0.7,SEA,0.55
1,1.5,0.519,2.9,0.1,0.222,0.3,1.9,23.0,0.1,0.6,1.6,0.488,3.2,0.6,0.41100000000000003,1.4,54.0,2.0,radfoma01,NBA,8.1,0.2,1.4,3.7,SG,0.6,1982-83,1.4,0.9,SEA,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,22.0,0.0,0.8,1.6,0.474,3.4,0.7,0.8,0.9,52.0,0.0,radfowa01,NBA,12.5,0.5,1.2,3.9,SG,0.6,1978-79,0.9,1.3,IND,0.0
0,6.1,0.522,11.8,0.0,0.0,0.0,1.4,26.0,0.8,4.8,6.1,0.521,11.8,2.8,0.7509999999999999,3.8,80.0,47.0,radjadi01,NBA,28.8,2.4,3.5,15.1,PF,0.9,1993-94,1.9,7.2,BOS,0.521
1,6.8,0.49,13.9,0.0,0.0,0.0,1.7,27.0,1.3,6.4,6.8,0.49,13.9,3.5,0.759,4.7,66.0,48.0,radjadi01,NBA,32.5,2.3,3.5,17.2,PF,0.9,1994-95,2.4,8.7,BOS,0.49
2,8.0,0.5,16.1,0.0,0.0,0.0,1.6,28.0,1.5,7.7,8.0,0.5,16.1,3.6,0.695,5.2,53.0,52.0,radjadi01,NBA,37.4,2.1,3.0,19.7,PF,0.9,1995-96,2.2,9.8,BOS,0.5
3,6.0,0.441,13.5,0.0,0.0,0.0,1.9,29.0,1.9,6.7,6.0,0.44,13.6,2.0,0.718,2.8,25.0,25.0,radjadi01,NBA,35.0,1.8,3.0,14.0,C,0.9,1996-97,2.8,8.4,BOS,0.44
0,1.3,0.406,3.2,1.1,0.42,2.6,1.3,21.0,0.4,3.0,2.4,0.41200000000000003,5.8,0.8,0.6809999999999999,1.2,61.0,16.0,radmavl01,NBA,20.2,0.7,2.0,6.7,PF,0.9,2001-02,1.2,3.8,SEA,0.506
1,2.4,0.45299999999999996,5.2,1.4,0.355,4.1,1.3,22.0,0.3,3.4,3.8,0.41,9.3,1.0,0.706,1.4,72.0,16.0,radmavl01,NBA,26.5,1.1,1.9,10.1,PF,0.9,2002-03,1.4,4.5,SEA,0.488
2,2.7,0.47100000000000003,5.6,1.8,0.371,4.9,1.8,23.0,0.5,3.9,4.5,0.425,10.5,1.2,0.748,1.6,77.0,38.0,radmavl01,NBA,30.1,1.4,2.4,12.0,PF,1.0,2003-04,1.4,5.3,SEA,0.511
3,2.2,0.43,5.1,2.0,0.389,5.2,1.4,24.0,0.5,3.8,4.2,0.409,10.3,1.3,0.7859999999999999,1.6,63.0,0.0,radmavl01,NBA,29.5,0.8,2.7,11.8,PF,0.9,2004-05,1.3,4.6,SEA,0.508
