2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
4.9,0.574,8.5,0.5,0.375,1.4,1.8,31.0,1.1,6.0,5.4,0.545,9.9,3.2,0.757,4.2,73.0,21.0,sabonar01,NBA,23.8,2.0,2.9,14.5,C,0.9,1995-96,2.1,8.1,POR,0.5720000000000001
4.0,0.53,7.6,0.7,0.371,1.9,2.1,32.0,1.2,6.3,4.8,0.498,9.5,3.2,0.777,4.2,69.0,68.0,sabonar01,NBA,25.5,1.7,2.9,13.4,C,0.9,1996-97,2.2,7.9,POR,0.536
5.2,0.53,9.7,0.4,0.261,1.6,3.0,33.0,1.1,7.9,5.6,0.493,11.3,4.4,0.7979999999999999,5.5,73.0,73.0,sabonar01,NBA,32.0,2.0,3.7,16.0,C,0.9,1997-98,2.6,10.0,POR,0.511
4.5,0.496,9.1,0.1,0.292,0.5,2.4,34.0,1.3,6.1,4.6,0.485,9.6,2.7,0.7709999999999999,3.5,50.0,48.0,sabonar01,NBA,27.0,1.8,2.9,12.1,C,0.7,1998-99,1.7,7.9,POR,0.493
4.5,0.509,8.8,0.1,0.368,0.3,1.8,35.0,1.2,6.3,4.6,0.505,9.1,2.5,0.843,3.0,66.0,61.0,sabonar01,NBA,25.6,1.5,2.8,11.8,C,0.7,1999-00,1.5,7.8,POR,0.511
4.0,0.491,8.2,0.0,0.067,0.2,1.5,36.0,1.0,4.6,4.0,0.479,8.5,2.0,0.7759999999999999,2.6,61.0,42.0,sabonar01,NBA,21.3,0.8,2.2,10.1,C,0.7,2000-01,1.4,5.4,POR,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sabonar01,0,0.0,0.0,0.0,0.0,0,0.0,2001-02,0.0,0.0,Did Not PlayÂ (retired),0.0
2.2,0.476,4.6,0.0,0.5,0.1,1.8,38.0,0.6,3.2,2.2,0.476,4.6,1.7,0.787,2.1,78.0,1.0,sabonar01,NBA,15.5,1.1,1.8,6.1,C,0.8,2002-03,1.0,4.3,POR,0.481
1.7,0.438,4.0,0.6,0.321,2.0,1.0,20.0,0.4,3.0,2.4,0.399,5.9,0.5,0.657,0.8,81.0,66.0,sabondo01,NBA,20.1,0.6,2.5,5.9,PF,0.5,2016-17,1.0,3.6,OKC,0.452
4.4,0.524,8.4,0.2,0.35100000000000003,0.5,2.0,21.0,0.4,5.5,4.6,0.514,8.9,2.3,0.75,3.0,74.0,19.0,sabondo01,NBA,24.5,2.2,3.0,11.6,C,0.5,2017-18,1.9,7.7,IND,0.524
0.6,0.375,1.5,0.0,0.0,0.0,0.2,23.0,0.3,0.8,0.6,0.375,1.5,0.2,0.636,0.3,32.0,3.0,sacrero01,NBA,6.3,0.3,1.2,1.3,C,0.0,2012-13,0.3,1.1,LAL,0.375
