,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0,0.6,0.462,1.4,0.0,0.0,0.0,0.1,24.0,0.2,0.9,0.6,0.45299999999999996,1.4,0.7,0.614,1.2,37.0,0.0,tabakza01,NBA,4.9,0.6,1.0,2.0,C,0.1,1994-95,0.5,1.5,HOU,0.45299999999999996
1,3.4,0.545,6.2,0.0,0.0,0.0,0.9,25.0,0.5,3.0,3.4,0.5429999999999999,6.2,1.0,0.561,1.7,67.0,18.0,tabakza01,NBA,19.9,1.7,3.0,7.7,C,0.4,1995-96,1.5,4.8,TOR,0.5429999999999999
2,2.5,0.451,5.5,0.0,0.0,0.0,1.1,26.0,0.8,2.2,2.5,0.451,5.5,1.5,0.69,2.2,13.0,4.0,tabakza01,NBA,16.8,1.5,2.7,6.5,C,0.5,1996-97,1.6,3.8,TOR,0.451
3,2.5,0.469,5.3,0.0,0.0,0.0,0.8,27.0,0.7,2.2,2.5,0.467,5.3,0.4,0.377,1.1,57.0,34.0,tabakza01,NBA,17.3,1.5,2.9,5.4,C,0.4,1997-98,1.1,3.7,TOT,0.467
4,3.0,0.46799999999999997,6.4,0.0,0.0,0.0,0.9,27.0,0.7,2.4,3.0,0.466,6.4,0.4,0.33299999999999996,1.2,39.0,29.0,tabakza01,NBA,19.3,1.5,3.0,6.4,C,0.4,1997-98,1.1,3.9,TOR,0.466
5,1.4,0.473,3.1,0.0,0.0,0.0,0.7,27.0,0.6,1.8,1.4,0.473,3.1,0.4,0.5379999999999999,0.7,18.0,5.0,tabakza01,NBA,12.9,1.4,2.6,3.3,C,0.3,1997-98,0.9,3.2,BOS,0.473
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tabakza01,0,0.0,0.0,0.0,0.0,0,0.0,1998-99,0.0,0.0,Did Not Play (other pro league—Turkey),0.0
7,0.9,0.47100000000000003,1.9,0.0,0.0,0.0,0.2,29.0,0.5,0.9,0.9,0.47100000000000003,1.9,0.3,0.625,0.4,18.0,0.0,tabakza01,NBA,6.3,0.9,0.7,2.1,C,0.2,1999-00,0.6,1.8,IND,0.47100000000000003
8,1.8,0.527,3.4,0.0,0.0,0.0,0.6,30.0,0.5,2.7,1.8,0.527,3.4,0.4,0.426,0.9,55.0,14.0,tabakza01,NBA,14.1,1.2,2.3,3.9,C,0.2,2000-01,1.0,3.9,IND,0.527
0,0.0,0.0,1.3,0.3,1.0,0.3,0.8,24.0,0.0,0.5,0.3,0.16699999999999998,1.5,1.0,1.0,1.0,4.0,0.0,tabusyu01,NBA,4.3,0.5,0.3,1.8,PG,0.0,2004-05,0.3,1.0,PHO,0.25
0,1.4,0.605,2.2,0.0,0.0,0.0,0.1,20.0,0.4,1.0,1.4,0.605,2.2,0.1,0.16699999999999998,0.4,17.0,0.0,taftch01,NBA,8.5,1.1,1.5,2.8,C,0.1,2005-06,0.1,2.1,GSW,0.605
0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,22.0,0.0,0.0,3.8,0.25,15.0,2.6,0.838,3.1,24.0,0.0,tanensi01,BAA,0.0,0.0,1.4,10.1,0,0.0,1947-48,0.0,0.0,NYK,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,2.7,23.0,0.0,0.0,3.2,0.29100000000000004,10.9,2.2,0.825,2.6,46.0,0.0,tanensi01,BAA,0.0,0.0,1.6,8.5,0,0.0,1948-49,0.0,0.0,TOT,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,23.0,0.0,0.0,3.0,0.28300000000000003,10.6,2.0,0.8440000000000001,2.4,32.0,0.0,tanensi01,BAA,0.0,0.0,1.7,8.0,0,0.0,1948-49,0.0,0.0,NYK,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,3.9,23.0,0.0,0.0,3.6,0.309,11.6,2.4,0.7909999999999999,3.1,14.0,0.0,tanensi01,BAA,0.0,0.0,1.5,9.6,0,0.0,1948-49,0.0,0.0,BLB,0.0
0,0.9,0.39399999999999996,2.3,0.0,0.0,0.0,0.7,27.0,0.4,2.0,0.9,0.39399999999999996,2.3,0.6,0.758,0.8,43.0,12.0,tarladr01,NBA,13.9,0.9,2.2,2.4,C,0.2,2000-01,0.9,2.8,CHI,0.39399999999999996
0,3.1,0.46799999999999997,6.6,0.0,0.33299999999999996,0.0,0.7,22.0,1.1,4.7,3.1,0.467,6.7,1.3,0.6759999999999999,1.9,75.0,1.0,tarplro01,NBA,18.7,2.4,3.1,7.5,PF,0.7,1986-87,1.3,7.1,DAL,0.46799999999999997
1,5.5,0.503,10.9,0.0,0.0,0.1,1.1,23.0,1.1,7.4,5.5,0.5,11.0,2.5,0.74,3.4,81.0,9.0,tarplro01,NBA,28.5,4.4,3.9,13.5,PF,1.3,1987-88,2.1,11.8,DAL,0.5
2,6.9,0.544,12.7,0.0,0.0,0.1,0.9,24.0,1.6,7.4,6.9,0.541,12.7,3.5,0.688,5.1,19.0,6.0,tarplro01,NBA,31.1,4.1,3.7,17.3,PF,1.5,1988-89,2.4,11.5,DAL,0.541
3,7.0,0.455,15.3,0.0,0.0,0.1,1.5,25.0,1.6,8.9,7.0,0.451,15.5,2.9,0.7559999999999999,3.8,45.0,35.0,tarplro01,NBA,36.6,4.2,3.6,16.8,PF,1.8,1989-90,2.6,13.1,DAL,0.451
4,8.6,0.551,15.6,0.0,0.0,0.2,2.4,26.0,1.8,7.8,8.6,0.544,15.8,3.2,0.889,3.6,5.0,5.0,tarplro01,NBA,34.2,3.2,4.0,20.4,C,1.2,1990-91,2.6,11.0,DAL,0.544
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tarplro01,0,0.0,0.0,0.0,0.0,0,0.0,1991-92,0.0,0.0,Did Not Play (suspended—substance abuse),0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tarplro01,0,0.0,0.0,0.0,0.0,0,0.0,1992-93,0.0,0.0,Did Not Play (suspended—substance abuse),0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tarplro01,0,0.0,0.0,0.0,0.0,0,0.0,1993-94,0.0,0.0,Did Not Play (suspended—substance abuse),0.0
8,5.2,0.485,10.8,0.1,0.278,0.3,1.1,30.0,1.0,5.6,5.3,0.479,11.1,1.9,0.836,2.2,55.0,1.0,tarplro01,NBA,24.6,2.6,2.8,12.6,C,0.8,1994-95,2.0,8.2,DAL,0.483
0,8.7,0.426,20.3,0.0,0.067,0.2,3.4,25.0,0.0,0.0,8.7,0.42200000000000004,20.5,6.2,0.797,7.8,73.0,0.0,tartle01,ABA,39.1,0.0,2.9,23.5,SG,0.0,1967-68,3.8,5.4,TOT,0.42200000000000004
1,10.0,0.433,23.1,0.0,0.083,0.3,3.5,25.0,0.0,0.0,10.0,0.428,23.4,6.8,0.779,8.7,42.0,0.0,tartle01,ABA,42.1,0.0,2.9,26.9,SG,0.0,1967-68,4.6,6.5,OAK,0.429
2,6.8,0.41200000000000003,16.6,0.0,0.0,0.1,3.3,25.0,0.0,0.0,6.8,0.41,16.7,5.3,0.8290000000000001,6.4,31.0,0.0,tartle01,ABA,35.0,0.0,2.9,19.0,SG,0.0,1967-68,2.6,3.9,NJA,0.41
3,4.5,0.424,10.6,0.0,0.0,0.0,2.3,26.0,0.0,1.6,4.5,0.42200000000000004,10.6,3.2,0.757,4.2,61.0,0.0,tartle01,ABA,23.0,1.6,2.3,12.1,SG,0.0,1968-69,2.4,3.2,TOT,0.42200000000000004
4,5.4,0.446,12.2,0.0,0.0,0.0,2.5,26.0,0.0,1.7,5.4,0.445,12.2,3.8,0.782,4.9,35.0,0.0,tartle01,ABA,26.3,1.9,2.4,14.7,SG,0.0,1968-69,2.5,3.7,NYA,0.445
5,4.7,0.444,10.5,0.0,0.0,0.0,2.0,26.0,0.0,1.5,4.7,0.444,10.5,3.0,0.621,4.8,6.0,0.0,tartle01,ABA,23.0,1.2,2.7,12.3,SG,0.0,1968-69,3.2,2.7,HSM,0.444
6,2.8,0.35700000000000004,7.9,0.0,0.0,0.1,2.2,26.0,0.0,1.3,2.8,0.35200000000000004,8.0,2.1,0.75,2.8,20.0,0.0,tartle01,ABA,17.3,1.3,2.0,7.7,SG,0.0,1968-69,2.1,2.6,DNR,0.35200000000000004
