2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
1.0,0.308,3.3,0.3,0.2,1.3,0.3,25.0,0.3,2.0,1.3,0.278,4.5,0.8,1.0,0.8,4.0,0.0,ubileed01,NBA,13.0,0.5,0.3,3.5,SF,0.3,2011-12,0.3,2.5,WAS,0.306
1.7,0.4370000000000001,3.8,0.0,0.0,0.0,0.7,23.0,1.5,1.7,1.7,0.4370000000000001,3.8,0.7,0.6559999999999999,1.1,58.0,18.0,udohek01,NBA,17.8,1.4,2.5,4.1,C,0.4,2010-11,0.8,3.1,GSW,0.4370000000000001
2.1,0.433,4.8,0.0,0.0,0.0,0.9,24.0,1.7,2.5,2.1,0.431,4.8,1.4,0.754,1.9,61.0,11.0,udohek01,NBA,21.1,1.6,2.9,5.6,C,0.7,2011-12,0.9,4.2,TOT,0.431
2.2,0.443,4.9,0.0,0.0,0.0,0.8,24.0,1.7,2.3,2.2,0.443,4.9,1.2,0.7190000000000001,1.7,38.0,6.0,udohek01,NBA,21.8,1.5,3.0,5.5,C,0.7,2011-12,0.9,3.9,GSW,0.443
2.0,0.417,4.7,0.0,0.0,0.1,1.1,24.0,1.6,2.8,2.0,0.409,4.8,1.7,0.8,2.2,23.0,5.0,udohek01,NBA,20.1,1.8,2.6,5.7,C,0.7,2011-12,0.8,4.7,MIL,0.409
1.5,0.4370000000000001,3.5,0.0,0.0,0.0,0.6,25.0,1.1,1.8,1.5,0.435,3.5,1.2,0.748,1.6,76.0,9.0,udohek01,NBA,17.3,1.5,1.8,4.3,C,0.5,2012-13,0.6,3.3,MIL,0.435
1.4,0.399,3.4,0.0,0.0,0.0,0.7,26.0,1.0,2.1,1.4,0.399,3.4,0.7,0.638,1.1,42.0,14.0,udohek01,NBA,19.1,1.5,2.3,3.4,PF,0.4,2013-14,0.9,3.5,MIL,0.399
0.3,0.458,0.7,0.0,0.0,0.0,0.2,27.0,0.2,0.6,0.3,0.458,0.7,0.2,0.778,0.3,33.0,0.0,udohek01,NBA,3.9,0.2,0.6,0.9,PF,0.2,2014-15,0.2,0.8,LAC,0.458
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,udohek01,0,0.0,0.0,0.0,0.0,0,0.0,2015-16,0.0,0.0,Did Not Play,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,udohek01,0,0.0,0.0,0.0,0.0,0,0.0,2016-17,0.0,0.0,Did Not Play,0.0
1.0,0.504,1.9,0.0,0.0,0.0,0.8,30.0,1.2,1.3,1.0,0.5,1.9,0.7,0.75,0.9,63.0,3.0,udohek01,NBA,12.9,1.1,1.7,2.6,C,0.7,2017-18,0.3,2.4,UTA,0.5
0.8,0.375,2.0,0.0,0.0,0.3,0.5,26.0,0.3,1.0,0.8,0.333,2.3,0.5,0.5,1.0,4.0,0.0,udokaim01,NBA,7.0,0.3,0.8,2.0,SF,0.5,2003-04,0.8,1.3,LAL,0.333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,udokaim01,0,0.0,0.0,0.0,0.0,0,0.0,2004-05,0.0,0.0,"Did Not PlayÂ (other pro leagueâFrance, Spain)",0.0
1.0,0.381,2.6,0.1,0.333,0.4,0.8,28.0,0.0,1.8,1.1,0.375,3.0,0.4,0.5,0.8,8.0,0.0,udokaim01,NBA,14.3,0.4,1.0,2.8,SF,0.1,2005-06,0.3,2.1,NYK,0.396
2.0,0.502,3.9,1.2,0.406,2.9,1.5,29.0,0.2,2.5,3.2,0.461,6.9,0.9,0.742,1.2,75.0,75.0,udokaim01,NBA,28.6,1.3,2.8,8.4,SF,0.9,2006-07,1.0,3.7,POR,0.5479999999999999
1.3,0.467,2.9,0.8,0.37,2.3,0.9,30.0,0.2,2.6,2.2,0.424,5.1,0.6,0.759,0.8,73.0,0.0,udokaim01,NBA,18.0,0.5,1.7,5.8,PF,0.8,2007-08,0.8,3.1,SAS,0.505
1.0,0.426,2.4,0.6,0.328,1.9,0.8,31.0,0.2,2.4,1.6,0.383,4.3,0.4,0.609,0.7,67.0,3.0,udokaim01,NBA,15.4,0.4,1.3,4.3,SF,0.5,2008-09,0.6,2.8,SAS,0.455
