,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0,5.8,0.47700000000000004,12.2,0.3,0.302,0.9,4.5,22.0,0.6,2.7,6.1,0.465,13.1,3.8,0.747,5.1,61.0,56.0,wadedw01,NBA,34.9,1.4,2.3,16.2,PG,1.4,2003-04,3.2,4.0,MIA,0.475
1,8.0,0.485,16.5,0.2,0.289,0.6,6.8,23.0,1.1,3.7,8.2,0.478,17.1,7.5,0.762,9.9,77.0,77.0,wadedw01,NBA,38.6,1.4,3.0,24.1,SG,1.6,2004-05,4.2,5.2,MIA,0.483
2,9.1,0.513,17.8,0.2,0.171,1.0,6.7,24.0,0.8,4.3,9.3,0.495,18.8,8.4,0.7829999999999999,10.7,75.0,75.0,wadedw01,NBA,38.6,1.4,2.9,27.2,SG,1.9,2005-06,3.6,5.7,MIA,0.499
3,8.8,0.511,17.3,0.4,0.266,1.5,7.5,25.0,1.2,3.7,9.3,0.491,18.9,8.5,0.807,10.5,51.0,50.0,wadedw01,NBA,37.9,1.0,2.3,27.4,SG,2.1,2006-07,4.2,4.7,MIA,0.502
4,8.2,0.485,16.9,0.4,0.28600000000000003,1.5,6.9,26.0,0.7,3.3,8.6,0.469,18.4,6.9,0.758,9.2,51.0,49.0,wadedw01,NBA,38.3,0.9,2.7,24.6,SG,1.7,2007-08,4.4,4.2,MIA,0.48
5,9.7,0.524,18.5,1.1,0.317,3.5,7.5,27.0,1.3,3.9,10.8,0.491,22.0,7.5,0.765,9.8,79.0,79.0,wadedw01,NBA,38.6,1.1,2.3,30.2,SG,2.2,2008-09,3.4,5.0,MIA,0.516
6,8.4,0.509,16.5,0.9,0.3,3.2,6.5,28.0,1.1,3.5,9.3,0.47600000000000003,19.6,6.9,0.7609999999999999,9.1,77.0,77.0,wadedw01,NBA,36.3,1.4,2.4,26.6,SG,1.8,2009-10,3.3,4.8,MIA,0.5
7,8.3,0.534,15.5,0.8,0.306,2.7,4.6,29.0,1.1,4.8,9.1,0.5,18.2,6.5,0.758,8.6,76.0,76.0,wadedw01,NBA,37.1,1.6,2.6,25.5,SG,1.5,2010-11,3.1,6.4,MIA,0.523
8,8.2,0.513,15.9,0.3,0.268,1.1,4.6,30.0,1.3,3.3,8.5,0.49700000000000005,17.1,4.8,0.7909999999999999,6.1,49.0,49.0,wadedw01,NBA,33.2,1.5,2.2,22.1,SG,1.7,2011-12,2.6,4.8,MIA,0.506
9,8.0,0.537,14.9,0.2,0.258,1.0,5.1,31.0,0.8,3.7,8.2,0.521,15.8,4.5,0.725,6.2,69.0,69.0,wadedw01,NBA,34.7,1.2,2.0,21.2,SG,1.9,2012-13,2.8,5.0,MIA,0.528
10,7.5,0.557,13.5,0.2,0.281,0.6,4.7,32.0,0.5,3.4,7.7,0.545,14.1,3.5,0.733,4.8,54.0,53.0,wadedw01,NBA,32.9,1.1,2.0,19.0,SG,1.5,2013-14,3.0,4.5,MIA,0.551
11,7.7,0.489,15.8,0.5,0.284,1.6,4.8,33.0,0.3,2.6,8.2,0.47,17.5,4.6,0.768,6.0,62.0,62.0,wadedw01,NBA,31.8,0.9,1.7,21.5,SG,1.2,2014-15,3.4,3.5,MIA,0.483
12,7.2,0.46799999999999997,15.4,0.1,0.159,0.6,4.6,34.0,0.6,3.0,7.3,0.456,16.0,4.4,0.7929999999999999,5.5,74.0,73.0,wadedw01,NBA,30.5,1.1,1.6,19.0,SG,1.1,2015-16,2.7,4.1,MIA,0.45899999999999996
13,6.2,0.456,13.5,0.8,0.31,2.4,3.8,35.0,0.7,3.5,6.9,0.434,15.9,3.7,0.794,4.7,60.0,59.0,wadedw01,NBA,29.9,1.1,1.9,18.3,SG,1.4,2016-17,2.3,4.5,CHI,0.457
14,4.0,0.46799999999999997,8.5,0.5,0.28800000000000003,1.7,3.4,36.0,0.7,3.0,4.5,0.43799999999999994,10.2,2.0,0.7140000000000001,2.8,67.0,3.0,wadedw01,NBA,22.9,0.7,1.9,11.4,SG,0.9,2017-18,2.1,3.8,TOT,0.462
15,3.8,0.479,7.9,0.5,0.32899999999999996,1.5,3.5,36.0,0.7,3.1,4.3,0.455,9.5,2.0,0.701,2.9,46.0,3.0,wadedw01,NBA,23.2,0.8,1.8,11.2,SG,0.9,2017-18,2.0,3.9,CLE,0.48200000000000004
16,4.4,0.447,9.8,0.4,0.22,2.0,3.1,36.0,0.7,2.9,4.8,0.409,11.8,2.0,0.745,2.6,21.0,0.0,wadedw01,NBA,22.2,0.5,1.9,12.0,SG,0.9,2017-18,2.3,3.4,MIA,0.42700000000000005
0,0.3,0.16699999999999998,1.6,0.0,0.0,0.2,3.1,22.0,0.1,1.1,0.3,0.15,1.8,0.2,0.5,0.4,11.0,0.0,wadema01,NBA,11.2,0.3,1.2,0.7,PG,0.6,1987-88,1.2,1.4,GSW,0.15
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wadema01,0,0.0,0.0,0.0,0.0,0,0.0,1988-89,0.0,0.0,Did Not Play (other pro league—CBA),0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,wadema01,NBA,3.0,0.0,0.0,0.0,PG,0.0,1989-90,0.0,0.0,DAL,0.0
0,0.3,0.19,1.3,0.1,0.11800000000000001,1.1,0.3,20.0,0.0,0.2,0.4,0.158,2.4,0.4,0.75,0.5,16.0,0.0,wafervo01,NBA,4.6,0.3,0.8,1.3,SG,0.2,2005-06,0.1,0.5,LAL,0.184
1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,wafervo01,NBA,1.0,0.0,0.0,0.0,SF,0.0,2006-07,0.0,0.0,LAC,0.0
2,0.4,0.371,1.2,0.1,0.154,0.9,0.2,22.0,0.1,0.6,0.6,0.27899999999999997,2.1,0.3,0.667,0.4,29.0,0.0,wafervo01,NBA,5.3,0.0,0.2,1.6,SG,0.1,2007-08,0.4,0.7,TOT,0.311
3,0.4,0.391,1.1,0.0,0.067,0.7,0.2,22.0,0.0,0.4,0.5,0.263,1.8,0.3,0.75,0.4,21.0,0.0,wafervo01,NBA,4.3,0.0,0.2,1.3,SG,0.1,2007-08,0.5,0.5,DEN,0.276
4,0.5,0.33299999999999996,1.5,0.4,0.273,1.4,0.3,22.0,0.3,1.1,0.9,0.304,2.9,0.3,0.5,0.5,8.0,0.0,wafervo01,NBA,8.0,0.0,0.4,2.4,SG,0.0,2007-08,0.3,1.1,POR,0.37
5,2.6,0.474,5.5,1.0,0.39,2.6,1.1,23.0,0.1,1.5,3.6,0.447,8.1,1.4,0.752,1.9,63.0,11.0,wafervo01,NBA,19.4,0.3,1.1,9.7,SG,0.6,2008-09,0.9,1.8,HOU,0.51
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wafervo01,0,0.0,0.0,0.0,0.0,0,0.0,2009-10,0.0,0.0,Did Not Play (other pro league—Greece),0.0
7,0.8,0.5329999999999999,1.6,0.3,0.26899999999999996,1.2,0.6,25.0,0.1,0.7,1.2,0.42100000000000004,2.7,0.6,0.8420000000000001,0.7,58.0,2.0,wafervo01,NBA,9.5,0.1,0.7,3.2,SG,0.3,2010-11,0.3,0.8,BOS,0.478
8,1.7,0.483,3.6,0.4,0.359,1.2,0.9,26.0,0.1,1.2,2.2,0.452,4.8,1.2,0.7040000000000001,1.6,33.0,1.0,wafervo01,NBA,14.2,0.2,0.8,5.9,SG,0.3,2011-12,1.1,1.4,ORL,0.49700000000000005
