2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0.4,0.583,0.7,0.4,0.324,1.1,0.5,22.0,0.2,1.1,0.8,0.426,1.8,0.5,0.682,0.7,33.0,4.0,yabusgu01,NBA,7.1,0.5,0.7,2.4,PF,0.1,2017-18,0.4,1.6,BOS,0.525
2.5,0.42,5.9,0.4,0.269,1.3,2.2,21.0,0.6,2.1,2.8,0.393,7.3,0.8,0.79,1.1,59.0,39.0,yarbrvi01,NBA,23.4,0.6,2.5,6.9,SG,1.0,2002-03,1.4,2.7,DEN,0.417
0.0,0.0,0.0,0.0,0.0,0.0,1.6,25.0,0.0,0.0,3.3,0.425,7.8,2.3,0.7120000000000001,3.3,63.0,0.0,yardlge01,NBA,23.6,0.0,2.6,9.0,SF,0.0,1953-54,0.0,6.5,FTW,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.1,26.0,0.0,0.0,6.1,0.418,14.5,5.2,0.745,6.9,60.0,0.0,yardlge01,NBA,35.8,0.0,3.4,17.3,SF,0.0,1954-55,0.0,9.9,FTW,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.2,27.0,0.0,0.0,6.1,0.407,15.0,5.1,0.742,6.9,71.0,0.0,yardlge01,NBA,33.1,0.0,3.0,17.4,SF,0.0,1955-56,0.0,9.7,FTW,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,7.3,0.41,17.7,7.0,0.787,8.9,72.0,0.0,yardlge01,NBA,37.4,0.0,3.2,21.5,SF,0.0,1956-57,0.0,10.5,FTW,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.3,29.0,0.0,0.0,9.3,0.414,22.6,9.1,0.8109999999999999,11.2,72.0,0.0,yardlge01,NBA,39.5,0.0,3.1,27.8,SF,0.0,1957-58,0.0,10.7,DET,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.1,30.0,0.0,0.0,7.3,0.428,17.1,5.2,0.779,6.7,61.0,0.0,yardlge01,NBA,30.1,0.0,2.6,19.8,SF,0.0,1958-59,0.0,7.1,TOT,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9,30.0,0.0,0.0,7.6,0.415,18.3,5.6,0.816,6.9,46.0,0.0,yardlge01,NBA,30.8,0.0,2.7,20.8,SF,0.0,1958-59,0.0,7.1,DET,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.7,30.0,0.0,0.0,6.4,0.482,13.3,3.9,0.648,6.1,15.0,0.0,yardlge01,NBA,28.0,0.0,2.5,16.7,SF,0.0,1958-59,0.0,6.9,SYR,0.0
