2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0.0,0.0,0.0,0.0,0.0,0.0,0.7,21.0,0.0,0.0,5.5,0.329,16.7,3.4,0.737,4.6,61,0.0,zasloma01,BAA,0.0,0.0,2.0,14.4,SG,0.0,1946-47,0.0,0.0,CHS,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6,22.0,0.0,0.0,7.8,0.32299999999999995,24.1,5.4,0.784,6.9,48,0.0,zasloma01,BAA,0.0,0.0,2.6,21.0,SG,0.0,1947-48,0.0,0.0,CHS,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.6,23.0,0.0,0.0,7.3,0.35,21.0,6.0,0.84,7.1,58,0.0,zasloma01,BAA,0.0,0.0,2.7,20.6,SG,0.0,1948-49,0.0,0.0,CHS,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.3,24.0,0.0,0.0,5.8,0.35100000000000003,16.6,4.7,0.843,5.6,68,0.0,zasloma01,NBA,0.0,0.0,2.7,16.4,SG,0.0,1949-50,0.0,0.0,CHS,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.1,25.0,0.0,0.0,4.6,0.354,12.9,3.5,0.775,4.5,66,0.0,zasloma01,NBA,0.0,0.0,2.3,12.7,SG,0.0,1950-51,0.0,3.5,NYK,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.4,26.0,0.0,0.0,4.9,0.336,14.5,4.3,0.755,5.8,66,0.0,zasloma01,NBA,32.0,0.0,2.8,14.1,SG,0.0,1951-52,0.0,2.9,NYK,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.9,27.0,0.0,0.0,4.2,0.384,11.0,3.4,0.69,4.9,29,0.0,zasloma01,NBA,24.9,0.0,2.8,11.9,SG,0.0,1952-53,0.0,2.6,NYK,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.4,28.0,0.0,0.0,4.3,0.368,11.6,3.9,0.7140000000000001,5.5,65,0.0,zasloma01,NBA,28.9,0.0,2.2,12.5,SG,0.0,1953-54,0.0,2.5,TOT,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,5.2,0.35200000000000004,14.7,6.0,0.767,7.8,11,0.0,zasloma01,NBA,38.0,0.0,2.2,16.4,SG,0.0,1953-54,0.0,3.9,BLB,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.6,28.0,0.0,0.0,5.2,0.341,15.3,4.7,0.7120000000000001,6.6,9,0.0,zasloma01,NBA,33.2,0.0,1.9,15.1,SG,0.0,1953-54,0.0,3.1,MLH,0.0
