3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
0,0,1,1,26-361,1,3,30/10/2001,4,0.286,14,5,0.833,6,1,1,9.1,abdulta01,31:00:00,4,PHO,1,13,1,2,2,7,DEN,@,W (+3)
0,0,0,2,18-330,0,1,31/10/2001,1,0.167,6,0,0,2,1,0,-0.7,curryed01,12:00,2,IND,3,2,1,0,0,3,CHI,0,L (-25)
0,0,0,0,18-332,1,2,02/11/2001,1,1,1,0,0,0,2,0,3,curryed01,5:00,0,BOS,0,2,2,0,0,2,CHI,@,L (-14)
0,0,0,1,18-333,0,2,03/11/2001,5,0.714,7,0,0,0,3,0,6.6,curryed01,16:00,0,NYK,2,10,3,0,1,2,CHI,0,W (+5)
0,0,0,0,18-337,0,0,07/11/2001,1,0.333,3,6,0.75,8,4,0,1.9,curryed01,12:00,0,DET,4,8,4,0,2,0,CHI,0,L (-24)
0,0,0,0,18-338,0,1,08/11/2001,3,0.6,5,3,0.6,5,5,0,5.4,curryed01,11:00,0,MIN,2,9,5,0,0,1,CHI,@,L (-53)
0,0,0,1,18-346,0,2,16/11/2001,0,0,1,0,0,0,6,0,-1.2,curryed01,15:00,0,SAC,2,0,6,1,2,2,CHI,@,L (-34)
0,0,0,0,18-347,1,1,17/11/2001,0,0,3,1,0.25,4,7,0,-0.7,curryed01,7:00,2,GSW,2,1,7,0,0,3,CHI,@,L (-5)
0,0,0,0,18-351,2,1,21/11/2001,2,0.5,4,0,0,0,8,0,2.6,curryed01,9:00,1,MIL,2,4,8,0,1,2,CHI,@,L (-4)
0,0,0,0,18-354,0,1,24/11/2001,0,0,1,6,0.75,8,9,0,5.4,curryed01,9:00,0,NYK,1,6,9,1,0,1,CHI,@,L (-7)
0,0,0,0,18-357,3,0,27/11/2001,1,0.333,3,2,1,2,10,0,5.1,curryed01,15:00,1,NJN,0,4,10,0,0,1,CHI,@,L (-32)
0,0,0,0,18-359,1,2,29/11/2001,2,0.5,4,0,0,0,11,0,0.5,curryed01,10:00,0,MIA,2,4,11,0,2,2,CHI,0,W (+6)
0,0,0,0,18-361,1,3,01/12/2001,1,0.2,5,0,0,0,12,0,-4.7,curryed01,19:00,0,PHI,3,2,12,0,4,3,CHI,0,L (-17)
0,0,0,0,18-364,2,5,04/12/2001,2,0.5,4,1,0.5,2,13,0,6.9,curryed01,21:00,2,HOU,0,5,13,0,0,7,CHI,0,W (+28)
