,G,Opponent,Home_away,Tm,Opp
0,1,Chicago Bulls,1,96,111
1,2,Baltimore Bullets,1,105,123
2,3,Philadelphia 76ers,1,119,127
3,4,Buffalo Braves,1,102,93
4,5,Phoenix Suns,0,115,114
5,6,Cleveland Cavaliers,0,140,110
6,7,Philadelphia 76ers,0,116,111
7,8,Phoenix Suns,1,98,117
8,9,Milwaukee Bucks,1,113,126
9,10,Cleveland Cavaliers,1,110,99
10,11,New York Knicks,1,107,114
11,12,Atlanta Hawks,1,121,117
12,13,New York Knicks,0,100,109
13,14,Baltimore Bullets,0,118,125
14,15,San Francisco Warriors,1,102,114
15,16,Cincinnati Royals,0,127,120
16,17,San Francisco Warriors,0,102,107
17,18,Detroit Pistons,0,112,101
18,19,Portland Trail Blazers,1,136,118
19,20,Milwaukee Bucks,0,111,117
21,21,Seattle SuperSonics,0,121,106
22,22,Seattle SuperSonics,1,115,114
23,23,Detroit Pistons,1,104,111
24,24,Cincinnati Royals,1,138,120
25,25,Atlanta Hawks,0,128,127
26,26,Phoenix Suns,1,117,116
27,27,Los Angeles Lakers,1,112,130
28,28,Portland Trail Blazers,1,120,114
29,29,Los Angeles Lakers,0,119,116
30,30,Phoenix Suns,1,102,108
31,31,Phoenix Suns,0,110,104
32,32,Chicago Bulls,1,98,103
33,33,Cleveland Cavaliers,1,118,95
34,34,Philadelphia 76ers,1,98,122
35,35,Atlanta Hawks,1,117,128
36,36,Detroit Pistons,0,116,129
37,37,Portland Trail Blazers,0,118,108
38,38,Seattle SuperSonics,1,110,108
39,39,Atlanta Hawks,0,133,102
40,40,Chicago Bulls,0,101,110
42,41,Boston Celtics,0,108,110
43,42,Los Angeles Lakers,1,117,106
44,43,Los Angeles Lakers,0,109,108
45,44,Chicago Bulls,1,103,116
46,45,Detroit Pistons,1,99,100
47,46,San Francisco Warriors,0,117,120
48,47,San Francisco Warriors,1,103,109
49,48,Baltimore Bullets,0,117,124
50,49,Philadelphia 76ers,0,105,106
51,50,New York Knicks,1,113,117
52,51,Boston Celtics,1,112,142
53,52,Buffalo Braves,1,94,101
54,53,Baltimore Bullets,1,120,127
55,54,Buffalo Braves,0,114,106
56,55,Chicago Bulls,0,106,111
57,56,Detroit Pistons,1,104,131
58,57,Cincinnati Royals,1,110,116
59,58,Atlanta Hawks,1,120,131
60,59,Los Angeles Lakers,1,105,133
61,60,Milwaukee Bucks,0,101,108
63,61,Cleveland Cavaliers,0,116,105
64,62,Los Angeles Lakers,0,108,115
65,63,Seattle SuperSonics,1,124,107
66,64,Seattle SuperSonics,0,132,115
67,65,San Francisco Warriors,0,119,111
68,66,Cincinnati Royals,0,120,116
69,67,New York Knicks,0,115,116
70,68,San Francisco Warriors,1,109,103
71,69,Boston Celtics,0,128,118
72,70,New York Knicks,1,126,109
73,71,Milwaukee Bucks,1,104,139
74,72,Philadelphia 76ers,1,111,103
75,73,Boston Celtics,1,113,128
76,74,Seattle SuperSonics,0,110,111
77,75,Chicago Bulls,0,99,105
78,76,Portland Trail Blazers,0,135,121
79,77,Buffalo Braves,0,106,96
80,78,Boston Celtics,0,115,91
81,79,Baltimore Bullets,0,121,115
82,80,Detroit Pistons,0,106,99
84,81,Milwaukee Bucks,0,111,99
85,82,Phoenix Suns,0,132,114
