,G,Opponent,Home_away,Tm,Opp
0,1,Detroit Pistons,1,105,114
1,2,Atlanta Hawks,0,115,101
2,3,New Jersey Nets,0,113,100
3,4,Houston Rockets,1,112,116
4,5,Atlanta Hawks,1,85,115
5,6,Boston Celtics,0,131,128
6,7,New York Knicks,1,112,136
7,8,Philadelphia 76ers,1,110,132
8,9,Washington Bullets,0,118,108
9,10,San Antonio Spurs,1,121,128
10,11,Houston Rockets,0,133,129
11,12,New Jersey Nets,1,93,115
12,13,Philadelphia 76ers,0,114,120
13,14,Cleveland Cavaliers,1,117,134
14,15,Portland Trail Blazers,0,97,90
15,16,Golden State Warriors,1,104,101
16,17,Utah Jazz,1,113,105
17,18,Phoenix Suns,1,100,104
18,19,San Diego Clippers,1,97,105
19,20,Los Angeles Lakers,1,104,127
21,21,New York Knicks,0,119,108
22,22,Boston Celtics,1,103,118
23,23,Detroit Pistons,0,115,97
24,24,Philadelphia 76ers,1,112,113
25,25,Milwaukee Bucks,0,79,87
26,26,Washington Bullets,1,99,91
27,27,Boston Celtics,0,102,106
28,28,Cleveland Cavaliers,0,118,99
29,29,Detroit Pistons,0,103,102
30,30,New York Knicks,1,124,122
31,31,Seattle SuperSonics,0,107,112
32,32,Washington Bullets,0,111,109
33,33,Kansas City Kings,1,105,107
34,34,San Antonio Spurs,1,123,127
35,35,Atlanta Hawks,0,130,110
36,36,Detroit Pistons,1,98,97
37,37,New Jersey Nets,1,101,116
38,38,Utah Jazz,0,114,116
39,39,Los Angeles Lakers,0,120,127
40,40,Milwaukee Bucks,1,96,106
42,41,Denver Nuggets,1,105,111
43,42,Portland Trail Blazers,1,122,118
44,43,Seattle SuperSonics,1,111,120
45,44,Chicago Bulls,1,110,105
46,45,Detroit Pistons,0,122,109
47,46,Denver Nuggets,0,117,99
48,47,Kansas City Kings,0,108,103
49,48,San Antonio Spurs,0,130,144
50,49,San Diego Clippers,0,139,117
51,50,Cleveland Cavaliers,1,115,114
52,51,Cleveland Cavaliers,0,123,121
53,52,Houston Rockets,0,133,112
54,53,Washington Bullets,1,119,120
55,54,New York Knicks,0,102,112
56,55,Philadelphia 76ers,0,108,109
57,56,Washington Bullets,0,134,104
58,57,Boston Celtics,1,108,130
59,58,San Antonio Spurs,0,131,127
60,59,New Jersey Nets,0,96,98
61,60,Cleveland Cavaliers,1,118,114
63,61,Golden State Warriors,0,107,118
64,62,Chicago Bulls,0,108,100
65,63,New York Knicks,0,131,86
66,64,Phoenix Suns,0,105,113
67,65,Houston Rockets,1,88,93
68,66,Atlanta Hawks,1,111,116
69,67,Washington Bullets,1,104,118
70,68,New Jersey Nets,1,109,114
71,69,Philadelphia 76ers,1,113,120
72,70,Atlanta Hawks,0,94,99
73,71,Cleveland Cavaliers,0,107,113
74,72,Boston Celtics,0,114,108
75,73,New York Knicks,1,107,100
76,74,Philadelphia 76ers,0,104,94
77,75,Atlanta Hawks,1,90,95
78,76,Boston Celtics,1,102,114
79,77,New Jersey Nets,0,125,112
80,78,San Antonio Spurs,1,109,116
81,79,Houston Rockets,1,110,125
82,80,Detroit Pistons,1,124,114
84,81,San Antonio Spurs,0,127,122
85,82,Houston Rockets,0,106,121
