,G,Opponent,Home_away,Tm,Opp
0,1,San Diego Clippers,1,103,102
1,2,Chicago Bulls,0,105,96
2,3,Seattle SuperSonics,1,110,112
3,4,Portland Trail Blazers,0,82,99
4,5,Seattle SuperSonics,0,106,97
5,6,Utah Jazz,0,102,87
6,7,Kansas City Kings,0,116,104
7,8,Golden State Warriors,0,97,90
8,9,Chicago Bulls,1,111,105
9,10,Milwaukee Bucks,1,106,110
10,11,Phoenix Suns,0,112,110
11,12,San Diego Clippers,0,127,112
12,13,Golden State Warriors,1,109,126
13,14,Denver Nuggets,0,126,122
14,15,Cleveland Cavaliers,0,140,126
15,16,San Diego Clippers,1,137,91
16,17,Kansas City Kings,1,108,114
17,18,Denver Nuggets,1,135,128
18,19,Indiana Pacers,0,127,104
19,20,Portland Trail Blazers,1,99,114
21,21,Seattle SuperSonics,1,110,119
22,22,Phoenix Suns,1,112,126
23,23,Kansas City Kings,0,111,110
24,24,Utah Jazz,1,122,118
25,25,Chicago Bulls,0,100,107
26,26,Milwaukee Bucks,0,116,103
27,27,San Antonio Spurs,1,127,121
28,28,Houston Rockets,1,116,114
29,29,San Diego Clippers,0,108,116
30,30,Denver Nuggets,0,131,118
31,31,Detroit Pistons,0,138,122
32,32,San Antonio Spurs,0,121,119
33,33,Chicago Bulls,1,129,118
34,34,Atlanta Hawks,1,112,119
35,35,Golden State Warriors,0,114,108
36,36,Denver Nuggets,1,128,130
37,37,Seattle SuperSonics,0,102,97
38,38,Kansas City Kings,1,111,118
39,39,Utah Jazz,1,124,116
40,40,Boston Celtics,0,123,105
42,41,Phoenix Suns,0,113,105
43,42,Indiana Pacers,1,127,120
44,43,Milwaukee Bucks,1,103,113
45,44,Washington Bullets,1,101,103
46,45,Detroit Pistons,1,123,100
47,46,Boston Celtics,1,100,98
48,47,Utah Jazz,0,112,99
49,48,Golden State Warriors,1,97,96
50,49,Atlanta Hawks,0,108,102
51,50,New York Knicks,0,132,114
52,51,Portland Trail Blazers,1,103,111
53,52,Philadelphia 76ers,0,124,103
54,53,Milwaukee Bucks,0,112,102
55,54,Cleveland Cavaliers,1,153,154
56,55,Chicago Bulls,1,107,97
57,56,New York Knicks,1,116,105
58,57,New Jersey Nets,1,125,120
59,58,Philadelphia 76ers,1,104,105
60,59,Portland Trail Blazers,0,129,103
61,60,Kansas City Kings,0,114,100
63,61,Washington Bullets,0,111,107
64,62,Denver Nuggets,1,116,103
65,63,New Jersey Nets,0,132,110
66,64,Houston Rockets,0,112,100
67,65,Seattle SuperSonics,0,131,108
68,66,Milwaukee Bucks,0,117,126
69,67,Phoenix Suns,1,115,123
70,68,Milwaukee Bucks,1,127,124
71,69,Kansas City Kings,1,117,101
72,70,Chicago Bulls,0,101,99
73,71,Portland Trail Blazers,1,121,142
74,72,San Diego Clippers,1,123,106
75,73,Portland Trail Blazers,0,102,94
76,74,Denver Nuggets,0,132,126
77,75,Phoenix Suns,0,128,106
78,76,Golden State Warriors,0,113,100
79,77,Phoenix Suns,1,108,112
80,78,Seattle SuperSonics,1,97,92
81,79,Utah Jazz,0,101,96
82,80,Utah Jazz,1,97,95
84,81,San Diego Clippers,0,126,88
85,82,Golden State Warriors,1,95,93
