,G,Opponent,Home_away,Tm,Opp
0,1,Detroit Pistons,0,119,110
1,2,Seattle SuperSonics,0,130,106
2,3,San Diego Rockets,1,115,102
3,4,Los Angeles Lakers,1,112,123
4,5,San Francisco Warriors,1,104,118
5,6,Phoenix Suns,1,119,99
6,7,Boston Celtics,0,107,120
7,8,Detroit Pistons,1,102,81
8,9,Philadelphia 76ers,1,129,125
9,10,New York Knicks,1,108,112
10,11,New York Knicks,0,93,109
11,12,Detroit Pistons,0,100,96
12,13,Baltimore Bullets,0,105,116
13,14,Boston Celtics,1,129,118
14,15,Chicago Bulls,0,122,100
15,16,Baltimore Bullets,1,120,129
16,17,San Francisco Warriors,0,129,123
17,18,San Francisco Warriors,1,110,127
18,19,Seattle SuperSonics,1,117,115
19,20,Chicago Bulls,1,106,125
21,21,Cincinnati Royals,0,104,129
22,22,Atlanta Hawks,0,130,115
23,23,Los Angeles Lakers,0,100,81
24,24,Philadelphia 76ers,0,111,129
25,25,San Diego Rockets,0,111,99
26,26,Philadelphia 76ers,1,122,114
27,27,Seattle SuperSonics,0,131,98
28,28,New York Knicks,1,99,124
29,29,New York Knicks,0,95,96
30,30,San Francisco Warriors,0,123,109
31,31,Atlanta Hawks,1,121,100
32,32,San Diego Rockets,0,118,105
33,33,Boston Celtics,1,124,106
34,34,Boston Celtics,0,115,111
35,35,Phoenix Suns,0,118,111
36,36,Detroit Pistons,1,114,101
37,37,Cincinnati Royals,1,110,112
38,38,Baltimore Bullets,0,133,124
39,39,Baltimore Bullets,1,126,124
40,40,San Diego Rockets,0,143,126
42,41,New York Knicks,0,118,105
43,42,Atlanta Hawks,0,125,126
44,43,Cincinnati Royals,0,138,119
45,44,Phoenix Suns,0,120,116
46,45,Boston Celtics,0,124,109
47,46,Cincinnati Royals,0,112,92
48,47,Los Angeles Lakers,0,115,113
49,48,Chicago Bulls,0,130,132
50,49,San Francisco Warriors,0,123,107
51,50,San Diego Rockets,0,115,106
52,51,Cincinnati Royals,0,125,109
53,52,Atlanta Hawks,1,131,116
54,53,Philadelphia 76ers,0,103,122
55,54,Cincinnati Royals,1,126,114
56,55,Chicago Bulls,1,121,105
57,56,Phoenix Suns,1,107,106
58,57,Seattle SuperSonics,1,116,118
59,58,San Diego Rockets,1,141,123
60,59,Los Angeles Lakers,1,118,105
61,60,Baltimore Bullets,1,106,120
63,61,Philadelphia 76ers,1,139,131
64,62,Phoenix Suns,0,127,120
65,63,Boston Celtics,0,127,117
66,64,Los Angeles Lakers,0,96,98
67,65,San Francisco Warriors,1,109,102
68,66,Los Angeles Lakers,1,114,119
69,67,Seattle SuperSonics,0,140,127
70,68,Phoenix Suns,1,144,124
71,69,Detroit Pistons,1,111,136
72,70,Baltimore Bullets,0,115,113
73,71,Detroit Pistons,0,131,113
74,72,Cincinnati Royals,0,120,114
75,73,Philadelphia 76ers,0,127,116
76,74,Atlanta Hawks,0,117,126
77,75,Detroit Pistons,1,121,118
78,76,Boston Celtics,1,138,134
79,77,Seattle SuperSonics,0,124,105
80,78,Atlanta Hawks,1,127,140
81,79,Chicago Bulls,0,107,130
82,80,New York Knicks,1,116,108
84,81,Philadelphia 76ers,1,138,112
85,82,Chicago Bulls,1,115,129
