,G,Opponent,Home_away,Tm,Opp
0,1,Boston Celtics,0,119,100
1,2,Detroit Pistons,0,107,110
2,3,San Diego Rockets,1,114,115
3,4,Seattle SuperSonics,1,106,110
4,5,Cleveland Cavaliers,0,108,104
5,6,San Diego Rockets,0,117,98
6,7,Chicago Bulls,0,105,118
7,8,Boston Celtics,1,112,127
8,9,Baltimore Bullets,1,103,106
9,10,Buffalo Braves,0,110,102
10,11,Cincinnati Royals,1,133,115
11,12,Chicago Bulls,1,105,102
12,13,Atlanta Hawks,1,107,100
13,14,Milwaukee Bucks,1,105,125
14,15,Portland Trail Blazers,0,114,100
15,16,Cincinnati Royals,0,115,109
16,17,Detroit Pistons,0,108,104
17,18,New York Knicks,1,100,103
18,19,Detroit Pistons,1,110,112
19,20,Baltimore Bullets,1,110,121
21,21,Philadelphia 76ers,1,125,119
22,22,Cleveland Cavaliers,1,114,99
23,23,Buffalo Braves,1,106,112
24,24,Seattle SuperSonics,0,126,115
25,25,Los Angeles Lakers,1,116,105
26,26,San Diego Rockets,0,116,117
27,27,Atlanta Hawks,0,126,112
28,28,Portland Trail Blazers,1,126,121
29,29,San Francisco Warriors,1,105,100
30,30,San Diego Rockets,0,108,102
31,31,Los Angeles Lakers,0,112,121
32,32,San Diego Rockets,1,104,110
33,33,Milwaukee Bucks,0,113,111
34,34,San Francisco Warriors,0,123,129
35,35,Detroit Pistons,0,117,114
36,36,Seattle SuperSonics,1,131,135
37,37,New York Knicks,0,118,133
38,38,Philadelphia 76ers,0,129,133
39,39,Atlanta Hawks,0,127,115
40,40,Portland Trail Blazers,0,115,103
42,41,Los Angeles Lakers,1,110,128
43,42,Los Angeles Lakers,0,132,114
44,43,San Francisco Warriors,1,122,116
45,44,San Francisco Warriors,0,102,81
46,45,Boston Celtics,1,114,122
47,46,Philadelphia 76ers,1,112,123
48,47,Atlanta Hawks,1,116,105
49,48,New York Knicks,0,107,88
50,49,Baltimore Bullets,0,117,100
51,50,Cincinnati Royals,0,118,99
52,51,Cincinnati Royals,0,114,126
53,52,Philadelphia 76ers,0,116,117
54,53,Chicago Bulls,0,113,112
55,54,Buffalo Braves,0,114,82
56,55,Los Angeles Lakers,0,118,112
57,56,Portland Trail Blazers,1,131,122
58,57,Seattle SuperSonics,0,134,116
59,58,San Francisco Warriors,0,105,117
60,59,Cleveland Cavaliers,0,119,91
61,60,Milwaukee Bucks,1,94,118
63,61,Baltimore Bullets,1,120,115
64,62,Cleveland Cavaliers,1,114,105
65,63,New York Knicks,1,97,114
66,64,Buffalo Braves,1,108,97
67,65,Boston Celtics,1,119,116
68,66,Cincinnati Royals,0,133,117
69,67,Boston Celtics,0,116,112
70,68,Milwaukee Bucks,0,97,125
71,69,Philadelphia 76ers,1,108,94
72,70,Detroit Pistons,1,124,117
73,71,Chicago Bulls,0,115,90
74,72,Baltimore Bullets,0,108,117
75,73,Detroit Pistons,1,114,108
76,74,Atlanta Hawks,1,98,139
77,75,Chicago Bulls,1,92,116
78,76,Chicago Bulls,1,99,111
79,77,Milwaukee Bucks,0,125,113
80,78,Milwaukee Bucks,0,111,119
81,79,New York Knicks,0,123,131
82,80,Los Angeles Lakers,1,111,106
84,81,Seattle SuperSonics,0,114,107
85,82,San Diego Rockets,1,114,132
