,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Marc Iavaroni,1983,1989,F,6-8	,210,"September 15, 1956",University of Virginia
1,Serge Ibaka,2010,2018,F-C,6-10	,235,"September 18, 1989",
2,Andre Iguodala,2005,2018,G-F,6-6	,215,"January 28, 1984",University of Arizona
3,Zydrunas Ilgauskas,1998,2011,C,7-3	,238,"June 5, 1975",
4,Mile Ilic,2007,2007,C,7-1	,230,"June 2, 1984",
5,Didier Ilunga-Mbenga,2005,2011,C,7-0	,245,"December 30, 1980",
6,Ersan Ilyasova,2007,2018,F,6-10	,235,"May 15, 1987",
7,Darrall Imhoff,1961,1972,C,6-10	,220,"October 11, 1938",University of California
8,Tom Ingelsby,1974,1976,G,6-3	,180,"February 12, 1951",Villanova University
9,Joe Ingles,2015,2018,F-G,6-8	,226,"October 2, 1987",
10,Damien Inglis,2016,2016,F,6-8	,246,"May 20, 1995",
11,Andre Ingram,2018,2018,G,6-3	,190,"November 19, 1985",American University
12,Brandon Ingram,2017,2018,F,6-9	,190,"September 2, 1997",Duke University
13,McCoy Ingram,1958,1958,F,6-8	,210,"August 31, 1931",Jackson State University
14,Ervin Inniger,1968,1969,G,6-4	,190,"January 16, 1945",Indiana University
15,Byron Irvin,1990,1993,G,6-5	,190,"December 2, 1966","University of Arkansas, University of Missouri"
16,George Irvine,1971,1976,F-G,6-6	,200,"February 1, 1948",University of Washington
17,Kyrie Irving,2012,2018,G,6-3	,193,"March 23, 1992",Duke University
18,Jonathan Isaac,2018,2018,F,6-10	,210,"October 3, 1997",Florida State University
19,Dan Issel*,1971,1985,C-F,6-9	,235,"October 25, 1948",University of Kentucky
20,Mike Iuzzolino,1992,1993,G,5-10	,175,"January 22, 1968","Pennsylvania State University, Saint Francis University"
21,Allen Iverson*,1997,2010,G,6-0	,165,"June 7, 1975",Georgetown University
22,Willie Iverson,1969,1969,G,6-0	,180,"October 8, 1945",Central Michigan University
23,Royal Ivey,2005,2014,G,6-3	,200,"December 20, 1981",University of Texas at Austin
24,Elvin Ivory,1969,1969,F,6-8	,210,"July 2, 1948",University of Louisiana at Lafayette
25,Wesley Iwundu,2018,2018,F,6-7	,193,"December 20, 1994",Kansas State University
