,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Edwin Ubiles,2012,2012,G,6-6	,204,"November 26, 1986",Siena College
1,Ekpe Udoh,2011,2018,C-F,6-10	,240,"May 20, 1987","University of Michigan, Baylor University"
2,Ime Udoka,2004,2011,F,6-6	,215,"August 9, 1977","University of San Francisco, Portland State University"
3,Beno Udrih,2005,2017,G,6-3	,205,"July 5, 1982",
4,Roko Ukic,2009,2010,G,6-5	,183,"May 12, 1984",
5,Tyler Ulis,2017,2018,G,5-10	,150,"January 5, 1996",University of Kentucky
6,Wes Unseld*,1969,1981,C-F,6-7	,245,"March 14, 1946",University of Louisville
7,Hal Uplinger,1954,1954,G,6-4	,185,"September 30, 1929",Long Island University
8,Kelvin Upshaw,1989,1991,G,6-2	,180,"January 24, 1963",University of Utah
9,Jarrod Uthoff,2017,2017,F,6-9	,221,"May 19, 1993",University of Iowa
10,Ben Uzoh,2011,2012,G,6-3	,205,"March 19, 1988",University of Tulsa
