,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-05,24-094,SAC,@,SAS,L (-18),1,27:00,1,4,.250,0,0,,1,2,.500,2,2,4,3,1,0,3,2,3,1.5
1,2,2,1999-02-07,24-096,SAC,,VAN,W (+22),1,18:00,4,7,.571,0,0,,0,0,,0,0,0,1,0,0,0,4,8,3.8
2,3,3,1999-02-09,24-098,SAC,@,PHO,W (+17),1,24:00,6,10,.600,0,1,.000,1,2,.500,3,0,3,1,1,0,3,4,13,7.2
3,4,4,1999-02-10,24-099,SAC,@,HOU,L (-10),1,32:00,1,5,.200,0,1,.000,0,0,,1,3,4,5,1,0,1,4,2,2.4
4,5,5,1999-02-15,24-104,SAC,@,UTA,L (-8),1,23:00,4,6,.667,1,1,1.000,1,2,.500,1,3,4,1,2,0,2,2,10,8.5
5,6,6,1999-02-16,24-105,SAC,,BOS,W (+3),1,14:00,1,7,.143,0,0,,4,5,.800,2,1,3,0,2,0,1,3,6,2.6
6,7,7,1999-02-17,24-106,SAC,@,SEA,W (+3),1,24:00,4,11,.364,0,0,,4,6,.667,2,1,3,0,0,0,0,1,12,6.4
7,8,8,1999-02-19,24-108,SAC,,CHH,W (+11),1,25:00,4,7,.571,0,1,.000,3,3,1.000,1,5,6,1,0,0,1,1,11,9.2
8,9,9,1999-02-21,24-110,SAC,@,MIN,L (-12),1,22:00,5,10,.500,1,2,.500,3,3,1.000,0,3,3,0,0,0,4,4,14,4.3
9,10,10,1999-02-22,24-111,SAC,@,ORL,L (-11),1,24:00,3,12,.250,0,0,,1,2,.500,1,1,2,2,2,2,0,2,7,4.4
10,11,11,1999-02-24,24-113,SAC,@,PHI,L (-13),1,15:00,2,4,.500,0,1,.000,2,3,.667,1,1,2,2,0,0,0,4,6,4.4
11,12,12,1999-02-25,24-114,SAC,@,WAS,W (+10),1,24:00,4,7,.571,0,0,,4,4,1.000,0,2,2,1,0,0,1,2,12,8.2
12,13,13,1999-02-27,24-116,SAC,@,DAL,L (-7),1,22:00,2,8,.250,0,1,.000,2,2,1.000,2,2,4,1,0,0,2,1,6,1.5
13,14,14,1999-03-01,24-118,SAC,,SEA,L (-3),1,24:00,4,9,.444,0,0,,0,0,,1,4,5,0,0,0,3,2,8,1.4
14,15,15,1999-03-02,24-119,SAC,@,VAN,W (+10),1,34:00,4,11,.364,0,0,,4,6,.667,0,1,1,0,2,0,2,1,12,5.0
15,16,16,1999-03-03,24-120,SAC,,POR,L (-4),1,26:00,3,5,.600,0,0,,1,1,1.000,3,5,8,1,0,1,3,0,7,6.7
