,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-06,23-201,MIL,@,CHH,W (+6),1,41:00,8,13,.615,3,5,.600,6,8,.750,1,2,3,5,1,0,2,1,25,21.7
1,2,2,1999-02-09,23-204,MIL,@,TOR,W (+14),1,31:00,5,10,.500,1,2,.500,6,6,1.000,0,2,2,3,3,0,1,2,17,15.9
2,3,3,1999-02-11,23-206,MIL,,NJN,W (+20),1,30:00,6,9,.667,1,2,.500,6,6,1.000,1,0,1,3,4,1,3,2,19,18.8
3,4,4,1999-02-14,23-209,MIL,@,ORL,L (-3),1,32:00,4,13,.308,0,3,.000,0,0,,2,4,6,4,0,0,5,0,8,0.9
4,5,5,1999-02-16,23-211,MIL,@,PHI,W (+1),1,30:00,2,8,.250,1,4,.250,2,2,1.000,1,1,2,2,3,0,2,4,7,4.0
5,6,6,1999-02-17,23-212,MIL,,CHI,W (+8),1,34:00,5,8,.625,2,3,.667,3,4,.750,0,4,4,3,1,0,5,5,15,8.3
6,7,7,1999-02-19,23-214,MIL,@,TOR,L (-8),1,27:00,4,12,.333,2,4,.500,0,0,,0,1,1,2,0,1,2,2,10,2.8
7,8,8,1999-02-20,23-215,MIL,,IND,L (-2),1,28:00,3,10,.300,1,5,.200,0,0,,2,3,5,4,0,0,0,0,7,6.3
8,9,9,1999-02-23,23-218,MIL,@,CHI,W (+2),1,31:00,6,11,.545,1,3,.333,3,3,1.000,2,1,3,4,0,0,0,4,16,13.6
9,10,10,1999-02-26,23-221,MIL,@,DEN,L (-1),1,35:00,7,16,.438,2,3,.667,2,2,1.000,1,2,3,3,1,0,1,0,18,13.0
10,11,11,1999-02-28,23-223,MIL,,PHI,L (-11),1,24:00,7,12,.583,1,3,.333,1,1,1.000,1,0,1,2,1,0,4,3,16,8.3
11,12,12,1999-03-02,23-225,MIL,@,NJN,W (+8),1,38:00,5,13,.385,1,2,.500,8,8,1.000,2,8,10,0,1,1,5,2,19,11.6
12,13,13,1999-03-03,23-226,MIL,,GSW,W (+28),1,28:00,6,13,.462,2,3,.667,4,4,1.000,2,2,4,5,0,0,0,0,18,16.8
13,14,14,1999-03-05,23-228,MIL,,NYK,W (+1),1,32:00,2,12,.167,1,4,.250,4,7,.571,1,2,3,3,0,0,1,1,9,2.2
14,15,15,1999-03-08,23-231,MIL,,CHI,W (+5),1,36:00,6,13,.462,1,6,.167,4,4,1.000,3,3,6,4,2,1,1,2,17,17.0
15,16,16,1999-03-09,23-232,MIL,@,NYK,W (+1),1,34:00,2,11,.182,2,6,.333,0,0,,1,4,5,3,2,0,2,2,6,2.3
16,17,17,1999-03-10,23-233,MIL,,SEA,W (+4),1,35:00,6,14,.429,3,6,.500,4,4,1.000,0,4,4,1,2,0,2,2,19,12.7
17,18,18,1999-03-12,23-235,MIL,@,IND,L (-5),1,39:00,7,14,.500,2,6,.333,2,2,1.000,1,3,4,6,1,0,3,1,18,14.4
18,19,19,1999-03-14,23-237,MIL,@,WAS,L (-12),1,39:00,9,19,.474,1,5,.200,3,3,1.000,0,5,5,5,1,0,4,1,22,13.9
19,20,20,1999-03-15,23-238,MIL,,NYK,L (-6),1,37:00,11,22,.500,3,6,.500,4,5,.800,2,2,4,4,2,0,5,2,29,18.6
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-03-16,23-239,MIL,,PHO,L (-18),1,25:00,3,8,.375,1,1,1.000,3,3,1.000,1,1,2,3,0,0,6,3,10,1.5
22,22,22,1999-03-18,23-241,MIL,,BOS,W (+16),1,35:00,9,12,.750,3,3,1.000,0,0,,1,3,4,7,0,0,1,2,21,20.9
23,23,23,1999-03-20,23-243,MIL,@,ATL,W (+6),1,25:00,1,9,.111,0,2,.000,6,6,1.000,0,2,2,3,2,0,4,5,8,0.8
24,24,24,1999-03-21,23-244,MIL,,CHH,L (-7),1,38:00,6,15,.400,1,7,.143,3,4,.750,0,4,4,7,0,0,1,1,16,12.2
25,25,25,1999-03-22,23-245,MIL,,DET,W (+29),1,26:00,6,9,.667,2,3,.667,5,5,1.000,0,3,3,2,1,0,1,3,19,16.2
26,26,26,1999-03-24,23-247,MIL,,MIA,L (-8),1,34:00,4,11,.364,0,2,.000,4,4,1.000,1,5,6,2,0,0,2,5,12,5.5
27,27,27,1999-03-26,23-249,MIL,@,DET,L (-5),1,38:00,7,19,.368,4,9,.444,11,11,1.000,2,4,6,5,3,0,3,3,29,23.4
28,28,28,1999-03-28,23-251,MIL,@,MIN,W (+9),1,30:00,6,13,.462,2,4,.500,0,0,,1,1,2,1,1,0,2,1,14,7.6
29,29,29,1999-03-30,23-253,MIL,,WAS,W (+2),1,34:00,8,12,.667,3,3,1.000,6,6,1.000,1,7,8,3,1,0,4,2,25,20.9
30,30,30,1999-03-31,23-254,MIL,@,CHH,W (+8),1,31:00,9,14,.643,2,2,1.000,0,1,.000,2,3,5,3,1,0,1,2,20,17.0
31,31,31,1999-04-02,23-256,MIL,@,BOS,W (+1),1,35:00,6,12,.500,1,3,.333,6,8,.750,0,5,5,3,0,1,2,1,19,14.1
32,32,32,1999-04-04,23-258,MIL,@,CLE,L (-24),1,29:00,0,8,.000,0,4,.000,2,2,1.000,1,4,5,3,1,0,0,2,2,0.6
33,33,33,1999-04-06,23-260,MIL,@,PHI,L (-8),1,33:00,5,19,.263,0,6,.000,2,2,1.000,2,3,5,7,0,0,0,4,12,6.3
34,34,34,1999-04-07,23-261,MIL,,CLE,W (+8),1,38:00,7,15,.467,3,5,.600,0,0,,4,1,5,3,1,0,1,5,17,12.5
35,35,35,1999-04-09,23-263,MIL,@,ORL,L (-12),1,32:00,9,16,.563,2,4,.500,1,2,.500,3,1,4,2,2,0,5,1,21,13.4
36,36,36,1999-04-11,23-265,MIL,@,MIA,L (-3),1,39:00,11,19,.579,0,2,.000,3,3,1.000,2,2,4,6,2,0,1,3,25,22.1
37,37,37,1999-04-13,23-267,MIL,,ATL,W (+7),1,36:00,8,14,.571,1,3,.333,1,1,1.000,1,5,6,1,1,0,2,3,18,12.1
38,38,38,1999-04-14,23-268,MIL,,MIA,W (+12),1,35:00,9,15,.600,2,4,.500,11,12,.917,0,2,2,1,0,0,2,2,31,22.2
39,39,39,1999-04-16,23-270,MIL,,CHH,L (-1),1,43:00,9,18,.500,1,3,.333,2,4,.500,1,5,6,5,1,0,6,3,21,10.7
40,40,40,1999-04-18,23-272,MIL,@,CHI,L (-2),1,38:00,7,16,.438,0,6,.000,5,5,1.000,1,3,4,6,1,0,4,3,19,12.2
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,1999-04-20,23-274,MIL,,ORL,W (+12),1,40:00,8,15,.533,2,5,.400,0,0,,3,6,9,5,1,1,5,3,18,13.6
43,42,42,1999-04-21,23-275,MIL,@,IND,L (-8),1,44:00,4,19,.211,0,4,.000,6,8,.750,3,5,8,5,0,0,4,3,14,3.4
44,43,43,1999-04-23,23-277,MIL,,CLE,W (+4),1,36:00,5,13,.385,1,6,.167,5,5,1.000,2,4,6,3,0,0,5,0,16,8.6
45,44,44,1999-04-25,23-279,MIL,@,ATL,L (-15),1,35:00,7,14,.500,1,2,.500,6,6,1.000,1,1,2,3,0,0,2,4,21,13.5
46,45,45,1999-04-26,23-280,MIL,,WAS,W (+8),1,34:00,5,14,.357,3,6,.500,6,6,1.000,0,6,6,2,2,0,0,5,19,14.4
47,46,46,1999-04-28,23-282,MIL,,TOR,W (+13),1,37:00,7,11,.636,3,5,.600,1,2,.500,0,2,2,7,2,0,2,3,18,17.0
48,47,47,1999-04-30,23-284,MIL,,DET,L (-5),1,41:00,2,8,.250,0,4,.000,5,6,.833,1,3,4,2,2,1,2,1,9,7.1
49,48,48,1999-05-01,23-285,MIL,@,BOS,W (+9),1,43:00,9,17,.529,3,7,.429,5,5,1.000,0,3,3,5,1,0,4,5,26,17.1
50,49,49,1999-05-04,23-288,MIL,,TOR,W (+13),1,36:00,6,11,.545,1,4,.250,6,6,1.000,0,3,3,3,0,0,1,3,19,14.5
51,50,50,1999-05-05,23-289,MIL,@,NJN,L (-8),1,38:00,9,24,.375,1,8,.125,3,3,1.000,0,5,5,4,2,0,1,0,22,14.1
