,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-05,25-036,UTA,,CHI,W (+8),0,22:00,5,6,.833,2,2,1.000,4,5,.800,0,3,3,0,2,0,2,3,16,13.1
1,2,2,1999-02-07,25-038,UTA,@,LAL,W (+9),0,24:00,3,6,.500,0,1,.000,1,2,.500,0,0,0,1,3,0,1,5,7,4.3
2,3,3,1999-02-09,25-040,UTA,@,DAL,W (+11),0,24:00,4,9,.444,0,0,,0,0,,0,2,2,1,0,1,2,4,8,1.7
3,4,4,1999-02-11,25-042,UTA,@,PHO,W (+8),0,18:00,2,7,.286,0,1,.000,2,3,.667,0,1,1,2,1,0,1,2,6,2.4
4,5,5,1999-02-12,25-043,UTA,@,GSW,W (+16),0,24:00,4,9,.444,0,0,,4,4,1.000,0,1,1,4,2,0,4,1,12,8.0
5,6,6,1999-02-15,25-046,UTA,,SAC,W (+8),0,27:00,5,9,.556,0,0,,3,4,.750,1,6,7,1,0,0,1,1,13,10.1
6,7,7,1999-02-16,25-047,UTA,@,SEA,L (-15),1,29:00,4,13,.308,0,1,.000,0,2,.000,1,3,4,2,1,0,3,1,8,0.3
7,8,8,1999-02-18,25-049,UTA,,DEN,W (+11),0,17:00,2,5,.400,1,1,1.000,2,3,.667,1,0,1,0,1,0,2,1,7,3.2
8,9,9,1999-02-20,25-051,UTA,,SEA,W (+30),0,19:00,5,8,.625,2,2,1.000,0,0,,0,1,1,3,1,0,0,4,12,10.2
9,10,10,1999-02-22,25-053,UTA,,LAC,W (+15),0,24:00,6,11,.545,0,1,.000,5,7,.714,1,4,5,3,1,0,0,2,17,15.1
10,11,11,1999-02-24,25-055,UTA,@,DEN,L (-10),0,21:00,6,9,.667,0,1,.000,2,3,.667,3,1,4,2,0,0,4,2,14,8.7
11,12,12,1999-02-26,25-057,UTA,,DAL,W (+15),1,24:00,3,8,.375,0,2,.000,4,4,1.000,4,1,5,3,1,2,2,3,10,10.0
12,13,13,1999-02-28,25-059,UTA,@,SAS,W (+14),0,19:00,1,5,.200,1,3,.333,0,0,,0,0,0,0,0,0,2,1,3,-2.5
13,14,14,1999-03-02,25-061,UTA,@,POR,L (-2),0,19:00,1,4,.250,0,0,,3,3,1.000,1,3,4,0,0,0,3,3,5,0.0
14,15,15,1999-03-03,25-062,UTA,,VAN,W (+23),0,24:00,4,7,.571,0,1,.000,0,0,,0,2,2,3,2,0,0,1,8,9.0
15,16,16,1999-03-05,25-064,UTA,,DAL,W (+11),0,11:00,2,5,.400,0,0,,1,3,.333,0,0,0,1,1,1,0,1,5,3.5
16,17,17,1999-03-07,25-066,UTA,,LAL,L (-8),0,20:00,1,5,.200,0,1,.000,3,4,.750,1,1,2,0,0,0,0,3,5,1.3
17,18,18,1999-03-09,25-068,UTA,,CLE,W (+13),0,21:00,0,1,.000,0,0,,0,0,,0,1,1,0,2,0,0,3,0,0.4
18,19,19,1999-03-11,25-070,UTA,,DEN,W (+5),0,17:00,1,4,.250,0,0,,2,2,1.000,1,1,2,1,0,0,0,0,4,3.3
19,20,20,1999-03-12,25-071,UTA,@,POR,W (+14),0,20:00,3,11,.273,0,0,,0,0,,2,4,6,3,1,0,3,1,6,1.8
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-03-13,25-072,UTA,,MIN,W (+27),0,23:00,4,7,.571,0,0,,2,2,1.000,1,3,4,0,0,0,1,1,10,6.9
22,22,22,1999-03-15,25-074,UTA,@,MIN,W (+7),0,18:00,5,9,.556,1,1,1.000,1,2,.500,1,1,2,1,1,0,1,2,12,8.2
23,23,23,1999-03-18,25-077,UTA,@,WAS,W (+8),0,26:00,3,5,.600,0,2,.000,1,4,.250,1,2,3,1,1,2,1,1,7,6.5
24,24,24,1999-03-19,25-078,UTA,@,CHH,L (-1),0,20:00,4,9,.444,0,2,.000,1,2,.500,2,0,2,1,1,0,2,1,9,4.6
25,25,25,1999-03-21,25-080,UTA,@,DET,L (-3),0,21:00,3,7,.429,0,1,.000,0,0,,0,1,1,1,0,0,3,1,6,-0.1
26,26,26,1999-03-23,25-082,UTA,,MIA,W (+3),0,12:00,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,2,0,2,-2.4
27,27,27,1999-03-26,25-085,UTA,@,VAN,W (+5),0,21:00,5,7,.714,0,0,,2,3,.667,0,1,1,1,2,0,1,0,12,10.7
28,28,28,1999-03-27,25-086,UTA,@,LAC,L (-26),0,25:00,3,6,.500,0,0,,2,3,.667,3,3,6,0,0,0,3,1,8,4.2
29,29,29,1999-03-30,25-089,UTA,@,SAC,L (-3),0,22:00,3,10,.300,0,1,.000,0,0,,1,1,2,0,0,1,2,1,6,-0.5
30,30,30,1999-04-01,25-091,UTA,,HOU,W (+1),0,24:00,5,12,.417,0,0,,2,2,1.000,2,2,4,1,1,0,1,2,12,7.5
31,31,31,1999-04-02,25-092,UTA,@,GSW,W (+7),0,22:00,2,6,.333,1,1,1.000,2,2,1.000,1,1,2,2,1,0,2,1,7,4.6
32,32,32,1999-04-06,25-096,UTA,@,LAL,W (+13),0,20:00,5,11,.455,0,1,.000,2,4,.500,1,3,4,1,1,0,0,1,12,8.4
33,33,33,1999-04-08,25-098,UTA,,GSW,W (+7),0,28:00,4,6,.667,0,0,,4,4,1.000,1,2,3,1,2,0,2,3,12,10.2
34,34,34,1999-04-09,25-099,UTA,,PHO,W (+1),0,24:00,5,8,.625,1,1,1.000,6,7,.857,3,0,3,1,1,0,2,3,17,13.6
35,35,35,1999-04-11,25-101,UTA,,HOU,W (+9),0,12:00,2,6,.333,0,0,,2,2,1.000,1,1,2,0,0,0,1,1,6,2.2
36,36,36,1999-04-12,25-102,UTA,,VAN,W (+18),0,27:00,5,7,.714,1,1,1.000,7,8,.875,1,4,5,2,1,0,2,1,18,16.6
37,37,37,1999-04-13,25-103,UTA,@,SAC,W (+5),0,23:00,3,7,.429,0,1,.000,0,0,,2,0,2,3,1,0,3,2,6,3.0
38,38,38,1999-04-15,25-105,UTA,@,LAC,W (+14),0,23:00,2,7,.286,1,2,.500,2,4,.500,1,1,2,0,2,0,1,1,7,3.7
39,39,39,1999-04-17,25-107,UTA,,LAL,W (+16),0,25:00,2,6,.333,0,1,.000,1,2,.500,2,0,2,1,1,0,0,1,5,3.9
40,40,40,1999-04-18,25-108,UTA,@,MIN,W (+21),0,27:00,4,10,.400,0,0,,3,4,.750,2,2,4,2,1,0,0,1,11,9.2
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,1999-04-20,25-110,UTA,,SAS,L (-14),0,20:00,2,8,.250,0,1,.000,1,2,.500,2,5,7,0,0,1,0,1,5,3.0
43,42,42,1999-04-21,25-111,UTA,@,PHO,L (-9),0,18:00,3,8,.375,1,1,1.000,1,1,1.000,0,3,3,0,2,0,1,2,8,4.7
44,43,43,1999-04-23,25-113,UTA,,POR,W (+11),0,14:00,2,3,.667,0,0,,2,4,.500,0,0,0,1,0,0,0,2,6,3.8
45,44,44,1999-04-25,25-115,UTA,,SEA,W (+17),0,24:00,4,9,.444,0,2,.000,3,4,.750,1,1,2,1,1,0,2,2,11,5.8
46,45,45,1999-04-26,25-116,UTA,,PHO,L (-14),0,13:00,2,6,.333,0,1,.000,3,4,.750,2,0,2,0,0,0,0,1,7,4.2
47,46,46,1999-04-27,25-117,UTA,@,SEA,L (-5),0,30:00,5,12,.417,0,1,.000,2,3,.667,1,5,6,1,0,1,1,4,12,6.2
48,47,47,1999-04-29,25-119,UTA,,GSW,W (+11),0,24:00,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,2,0,-0.2
49,48,48,1999-04-30,25-120,UTA,@,HOU,W (+13),0,20:00,2,8,.250,2,3,.667,1,2,.500,0,0,0,0,0,0,1,2,7,0.0
50,49,49,1999-05-02,25-122,UTA,@,SAS,L (-6),0,23:00,4,8,.500,0,0,,0,0,,1,2,3,2,0,0,0,1,8,6.3
51,50,50,1999-05-04,25-124,UTA,,LAC,W (+17),0,19:00,6,8,.750,0,0,,0,1,.000,0,2,2,1,0,1,1,5,12,7.4
