,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-02-07,20-348,CHI,@,LAC,W (+5),0,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5
1,2,2,1999-02-09,20-350,CHI,,ATL,L (-16),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
2,3,3,1999-02-14,20-355,CHI,,SAS,L (-13),0,2:00,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0.6
3,4,4,1999-02-16,20-357,CHI,,ATL,L (-16),0,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
4,5,5,1999-02-27,21-003,CHI,,CHH,W (+17),0,10:00,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,2,1,4,2.0
5,6,6,1999-02-28,21-004,CHI,@,TOR,W (+2),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
6,7,7,1999-03-02,21-006,CHI,,DET,L (-30),0,17:00,6,12,.500,1,1,1.000,2,4,.500,3,0,3,0,1,0,0,3,15,10.1
7,8,8,1999-03-03,21-007,CHI,@,PHI,L (-16),0,18:00,2,5,.400,0,1,.000,3,4,.750,1,1,2,2,0,0,4,2,7,1.5
8,9,9,1999-03-08,21-012,CHI,@,MIL,L (-5),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8
9,10,10,1999-03-09,21-013,CHI,,NJN,W (+16),0,7:00,0,4,.000,0,0,,0,0,,1,0,1,0,0,1,1,2,0,-3.2
10,11,11,1999-03-11,21-015,CHI,,SEA,L (-9),0,5:00,1,3,.333,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,4,1.5
11,12,12,1999-03-12,21-016,CHI,,NYK,W (+13),0,12:00,2,3,.667,0,0,,0,2,.000,0,1,1,0,2,0,2,3,4,1.0
12,13,13,1999-03-15,21-019,CHI,,CLE,L (-4),0,6:00,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,1.6
13,14,14,1999-03-17,21-021,CHI,@,ORL,L (-9),0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
14,15,15,1999-03-26,21-030,CHI,@,ATL,L (-12),0,7:00,2,4,.500,1,1,1.000,0,0,,1,2,3,0,0,1,0,2,5,4.2
15,16,16,1999-03-28,21-032,CHI,@,TOR,L (-13),1,22:00,1,11,.091,0,0,,4,6,.667,2,1,3,0,1,0,1,2,6,-1.2
16,17,17,1999-04-02,21-037,CHI,,ORL,L (-47),0,3:00,0,1,.000,0,0,,1,2,.500,0,0,0,1,0,0,0,0,1,0.6
17,18,18,1999-04-07,21-042,CHI,,IND,L (-17),0,7:00,0,2,.000,0,1,.000,0,0,,1,2,3,0,0,0,1,1,0,-1.5
18,19,19,1999-04-10,21-045,CHI,,MIA,L (-33),0,19:00,0,3,.000,0,2,.000,0,0,,0,1,1,1,1,0,3,3,0,-4.3
19,20,20,1999-04-13,21-048,CHI,@,MIA,L (-16),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-04-16,21-051,CHI,@,WAS,L (-17),0,15:00,2,8,.250,0,1,.000,3,4,.750,0,2,2,0,0,0,1,3,7,0.2
22,22,22,1999-04-18,21-053,CHI,,MIL,W (+2),0,16:00,5,5,1.000,0,0,,2,3,.667,1,3,4,0,0,1,1,2,12,10.6
23,23,23,1999-04-20,21-055,CHI,,WAS,W (+6),0,12:00,2,5,.400,0,1,.000,0,0,,0,2,2,1,0,1,0,1,4,2.9
24,24,24,1999-04-21,21-056,CHI,@,NJN,L (-12),0,24:00,4,9,.444,0,1,.000,6,6,1.000,1,6,7,1,2,1,0,3,14,14.0
25,25,25,1999-04-23,21-058,CHI,,BOS,L (-29),0,23:00,1,8,.125,1,3,.333,0,0,,0,1,1,0,0,1,1,3,3,-3.4
26,26,26,1999-04-24,21-059,CHI,@,IND,L (-18),0,8:00,0,2,.000,0,0,,0,0,,1,0,1,1,0,1,1,1,0,-0.7
27,27,27,1999-04-26,21-061,CHI,@,DAL,L (-8),0,10:00,2,4,.500,0,0,,0,0,,0,0,0,0,1,0,0,3,4,1.8
28,28,28,1999-04-30,21-065,CHI,@,CHH,L (-4),0,11:00,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,2,4,1.9
29,29,29,1999-05-01,21-066,CHI,@,MIA,W (+15),0,11:00,3,5,.600,0,0,,2,2,1.000,1,0,1,0,0,0,1,0,8,5.4
30,30,30,1999-05-03,21-068,CHI,,DET,L (-44),0,23:00,4,8,.500,0,1,.000,0,1,.000,1,0,1,1,3,1,1,1,8,7.3
31,31,31,1999-05-05,21-070,CHI,,ORL,L (-20),0,13:00,2,5,.400,0,0,,0,2,.000,0,1,1,1,0,0,1,0,4,0.5
