,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-02,26-133,DEN,,PHO,W (+5),0,7:00,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,2,0,-0.1
1,2,2,1999-11-05,26-136,DEN,@,POR,L (-12),0,13:00,3,4,.750,1,2,.500,2,2,1.000,0,2,2,0,1,0,3,3,9,4.8
2,3,3,1999-11-06,26-137,DEN,@,VAN,L (-15),0,12:00,1,5,.200,0,1,.000,2,2,1.000,1,0,1,2,1,0,0,3,4,2.8
3,4,4,1999-11-08,26-139,DEN,,ATL,W (+15),0,5:00,0,1,.000,0,0,,0,0,,1,0,1,1,1,0,0,1,0,1.3
4,5,5,1999-11-12,26-143,DEN,,POR,L (-15),0,7:00,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,2,0,-2.2
5,6,6,1999-11-24,26-155,DEN,,TOR,W (+25),0,4:00,0,1,.000,0,0,,0,0,,0,0,0,1,2,0,1,0,0,1.0
6,7,7,1999-12-05,26-166,DEN,@,NYK,W (+2),0,11:00,0,2,.000,0,0,,0,0,,0,1,1,1,1,0,1,1,0,-0.8
7,8,8,1999-12-06,26-167,DEN,@,PHI,W (+17),0,8:00,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,0,1,2,2.7
8,9,9,1999-12-08,26-169,DEN,@,BOS,L (-25),0,9:00,1,2,.500,0,0,,0,0,,0,0,0,1,1,0,1,0,2,1.7
9,10,10,1999-12-14,26-175,DEN,@,SEA,L (-25),0,14:00,1,6,.167,0,2,.000,2,2,1.000,1,4,5,3,2,0,1,2,4,4.4
10,11,11,1999-12-26,26-187,DEN,,VAN,W (+23),0,15:00,2,4,.500,0,1,.000,0,0,,0,2,2,1,1,0,0,1,4,3.9
11,12,12,1999-12-28,26-189,DEN,,LAC,W (+23),0,3:00,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.7
12,13,13,2000-01-10,26-202,DEN,@,LAL,L (-35),0,5:00,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.8
13,14,14,2000-01-14,26-206,DEN,,MIA,L (-5),0,17:00,3,5,.600,2,3,.667,2,2,1.000,0,1,1,2,0,1,0,1,10,9.7
14,15,15,2000-01-24,26-216,DEN,,VAN,W (+12),0,6:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,2,4,0,-2.6
15,16,16,2000-02-02,26-225,DEN,,MIL,W (+23),0,13:00,1,3,.333,0,1,.000,0,0,,0,3,3,4,2,0,3,1,2,2.6
16,17,17,2000-02-04,26-227,DEN,@,GSW,L (-2),0,14:00,1,3,.333,1,2,.500,0,0,,0,1,1,4,1,0,1,2,3,3.6
17,18,18,2000-02-05,26-228,DEN,,MIN,L (-8),1,35:00,3,9,.333,1,2,.500,4,8,.500,1,4,5,7,0,0,4,5,11,5.1
18,19,19,2000-02-07,26-230,DEN,@,LAL,L (-8),0,8:00,1,2,.500,1,1,1.000,0,0,,0,3,3,2,0,0,1,1,3,2.9
19,20,20,2000-02-09,26-232,DEN,,SAS,L (-9),0,28:00,3,9,.333,1,6,.167,3,4,.750,0,1,1,5,2,0,1,4,10,7.7
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,2000-02-10,26-233,DEN,@,SAC,L (-12),1,37:00,2,12,.167,0,5,.000,0,0,,2,3,5,7,1,0,2,2,4,1.8
22,22,22,2000-02-17,26-240,DEN,@,CLE,L (-18),0,12:00,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-2.1
23,23,23,2000-02-22,26-245,DEN,@,PHO,L (-19),0,14:00,3,8,.375,2,3,.667,2,2,1.000,1,0,1,3,4,0,1,1,10,11.0
24,24,24,2000-02-24,26-247,DEN,@,HOU,W (+9),0,3:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0
25,25,25,2000-03-01,26-253,DEN,,NJN,L (-13),0,4:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4
26,26,26,2000-03-03,26-255,DEN,,GSW,W (+34),0,5:00,0,2,.000,0,0,,0,0,,0,3,3,4,1,0,1,0,0,2.3
27,27,27,2000-03-11,26-263,DEN,@,ORL,L (-3),0,3:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,2,0,1,0,0,0.6
28,28,28,2000-03-18,26-270,DEN,@,SAS,L (-20),0,4:00,0,2,.000,0,0,,0,0,,0,1,1,2,0,0,0,0,0,0.3
29,29,29,2000-04-11,26-294,DEN,,HOU,L (-10),0,13:00,0,3,.000,0,2,.000,0,0,,0,1,1,2,0,1,1,1,0,-1.1
