,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-03,30-016,LAC,@,POR,L (-23),0,2:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1
1,2,2,1999-11-05,30-018,LAC,,PHI,W (+10),0,3:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8
2,3,3,1999-11-10,30-023,LAC,,SAS,L (-5),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
3,4,4,1999-11-14,30-027,LAC,@,VAN,L (-20),0,6:00,1,2,.500,0,0,,3,4,.750,0,0,0,0,0,0,0,0,5,3.6
4,5,5,1999-11-16,30-029,LAC,@,MIL,L (-8),0,3:00,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3
5,6,6,1999-11-17,30-030,LAC,@,MIN,W (+4),0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8
6,7,7,1999-11-19,30-032,LAC,@,TOR,L (-6),0,20:00,4,9,.444,0,0,,3,4,.750,1,2,3,0,0,1,2,3,11,4.7
7,8,8,1999-11-20,30-033,LAC,@,WAS,W (+9),0,8:00,0,2,.000,0,0,,0,0,,2,2,4,1,1,0,0,4,0,0.7
8,9,9,1999-11-23,30-036,LAC,,NYK,W (+5),0,15:00,0,1,.000,0,0,,0,0,,0,1,1,0,2,0,0,1,0,1.2
9,10,10,1999-11-26,30-039,LAC,@,SEA,L (-5),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
10,11,11,1999-11-27,30-040,LAC,,POR,L (-17),0,15:00,2,4,.500,0,0,,0,0,,1,2,3,1,3,1,0,2,4,6.9
11,12,12,1999-12-02,30-045,LAC,,HOU,L (-13),0,3:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,1,0,0,0,2,2.3
12,13,13,1999-12-10,30-053,LAC,@,DET,L (-24),0,6:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1
13,14,14,1999-12-11,30-054,LAC,@,IND,L (-18),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
14,15,15,1999-12-13,30-056,LAC,,VAN,W (+12),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3
15,16,16,1999-12-14,30-057,LAC,@,LAL,L (-27),0,14:00,1,4,.250,0,0,,0,0,,1,3,4,1,1,0,2,1,2,0.5
16,17,17,1999-12-22,30-065,LAC,@,GSW,W (+4),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1
17,18,18,1999-12-23,30-066,LAC,,SAC,W (+6),0,5:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0
18,19,19,1999-12-30,30-073,LAC,@,HOU,L (-22),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
19,20,20,2000-01-04,30-078,LAC,,LAL,L (-24),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,2000-01-10,30-084,LAC,@,CLE,L (-5),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4
22,22,22,2000-01-15,30-089,LAC,@,UTA,L (-37),0,4:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,0.3
23,23,23,2000-02-02,30-107,LAC,@,PHO,L (-46),0,6:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,2,0,2,0.0
24,24,24,2000-02-05,30-110,LAC,,DAL,L (-13),0,6:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-2.3
25,25,25,2000-02-06,30-111,LAC,,CHI,L (-10),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,1,1,0,0,0,1.7
26,26,26,2000-02-10,30-115,LAC,,VAN,L (-22),1,18:00,2,5,.400,0,0,,0,0,,2,3,5,0,1,0,4,6,4,-1.8
27,27,27,2000-02-15,30-120,LAC,@,MIA,L (-19),0,7:00,1,3,.333,0,0,,0,0,,0,3,3,1,1,0,0,1,2,2.5
28,28,28,2000-02-16,30-121,LAC,@,ORL,L (-33),0,3:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0
29,29,29,2000-02-19,30-124,LAC,@,CHI,L (-2),0,10:00,0,2,.000,0,0,,1,4,.250,2,3,5,0,0,1,0,2,1,0.6
30,30,30,2000-02-23,30-128,LAC,@,PHI,L (-16),0,2:00,0,2,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-0.1
31,31,31,2000-02-24,30-129,LAC,@,MIN,L (-25),0,12:00,1,2,.500,0,0,,0,2,.000,2,5,7,0,0,0,2,1,2,0.7
32,32,32,2000-02-26,30-131,LAC,,ATL,W (+1),0,9:00,0,1,.000,0,0,,0,0,,0,1,1,0,1,1,0,1,0,0.9
33,33,33,2000-02-28,30-133,LAC,,HOU,L (-19),0,14:00,2,5,.400,0,0,,1,1,1.000,0,1,1,0,0,0,1,1,5,1.2
34,34,34,2000-03-04,30-138,LAC,,CLE,L (-10),0,16:00,2,4,.500,0,0,,0,0,,2,0,2,0,2,1,1,4,4,3.5
35,35,35,2000-03-06,30-140,LAC,,LAL,L (-20),0,16:00,0,3,.000,0,0,,2,2,1.000,0,1,1,1,1,2,0,4,2,1.7
36,36,36,2000-03-08,30-142,LAC,,TOR,L (-1),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
37,37,37,2000-03-10,30-144,LAC,,CHH,L (-17),0,23:00,3,7,.429,0,0,,0,0,,1,4,5,1,0,1,1,4,6,3.0
38,38,38,2000-03-12,30-146,LAC,@,GSW,W (+9),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8
39,39,39,2000-03-14,30-148,LAC,,DEN,W (+4),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-0.3
40,40,40,2000-03-15,30-149,LAC,@,SAC,L (-20),0,6:00,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,3,1,-2.0
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,2000-03-17,30-151,LAC,@,DEN,L (-27),0,12:00,2,7,.286,0,0,,0,0,,2,1,3,1,0,1,1,3,4,0.8
43,42,42,2000-03-22,30-156,LAC,@,SAS,L (-25),0,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
44,43,43,2000-03-23,30-157,LAC,@,HOU,L (-15),0,15:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,1,0,2,0,-1.5
45,44,44,2000-03-25,30-159,LAC,,DET,L (-19),0,8:00,0,0,,0,0,,4,4,1.000,0,2,2,0,0,0,1,2,4,2.8
46,45,45,2000-03-28,30-162,LAC,,DAL,L (-10),0,8:00,1,3,.333,0,0,,1,2,.500,1,0,1,1,0,0,0,1,3,1.9
47,46,46,2000-04-11,30-176,LAC,,PHO,L (-7),0,3:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,1,0,0,2,2.0
48,47,47,2000-04-12,30-177,LAC,@,UTA,L (-9),1,19:00,3,4,.750,0,0,,3,3,1.000,0,3,3,0,0,0,0,1,9,7.9
49,48,48,2000-04-14,30-179,LAC,@,PHO,L (-24),1,21:00,2,4,.500,0,0,,0,0,,3,4,7,3,0,0,2,3,4,4.2
50,49,49,2000-04-19,30-184,LAC,@,SEA,W (+8),0,7:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-0.4
