,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-02,27-344,SEA,@,LAC,W (+12),1,42:00,8,19,.421,0,0,,1,2,.500,4,8,12,3,1,1,2,3,17,12.3
1,2,2,1999-11-04,27-346,SEA,,DAL,W (+10),1,39:00,11,22,.500,0,0,,0,0,,4,9,13,5,1,2,1,2,22,20.6
2,3,3,1999-11-06,27-348,SEA,,UTA,W (+5),1,40:00,9,20,.450,0,1,.000,2,4,.500,3,3,6,1,1,0,1,1,20,12.1
3,4,4,1999-11-08,27-350,SEA,@,PHI,L (-19),1,29:00,5,11,.455,0,0,,1,3,.333,2,5,7,1,1,2,0,3,11,9.3
4,5,5,1999-11-10,27-352,SEA,@,WAS,W (+14),1,36:00,6,11,.545,0,0,,3,5,.600,1,5,6,3,0,1,2,2,15,11.1
5,6,6,1999-11-11,27-353,SEA,@,CLE,W (+6),1,37:00,9,17,.529,0,0,,6,9,.667,5,8,13,1,0,0,0,5,24,19.1
6,7,7,1999-11-13,27-355,SEA,@,DET,L (-8),1,37:00,4,11,.364,0,0,,4,6,.667,6,4,10,1,0,1,3,3,12,7.7
7,8,8,1999-11-15,27-357,SEA,@,NJN,W (+8),1,35:00,9,14,.643,0,0,,3,4,.750,3,1,4,1,0,1,5,4,21,11.6
8,9,9,1999-11-17,27-359,SEA,,GSW,W (+3),1,41:00,10,19,.526,0,0,,3,4,.750,1,5,6,2,1,0,2,5,23,13.9
9,10,10,1999-11-18,27-360,SEA,@,VAN,W (+2),1,29:00,5,8,.625,0,0,,2,3,.667,2,1,3,0,1,0,3,3,12,6.5
10,11,11,1999-11-21,27-363,SEA,@,PHO,L (-13),1,40:00,6,16,.375,0,0,,1,3,.333,7,7,14,2,2,1,2,2,13,11.7
11,12,12,1999-11-26,28-003,SEA,,LAC,W (+5),1,38:00,10,13,.769,0,0,,4,9,.444,1,5,6,2,2,2,6,4,24,16.3
12,13,13,1999-11-28,28-005,SEA,,IND,W (+11),1,36:00,4,14,.286,0,0,,3,4,.750,2,6,8,3,0,0,3,6,11,2.3
13,14,14,1999-11-30,28-007,SEA,,LAL,L (-24),1,35:00,5,14,.357,0,0,,2,2,1.000,3,7,10,0,0,0,1,2,12,6.6
14,15,15,1999-12-02,28-009,SEA,@,GSW,W (+9),1,36:00,9,20,.450,0,0,,7,11,.636,3,10,13,1,0,0,4,6,25,12.4
15,16,16,1999-12-04,28-011,SEA,@,LAC,W (+13),1,34:00,4,10,.400,0,0,,8,11,.727,2,3,5,3,1,1,3,2,16,11.7
16,17,17,1999-12-05,28-012,SEA,,CHH,L (-22),1,34:00,4,10,.400,0,0,,4,5,.800,1,3,4,1,0,2,2,4,12,6.3
17,18,18,1999-12-08,28-015,SEA,,MIN,W (+16),1,37:00,10,18,.556,0,0,,2,2,1.000,7,6,13,2,1,0,3,4,22,17.9
18,19,19,1999-12-10,28-017,SEA,@,UTA,L (-18),1,38:00,5,15,.333,0,0,,1,2,.500,3,7,10,1,1,1,2,3,11,5.5
19,20,20,1999-12-11,28-018,SEA,,MIA,W (+4),1,39:00,11,18,.611,0,0,,3,3,1.000,2,7,9,3,0,1,2,4,25,19.5
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
21,21,21,1999-12-14,28-021,SEA,,DEN,W (+25),1,35:00,5,16,.313,0,0,,3,3,1.000,3,6,9,3,0,1,1,4,13,7.9
22,22,22,1999-12-16,28-023,SEA,,POR,L (-26),1,40:00,4,15,.267,0,0,,0,0,,4,4,8,3,0,0,4,5,8,-0.8
23,23,23,1999-12-18,28-025,SEA,,VAN,W (+23),1,37:00,5,14,.357,0,0,,5,8,.625,2,1,3,2,3,1,3,5,15,7.8
24,24,24,1999-12-20,28-027,SEA,@,CHI,W (+9),1,39:00,7,12,.583,0,0,,11,13,.846,1,3,4,3,0,0,3,5,25,17.3
25,25,25,1999-12-21,28-028,SEA,@,IND,L (-10),1,39:00,10,18,.556,0,0,,4,6,.667,1,5,6,2,0,0,6,4,24,10.6
26,26,26,1999-12-23,28-030,SEA,@,MIN,L (-7),1,35:00,7,15,.467,0,0,,0,0,,3,6,9,2,0,3,0,5,14,11.7
27,27,27,1999-12-26,28-033,SEA,,PHI,L (-6),1,42:00,2,11,.182,0,0,,6,8,.750,4,2,6,3,0,1,6,5,10,0.5
28,28,28,1999-12-28,28-035,SEA,@,POR,L (-5),1,36:00,8,15,.533,0,0,,0,0,,3,4,7,1,1,0,4,4,16,8.1
29,29,29,1999-12-29,28-036,SEA,,SAC,L (-9),1,43:00,8,14,.571,0,0,,6,6,1.000,2,2,4,3,0,3,4,5,22,15.6
30,30,30,2000-01-04,28-042,SEA,@,HOU,W (+7),1,39:00,8,14,.571,0,0,,3,6,.500,3,15,18,4,1,0,1,5,19,18.6
31,31,31,2000-01-05,28-043,SEA,@,SAS,W (+3),1,38:00,4,16,.250,0,0,,2,4,.500,2,6,8,2,0,2,2,3,10,2.4
32,32,32,2000-01-08,28-046,SEA,,LAL,L (-10),1,45:00,12,26,.462,0,0,,7,11,.636,6,4,10,4,3,0,3,1,31,23.8
33,33,33,2000-01-09,28-047,SEA,@,GSW,W (+5),1,48:00,10,18,.556,0,0,,10,15,.667,5,13,18,2,0,1,7,2,30,21.1
34,34,34,2000-01-11,28-049,SEA,,PHO,W (+13),1,33:00,3,9,.333,0,0,,1,2,.500,3,3,6,2,1,2,2,3,7,5.1
35,35,35,2000-01-12,28-050,SEA,@,DEN,W (+10),1,43:00,4,14,.286,0,0,,5,5,1.000,0,5,5,6,0,0,4,3,13,5.3
36,36,36,2000-01-14,28-052,SEA,,SAS,W (+6),1,38:00,8,17,.471,0,0,,7,8,.875,4,5,9,1,1,0,1,6,23,16.5
37,37,37,2000-01-17,28-055,SEA,@,LAL,W (+1),1,41:00,1,8,.125,0,0,,1,4,.250,3,10,13,4,0,0,8,2,3,-4.3
38,38,38,2000-01-18,28-056,SEA,,CLE,W (+19),1,42:00,12,20,.600,0,0,,4,4,1.000,1,7,8,1,1,4,2,4,28,22.5
39,39,39,2000-01-20,28-058,SEA,@,MIL,W (+8),1,41:00,10,21,.476,0,0,,11,12,.917,2,3,5,6,0,1,1,3,31,24.9
40,40,40,2000-01-21,28-059,SEA,@,BOS,L (-25),1,25:00,7,15,.467,0,0,,5,5,1.000,3,4,7,1,0,1,4,2,19,11.2
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,41,41,2000-01-23,28-061,SEA,@,TOR,L (-17),1,35:00,4,12,.333,0,0,,3,4,.750,1,5,6,0,0,1,1,2,11,4.9
43,42,42,2000-01-24,28-062,SEA,@,NYK,L (-6),1,44:00,8,18,.444,0,1,.000,5,11,.455,2,10,12,1,0,1,2,3,21,11.8
44,43,43,2000-01-26,28-064,SEA,,NJN,W (+3),1,38:00,10,18,.556,0,0,,3,4,.750,7,6,13,1,1,1,4,4,23,17.5
45,44,44,2000-01-29,28-067,SEA,,MIL,L (-2),1,40:00,2,9,.222,0,1,.000,6,10,.600,2,3,5,2,1,1,4,4,10,2.7
46,45,45,2000-02-01,28-070,SEA,@,UTA,W (+8),1,41:00,13,22,.591,0,0,,7,7,1.000,3,2,5,5,0,0,4,4,33,23.4
47,46,46,2000-02-02,28-071,SEA,,CHI,L (-7),1,39:00,9,14,.643,0,0,,1,1,1.000,3,4,7,4,0,2,2,4,19,16.7
48,47,47,2000-02-04,28-073,SEA,,PHO,W (+8),1,43:00,9,20,.450,0,0,,4,6,.667,3,6,9,1,1,0,2,3,22,13.2
49,48,48,2000-02-06,28-075,SEA,@,PHO,L (-12),1,30:00,2,8,.250,0,0,,4,4,1.000,3,1,4,1,0,2,5,3,8,1.5
50,49,49,2000-02-08,28-077,SEA,@,SAS,L (-2),1,40:00,7,13,.538,0,0,,4,4,1.000,3,5,8,2,2,3,3,4,18,16.2
51,50,50,2000-02-09,28-078,SEA,@,DAL,W (+11),1,38:00,5,16,.313,0,0,,2,6,.333,3,4,7,1,0,0,2,3,12,2.0
52,51,51,2000-02-15,28-084,SEA,,WAS,W (+29),1,22:00,3,4,.750,0,0,,5,6,.833,2,6,8,2,3,0,0,2,11,15.8
53,52,52,2000-02-18,28-087,SEA,@,SAC,L (-33),1,37:00,7,13,.538,0,0,,5,5,1.000,2,6,8,0,0,1,6,4,19,9.0
54,53,53,2000-02-19,28-088,SEA,,BOS,W (+3),1,35:00,8,14,.571,0,0,,1,4,.250,4,4,8,1,0,1,4,4,17,9.0
55,54,54,2000-02-22,28-091,SEA,,ORL,W (+36),1,30:00,1,4,.250,0,0,,0,0,,0,6,6,3,0,1,3,4,2,-0.4
56,55,55,2000-02-25,28-094,SEA,,ATL,L (-8),1,39:00,10,21,.476,0,0,,1,3,.333,3,6,9,2,0,1,4,3,21,10.3
57,56,56,2000-02-28,28-097,SEA,@,CHH,W (+3),1,40:00,4,13,.308,0,0,,2,4,.500,0,4,4,2,2,0,3,6,10,0.9
58,57,57,2000-02-29,28-098,SEA,@,ORL,L (-9),1,37:00,8,19,.421,1,1,1.000,2,6,.333,6,0,6,1,0,0,5,3,19,6.0
59,58,58,2000-03-02,28-100,SEA,@,MIA,L (-18),1,45:00,7,15,.467,0,0,,9,11,.818,6,3,9,2,1,0,0,1,23,21.6
60,59,59,2000-03-04,28-102,SEA,@,ATL,W (+12),1,38:00,7,17,.412,0,0,,2,4,.500,3,5,8,0,0,0,0,4,16,8.1
61,60,60,2000-03-05,28-103,SEA,@,MIN,L (-5),1,41:00,9,19,.474,1,2,.500,1,2,.500,3,6,9,0,1,1,6,5,20,7.5
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
63,61,61,2000-03-07,28-105,SEA,,DAL,W (+15),1,35:00,2,12,.167,0,0,,2,2,1.000,4,3,7,6,0,0,4,5,6,0.3
64,62,62,2000-03-10,28-108,SEA,,GSW,W (+14),1,23:00,3,8,.375,0,0,,3,6,.500,1,3,4,0,0,0,1,2,9,3.2
65,63,63,2000-03-16,28-114,SEA,,VAN,W (+14),1,30:00,10,18,.556,0,0,,1,2,.500,5,2,7,0,0,1,2,5,21,12.8
66,64,64,2000-03-18,28-116,SEA,,POR,L (-1),1,37:00,4,9,.444,0,0,,5,8,.625,1,3,4,2,1,1,2,5,13,7.8
67,65,65,2000-03-21,28-119,SEA,,DET,L (-10),1,35:00,7,18,.389,0,0,,4,9,.444,5,3,8,2,1,1,2,2,18,10.9
68,66,66,2000-03-24,28-122,SEA,,UTA,L (-3),1,43:00,8,10,.800,0,0,,9,13,.692,1,3,4,1,1,0,6,3,25,15.7
69,67,67,2000-03-27,28-125,SEA,,SAS,L (-8),1,35:00,9,20,.450,0,0,,3,7,.429,6,4,10,0,0,0,3,5,21,9.4
70,68,68,2000-03-29,28-127,SEA,,NYK,L (-15),1,31:00,6,10,.600,0,0,,3,4,.750,2,2,4,1,0,0,2,3,15,9.5
71,69,69,2000-03-31,28-129,SEA,,SAC,W (+15),1,30:00,5,8,.625,0,0,,5,6,.833,3,11,14,0,0,1,2,6,15,12.7
72,70,70,2000-04-02,28-131,SEA,@,POR,L (-13),1,37:00,7,16,.438,0,1,.000,2,6,.333,4,2,6,2,0,2,3,4,16,7.6
73,71,71,2000-04-04,28-133,SEA,,DEN,W (+13),1,34:00,0,7,.000,0,1,.000,7,8,.875,4,5,9,0,0,0,2,5,7,2.0
74,72,72,2000-04-07,28-136,SEA,,HOU,L (-3),1,26:00,4,11,.364,0,0,,2,2,1.000,2,2,4,2,1,1,1,1,10,7.6
75,73,73,2000-04-08,28-137,SEA,@,DEN,L (-8),1,26:00,4,9,.444,0,0,,2,2,1.000,1,2,3,2,0,0,0,3,10,6.8
76,74,74,2000-04-10,28-139,SEA,@,LAL,L (-3),1,27:00,1,8,.125,0,0,,1,4,.250,3,6,9,1,2,1,2,6,3,-0.5
77,75,75,2000-04-12,28-141,SEA,,MIN,W (+27),0,14:00,0,1,.000,0,0,,4,4,1.000,1,0,1,1,1,0,0,5,4,3.7
78,76,76,2000-04-14,28-143,SEA,@,DAL,L (-14),0,32:00,10,16,.625,0,0,,5,6,.833,3,3,6,2,1,2,2,3,25,21.0
79,77,77,2000-04-16,28-145,SEA,@,HOU,W (+9),0,26:00,8,17,.471,0,0,,0,1,.000,2,3,5,1,1,1,2,3,16,8.4
80,78,78,2000-04-18,28-147,SEA,@,SAC,W (+7),0,41:00,9,22,.409,0,0,,5,6,.833,1,8,9,2,1,1,2,3,23,13.8
81,79,79,2000-04-19,28-148,SEA,,LAC,L (-8),1,24:00,5,12,.417,0,0,,0,2,.000,2,3,5,1,1,2,2,5,10,4.2
