,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,1,1999-11-02,36-255,HOU,,MIL,L (-5),1,35:00,5,6,0.833,0,0,,3,6,0.5,5,6,11,2,0,1,1,2,13,15.2
1,2,2,1999-11-04,36-257,HOU,@,UTA,L (-16),1,34:00,3,10,0.3,0,1,0.0,2,2,1.0,1,4,5,6,0,0,1,1,8,6.9
2,3,3,1999-11-05,36-258,HOU,,SAS,L (-10),1,40:00,7,16,0.43799999999999994,0,0,,4,8,0.5,3,10,13,2,1,0,2,5,18,11.5
3,4,4,1999-11-08,36-261,HOU,,ORL,L (-5),1,37:00,6,13,0.462,0,1,0.0,6,8,0.75,4,13,17,5,0,0,8,4,18,11.1
4,5,5,1999-11-10,36-263,HOU,,LAL,L (-1),1,9:00,2,2,1.0,0,0,,1,2,0.5,1,3,4,0,0,0,2,0,5,3.6
5,6,6,1999-11-13,36-266,HOU,@,GSW,W (+8),0,26:00,5,17,0.294,0,1,0.0,5,7,0.7140000000000001,9,7,16,2,1,0,1,3,15,12.9
6,7,7,1999-11-15,36-268,HOU,,IND,L (-9),1,35:00,7,12,0.583,1,1,1.0,3,4,0.75,9,15,24,0,1,0,1,5,18,20.8
7,8,8,1999-11-16,36-269,HOU,@,DAL,L (-19),1,29:00,1,7,0.14300000000000002,1,1,1.0,4,4,1.0,4,7,11,4,1,0,2,2,7,8.4
8,9,9,1999-11-18,36-271,HOU,,SAC,L (-18),1,28:00,8,14,0.5710000000000001,0,2,0.0,0,0,,6,10,16,1,0,0,4,3,16,12.1
9,10,10,1999-11-20,36-273,HOU,@,SEA,L (-3),1,33:00,3,13,0.231,0,3,0.0,3,5,0.6,3,8,11,4,1,0,2,2,9,5.8
10,11,11,1999-11-21,36-274,HOU,@,SAC,L (-5),1,39:00,8,17,0.47100000000000003,1,3,0.33299999999999996,2,2,1.0,1,7,8,5,1,0,2,1,19,15.2
11,12,12,1999-11-23,36-276,HOU,,DAL,W (+20),1,33:00,10,15,0.667,0,1,0.0,6,10,0.6,7,8,15,4,1,0,1,1,26,27.6
12,13,13,1999-11-26,36-279,HOU,@,POR,L (-3),1,40:00,3,11,0.273,1,3,0.33299999999999996,6,6,1.0,3,8,11,6,1,0,4,4,13,10.6
13,14,14,1999-11-29,36-282,HOU,@,VAN,W (+8),1,39:00,8,11,0.727,1,2,0.5,5,8,0.625,3,4,7,0,1,0,1,2,22,18.8
14,15,15,1999-12-01,36-284,HOU,@,PHO,L (-6),1,48:00,7,14,0.5,1,3,0.33299999999999996,7,11,0.636,2,11,13,3,0,1,4,5,22,14.9
15,16,16,1999-12-02,36-285,HOU,@,LAC,W (+13),1,29:00,4,9,0.444,0,1,0.0,4,10,0.4,3,7,10,7,1,1,4,3,12,10.5
16,17,17,1999-12-04,36-287,HOU,,PHO,W (+10),1,35:00,9,15,0.6,0,2,0.0,3,4,0.75,1,2,3,4,2,0,3,1,21,16.4
17,18,18,1999-12-06,36-289,HOU,,VAN,W (+3),1,37:00,9,14,0.643,0,1,0.0,7,12,0.583,4,7,11,7,1,0,1,4,25,25.0
18,19,19,1999-12-08,36-291,HOU,@,PHI,L (-10),1,8:00,0,3,0.0,0,0,,0,0,,1,1,2,0,1,0,0,0,0,-0.1
19,20,20,2000-04-19,37-059,HOU,,VAN,L (-4),0,6:00,1,3,0.33299999999999996,0,0,,0,1,0.0,1,0,1,1,0,1,0,0,2,2.0
