,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2000-11-06,31-242,VAN,,ATL,W (+10),0,6:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
1,2,2,2000-11-18,31-254,VAN,,DAL,L (-3),0,5:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,3,2,1.5,+7
2,3,3,2000-11-24,31-260,VAN,@,DET,L (-22),0,15:00,0,5,.000,0,0,,0,0,,1,1,2,4,0,0,0,0,0,0.3,0
3,4,4,2000-11-26,31-262,VAN,@,BOS,W (+11),0,3:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,-4
4,5,5,2000-11-27,31-263,VAN,@,NYK,L (-25),0,14:00,2,6,.333,0,0,,0,0,,1,0,1,2,0,0,0,0,4,2.7,-8
5,6,6,2000-12-11,31-277,VAN,,HOU,L (-7),0,8:00,1,5,.200,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-0.8,-2
6,7,7,2000-12-30,31-296,VAN,,GSW,L (-1),0,16:00,5,8,.625,0,0,,2,2,1.000,0,1,1,4,0,0,0,4,12,9.9,+7
7,8,8,2001-01-05,31-302,VAN,@,PHO,L (-32),0,15:00,3,10,.300,0,0,,0,0,,0,1,1,2,0,0,0,3,6,0.7,-14
8,9,9,2001-01-17,31-314,VAN,@,DEN,L (-24),0,4:00,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,1,2,2,-0.8,-6
9,10,10,2001-01-19,31-316,VAN,,MIA,L (-11),0,6:00,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,4,2.2,+5
10,11,11,2001-01-23,31-320,VAN,@,SAS,L (-33),0,6:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-10
11,12,12,2001-01-25,31-322,VAN,@,DAL,L (-37),0,17:00,6,9,.667,0,0,,1,2,.500,0,0,0,2,1,0,0,0,13,11.1,-15
12,13,13,2001-01-26,31-323,VAN,@,HOU,L (-17),0,6:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+2
13,14,14,2001-02-02,31-330,VAN,@,SAC,L (-10),0,15:00,7,10,.700,0,0,,0,0,,0,0,0,4,1,0,1,2,14,11.8,+13
14,15,15,2001-02-03,31-331,VAN,,CHI,W (+7),0,11:00,2,5,.400,0,0,,0,0,,0,0,0,2,0,0,2,1,4,0.3,-7
15,16,16,2001-02-05,31-333,VAN,@,SEA,L (-13),0,5:00,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,1.2,+6
16,17,17,2001-02-07,31-335,VAN,,UTA,L (-10),0,10:00,4,5,.800,0,0,,1,2,.500,0,0,0,2,0,0,1,0,9,7.1,0
17,18,18,2001-02-13,31-341,VAN,,BOS,W (+1),0,5:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,2,0,2,-0.7,-5
