,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2000-10-31,32-285,SAC,@,CHI,W (+19),0,7:00,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,1,0,0,3,3.3,+2
1,2,2,2000-11-01,32-286,SAC,@,CLE,L (-2),0,6:00,1,2,.500,1,1,1.000,0,0,,1,1,2,0,0,0,0,0,3,3.0,+3
2,3,3,2000-11-03,32-288,SAC,@,DET,W (+7),0,9:00,0,0,,0,0,,0,0,,0,0,0,0,3,0,1,1,0,1.6,+4
3,4,4,2000-11-04,32-289,SAC,@,MIN,L (-8),0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
4,5,5,2000-11-06,32-291,SAC,,POR,W (+4),0,8:00,1,3,.333,1,2,.500,0,0,,1,0,1,0,0,0,0,0,3,2.0,+7
5,6,6,2000-11-08,32-293,SAC,,GSW,W (+31),0,19:00,2,6,.333,1,4,.250,0,0,,0,4,4,1,3,1,0,0,5,7.2,+5
6,7,7,2000-11-10,32-295,SAC,@,GSW,W (+7),0,14:00,1,5,.200,0,3,.000,0,0,,0,1,1,0,0,0,0,4,2,-2.4,-5
7,8,8,2000-11-12,32-297,SAC,,DAL,W (+25),0,4:00,0,1,.000,0,0,,0,0,,0,3,3,1,0,0,1,1,0,-0.5,-3
8,9,9,2000-11-14,32-299,SAC,,ORL,W (+14),0,5:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,0,0,-2.7,+2
9,10,10,2000-11-16,32-301,SAC,,LAL,L (-2),0,7:00,1,3,.333,1,2,.500,0,0,,0,0,0,2,1,0,0,0,3,3.7,+1
10,11,11,2000-11-22,32-307,SAC,,CHI,W (+29),0,6:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,1,0,0,0,1.3,0
11,12,12,2000-12-13,32-328,SAC,@,CHH,L (-11),0,5:00,0,3,.000,0,3,.000,0,0,,0,1,1,0,0,0,0,3,0,-3.0,0
12,13,13,2000-12-15,32-330,SAC,@,BOS,W (+23),0,8:00,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,0.9,-1
13,14,14,2000-12-19,32-334,SAC,,WAS,W (+34),0,10:00,2,6,.333,1,4,.250,0,0,,0,1,1,1,1,0,1,0,5,2.6,+6
14,15,15,2001-01-23,33-003,SAC,,NJN,W (+26),0,6:00,1,4,.250,1,3,.333,0,0,,1,0,1,0,0,0,0,0,3,1.3,0
15,16,16,2001-01-30,33-010,SAC,,GSW,W (+26),0,7:00,1,5,.200,1,5,.200,0,0,,0,1,1,0,0,0,1,0,3,-0.8,-9
16,17,17,2001-02-07,33-018,SAC,@,MIN,L (-29),0,12:00,0,3,.000,0,1,.000,0,0,,0,5,5,5,1,0,0,1,0,3.5,0
17,18,18,2001-02-15,33-026,SAC,@,POR,L (-24),0,17:00,1,3,.333,1,3,.333,0,0,,0,0,0,2,0,1,1,1,3,2.0,+4
18,19,19,2001-04-05,33-075,SAC,@,UTA,W (+6),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
19,20,20,2001-04-06,33-076,SAC,@,VAN,W (+28),0,8:00,1,5,.200,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,-0.1,-1
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2001-04-16,33-086,SAC,,VAN,W (+10),0,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-5
