,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2000-11-11,28-316,SEA,@,NJN,L (-35),0,15:00,1,1,1.000,0,0,,0,0,,1,2,3,3,0,0,1,3,2,2.9,-7
1,2,2,2000-11-12,28-317,SEA,@,DET,L (-9),0,19:00,2,8,.250,1,5,.200,0,0,,0,1,1,2,1,0,0,1,5,2.5,+4
2,3,3,2000-11-14,28-319,SEA,,NYK,W (+21),0,23:00,5,9,.556,4,7,.571,0,0,,0,4,4,2,0,0,1,3,14,10.1,+13
3,4,4,2000-11-17,28-322,SEA,,DAL,L (-4),0,21:00,1,9,.111,1,8,.125,0,0,,0,0,0,2,1,0,0,1,3,-0.9,+2
4,5,5,2000-11-18,28-323,SEA,@,LAC,W (+3),0,23:00,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.9,-2
5,6,6,2000-11-21,28-326,SEA,@,DAL,W (+6),0,18:00,4,5,.800,1,1,1.000,0,0,,0,2,2,2,0,0,0,2,9,8.3,+6
6,7,7,2000-11-22,28-327,SEA,@,SAS,L (-27),0,16:00,0,1,.000,0,1,.000,0,0,,0,3,3,0,2,1,4,4,0,-2.7,-21
7,8,8,2000-11-24,28-329,SEA,,LAC,W (+17),1,39:00,5,8,.625,1,4,.250,2,3,.667,1,3,4,7,1,0,2,2,13,13.7,+16
8,9,9,2000-11-25,28-330,SEA,@,SAC,L (-24),1,32:00,3,10,.300,2,5,.400,2,2,1.000,1,1,2,2,2,1,2,2,10,6.5,-16
9,10,10,2000-11-28,28-333,SEA,@,POR,W (+12),0,27:00,3,7,.429,2,4,.500,1,2,.500,2,0,2,2,0,0,0,2,9,6.9,+7
10,11,11,2000-11-30,28-335,SEA,,LAL,W (+33),0,20:00,4,6,.667,1,2,.500,0,0,,2,1,3,6,0,0,0,1,9,11.9,+20
11,12,12,2000-12-02,28-337,SEA,@,DEN,L (-11),0,24:00,1,3,.333,1,3,.333,1,2,.500,0,3,3,0,1,0,1,0,4,2.8,-11
12,13,13,2000-12-03,28-338,SEA,,GSW,W (+16),0,19:00,2,4,.500,1,1,1.000,2,2,1.000,0,2,2,3,1,1,1,1,7,8.0,+9
13,14,14,2000-12-06,28-341,SEA,,DET,L (-13),0,27:00,2,5,.400,1,1,1.000,0,0,,0,3,3,4,0,0,1,4,5,3.4,+2
14,15,15,2000-12-08,28-343,SEA,@,LAL,W (+8),0,18:00,1,4,.250,1,3,.333,1,2,.500,1,0,1,2,0,0,2,1,4,0.9,+11
15,16,16,2000-12-09,28-344,SEA,,HOU,L (-7),0,15:00,1,2,.500,0,0,,0,0,,0,3,3,2,0,0,2,1,2,0.9,-6
16,17,17,2000-12-12,28-347,SEA,,ORL,W (+5),0,19:00,2,3,.667,1,2,.500,0,0,,0,1,1,4,1,0,1,1,5,6.4,-4
17,18,18,2000-12-13,28-348,SEA,@,VAN,W (+1),0,20:00,4,7,.571,2,3,.667,0,0,,0,4,4,2,1,0,1,1,10,8.9,-8
18,19,19,2000-12-15,28-350,SEA,,MIA,W (+18),0,22:00,3,7,.429,1,3,.333,1,1,1.000,2,1,3,3,0,0,1,3,8,5.9,+5
19,20,20,2000-12-20,28-355,SEA,,SAC,W (+4),0,19:00,0,2,.000,0,2,.000,0,0,,1,0,1,6,2,0,1,3,0,3.3,-14
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
